--------------------------------------------
  Created log file: log_2024-2-24_1-30-4
--------------------------------------------

[1:30:4] LOG | Updated logfile.txt to './logs/log_2024-2-24_1-30-4.txt'
[1:30:5] HIDDEN | Surpressed due to logging rules. (see './logs/log_2024-2-24_1-30-4.private.txt')
[1:30:5] LOG | Fetching sources...
[1:30:5] HIDDEN | Surpressed due to logging rules. (see './logs/log_2024-2-24_1-30-4.private.txt')
[1:30:5] LOG | Retrieving playback url...
[1:30:5] HIDDEN | Surpressed due to logging rules. (see './logs/log_2024-2-24_1-30-4.private.txt')
[1:30:5] LOG | Sucessfully retrieved playback url!
[1:30:6] LOG | Request for embed.js intercepted
[1:30:6] HIDDEN | Surpressed due to logging rules. (see './logs/log_2024-2-24_1-30-4.private.txt')
[1:30:6] WARN | Same version detected!
[1:30:6] LOG | Routine for 'main' sleeping for '2.5' second(s)...
[1:30:8] LOG | Continuing...
[1:30:20] LOG | Request for embed.js intercepted
[1:30:20] HIDDEN | Surpressed due to logging rules. (see './logs/log_2024-2-24_1-30-4.private.txt')
[1:30:20] WARN | Same version detected!
[1:30:20] LOG | Routine for 'main' sleeping for '2.5' second(s)...
[1:30:23] LOG | Continuing...
[1:30:24] WARN | Requests limit for 'embed' reached! (10)
[1:30:26] HIDDEN | Surpressed due to logging rules. (see './logs/log_2024-2-24_1-30-4.private.txt')
[1:30:26] LOG | Fetching sources...
[1:30:26] HIDDEN | Surpressed due to logging rules. (see './logs/log_2024-2-24_1-30-4.private.txt')
[1:30:26] LOG | Retrieving playback url...
[1:30:26] HIDDEN | Surpressed due to logging rules. (see './logs/log_2024-2-24_1-30-4.private.txt')
[1:30:26] LOG | Sucessfully retrieved playback url!
[1:30:40] WARN | Requests limit for 'embed' reached! (10)
[1:30:42] HIDDEN | Surpressed due to logging rules. (see './logs/log_2024-2-24_1-30-4.private.txt')
[1:30:42] LOG | Fetching sources...
[1:30:42] HIDDEN | Surpressed due to logging rules. (see './logs/log_2024-2-24_1-30-4.private.txt')
[1:30:42] LOG | Retrieving playback url...
[1:30:42] HIDDEN | Surpressed due to logging rules. (see './logs/log_2024-2-24_1-30-4.private.txt')
[1:30:42] LOG | Sucessfully retrieved playback url!
[1:30:56] WARN | Requests limit for 'embed' reached! (10)
[1:30:57] HIDDEN | Surpressed due to logging rules. (see './logs/log_2024-2-24_1-30-4.private.txt')
[1:30:57] LOG | Fetching sources...
[1:30:58] HIDDEN | Surpressed due to logging rules. (see './logs/log_2024-2-24_1-30-4.private.txt')
[1:30:58] LOG | Retrieving playback url...
[1:30:58] HIDDEN | Surpressed due to logging rules. (see './logs/log_2024-2-24_1-30-4.private.txt')
[1:30:58] LOG | Sucessfully retrieved playback url!
[1:30:58] LOG | Request for embed.js intercepted
[1:30:58] HIDDEN | Surpressed due to logging rules. (see './logs/log_2024-2-24_1-30-4.private.txt')
[1:30:58] WARN | Same version detected!
[1:30:58] LOG | Routine for 'main' sleeping for '2.5' second(s)...
[1:31:1] LOG | Continuing...
[1:31:5] LOG | Request for embed.js intercepted
[1:31:5] HIDDEN | Surpressed due to logging rules. (see './logs/log_2024-2-24_1-30-4.private.txt')
[1:31:5] WARN | Same version detected!
[1:31:5] LOG | Routine for 'main' sleeping for '2.5' second(s)...
[1:31:8] LOG | Continuing...
[1:31:16] WARN | Requests limit for 'embed' reached! (10)
[1:31:18] HIDDEN | Surpressed due to logging rules. (see './logs/log_2024-2-24_1-30-4.private.txt')
[1:31:18] LOG | Fetching sources...
[1:31:18] HIDDEN | Surpressed due to logging rules. (see './logs/log_2024-2-24_1-30-4.private.txt')
[1:31:18] LOG | Retrieving playback url...
[1:31:18] HIDDEN | Surpressed due to logging rules. (see './logs/log_2024-2-24_1-30-4.private.txt')
[1:31:18] LOG | Sucessfully retrieved playback url!
[1:31:19] LOG | Request for embed.js intercepted
[1:31:19] HIDDEN | Surpressed due to logging rules. (see './logs/log_2024-2-24_1-30-4.private.txt')
[1:31:19] WARN | Same version detected!
[1:31:19] LOG | Routine for 'main' sleeping for '2.5' second(s)...
[1:31:22] LOG | Continuing...
[1:31:26] LOG | Request for embed.js intercepted
[1:31:26] HIDDEN | Surpressed due to logging rules. (see './logs/log_2024-2-24_1-30-4.private.txt')
[1:31:26] WARN | Same version detected!
[1:31:26] LOG | Routine for 'main' sleeping for '2.5' second(s)...
[1:31:28] LOG | Continuing...
[1:31:33] LOG | Request for embed.js intercepted
[1:31:33] HIDDEN | Surpressed due to logging rules. (see './logs/log_2024-2-24_1-30-4.private.txt')
[1:31:33] WARN | Same version detected!
[1:31:33] LOG | Routine for 'main' sleeping for '2.5' second(s)...
[1:31:35] LOG | Continuing...
[1:31:39] WARN | Requests limit for 'embed' reached! (10)
[1:31:40] LOG | Request for embed.js intercepted
[1:31:40] HIDDEN | Surpressed due to logging rules. (see './logs/log_2024-2-24_1-30-4.private.txt')
[1:31:40] WARN | Same version detected!
[1:31:40] LOG | Routine for 'main' sleeping for '2.5' second(s)...
[1:31:42] LOG | Continuing...
[1:31:43] HIDDEN | Surpressed due to logging rules. (see './logs/log_2024-2-24_1-30-4.private.txt')
[1:31:43] LOG | Fetching sources...
[1:31:44] HIDDEN | Surpressed due to logging rules. (see './logs/log_2024-2-24_1-30-4.private.txt')
[1:31:44] LOG | Retrieving playback url...
[1:31:44] HIDDEN | Surpressed due to logging rules. (see './logs/log_2024-2-24_1-30-4.private.txt')
[1:31:44] LOG | Sucessfully retrieved playback url!
[1:31:58] WARN | Requests limit for 'embed' reached! (10)
[1:31:59] HIDDEN | Surpressed due to logging rules. (see './logs/log_2024-2-24_1-30-4.private.txt')
[1:31:59] LOG | Fetching sources...
[1:31:59] HIDDEN | Surpressed due to logging rules. (see './logs/log_2024-2-24_1-30-4.private.txt')
[1:31:59] LOG | Retrieving playback url...
[1:31:59] HIDDEN | Surpressed due to logging rules. (see './logs/log_2024-2-24_1-30-4.private.txt')
[1:31:59] LOG | Sucessfully retrieved playback url!
[1:32:0] LOG | Request for embed.js intercepted
[1:32:0] HIDDEN | Surpressed due to logging rules. (see './logs/log_2024-2-24_1-30-4.private.txt')
[1:32:0] WARN | Same version detected!
[1:32:0] LOG | Routine for 'main' sleeping for '2.5' second(s)...
[1:32:3] LOG | Continuing...
[1:32:16] WARN | Requests limit for 'embed' reached! (10)
[1:32:17] HIDDEN | Surpressed due to logging rules. (see './logs/log_2024-2-24_1-30-4.private.txt')
[1:32:17] LOG | Fetching sources...
[1:32:17] HIDDEN | Surpressed due to logging rules. (see './logs/log_2024-2-24_1-30-4.private.txt')
[1:32:17] LOG | Retrieving playback url...
[1:32:18] HIDDEN | Surpressed due to logging rules. (see './logs/log_2024-2-24_1-30-4.private.txt')
[1:32:18] LOG | Sucessfully retrieved playback url!
[1:32:18] LOG | Request for embed.js intercepted
[1:32:18] HIDDEN | Surpressed due to logging rules. (see './logs/log_2024-2-24_1-30-4.private.txt')
[1:32:18] WARN | Same version detected!
[1:32:18] LOG | Routine for 'main' sleeping for '2.5' second(s)...
[1:32:21] LOG | Continuing...
[1:32:25] LOG | Request for embed.js intercepted
