--------------------------------------------
  Created log file: log_2024-2-1_7-30-2
--------------------------------------------

[7:30:2] LOG | Updated logfile.txt to './logs/log_2024-2-1_7-30-2.txt'
[7:30:3] HIDDEN | Surpressed due to logging rules. (see './logs/log_2024-2-1_7-30-2.private.txt')
[7:30:3] LOG | Fetching sources...
[7:30:3] HIDDEN | Surpressed due to logging rules. (see './logs/log_2024-2-1_7-30-2.private.txt')
[7:30:3] LOG | Retrieving playback url...
[7:30:3] HIDDEN | Surpressed due to logging rules. (see './logs/log_2024-2-1_7-30-2.private.txt')
[7:30:3] LOG | Sucessfully retrieved playback url!
[7:30:4] LOG | Request for embed.js intercepted
[7:30:4] HIDDEN | Surpressed due to logging rules. (see './logs/log_2024-2-1_7-30-2.private.txt')
[7:30:4] WARN | Same version detected!
[7:30:4] LOG | Routine for 'main' sleeping for '2.5' second(s)...
[7:30:7] LOG | Continuing...
[7:30:13] LOG | Request for embed.js intercepted
[7:30:13] HIDDEN | Surpressed due to logging rules. (see './logs/log_2024-2-1_7-30-2.private.txt')
[7:30:13] WARN | Same version detected!
[7:30:13] LOG | Routine for 'main' sleeping for '2.5' second(s)...
[7:30:15] LOG | Continuing...
[7:30:19] LOG | Request for embed.js intercepted
[7:30:19] HIDDEN | Surpressed due to logging rules. (see './logs/log_2024-2-1_7-30-2.private.txt')
[7:30:19] WARN | Same version detected!
[7:30:19] LOG | Routine for 'main' sleeping for '2.5' second(s)...
[7:30:21] LOG | Continuing...
[7:30:24] LOG | Request for embed.js intercepted
[7:30:24] HIDDEN | Surpressed due to logging rules. (see './logs/log_2024-2-1_7-30-2.private.txt')
[7:30:24] WARN | Same version detected!
[7:30:24] LOG | Routine for 'main' sleeping for '2.5' second(s)...
[7:30:27] LOG | Continuing...
[7:30:29] LOG | Request for embed.js intercepted
[7:30:29] HIDDEN | Surpressed due to logging rules. (see './logs/log_2024-2-1_7-30-2.private.txt')
[7:30:29] WARN | Same version detected!
[7:30:29] LOG | Routine for 'main' sleeping for '2.5' second(s)...
[7:30:32] LOG | Continuing...
[7:30:34] WARN | Requests limit for 'embed' reached! (10)
[7:30:36] HIDDEN | Surpressed due to logging rules. (see './logs/log_2024-2-1_7-30-2.private.txt')
[7:30:36] LOG | Fetching sources...
[7:30:36] HIDDEN | Surpressed due to logging rules. (see './logs/log_2024-2-1_7-30-2.private.txt')
[7:30:36] LOG | Retrieving playback url...
[7:30:36] HIDDEN | Surpressed due to logging rules. (see './logs/log_2024-2-1_7-30-2.private.txt')
[7:30:36] LOG | Sucessfully retrieved playback url!
[7:30:51] LOG | Request for embed.js intercepted
[7:30:51] HIDDEN | Surpressed due to logging rules. (see './logs/log_2024-2-1_7-30-2.private.txt')
[7:30:51] WARN | Same version detected!
[7:30:51] LOG | Routine for 'main' sleeping for '2.5' second(s)...
[7:30:53] LOG | Continuing...
[7:30:55] WARN | Requests limit for 'embed' reached! (10)
[7:30:57] HIDDEN | Surpressed due to logging rules. (see './logs/log_2024-2-1_7-30-2.private.txt')
[7:30:57] LOG | Fetching sources...
[7:30:57] HIDDEN | Surpressed due to logging rules. (see './logs/log_2024-2-1_7-30-2.private.txt')
[7:30:57] LOG | Retrieving playback url...
[7:30:57] HIDDEN | Surpressed due to logging rules. (see './logs/log_2024-2-1_7-30-2.private.txt')
[7:30:57] LOG | Sucessfully retrieved playback url!
[7:31:1] LOG | Request for embed.js intercepted
[7:31:1] HIDDEN | Surpressed due to logging rules. (see './logs/log_2024-2-1_7-30-2.private.txt')
[7:31:1] WARN | Same version detected!
[7:31:1] LOG | Routine for 'main' sleeping for '2.5' second(s)...
[7:31:3] LOG | Continuing...
[7:31:15] WARN | Requests limit for 'embed' reached! (10)
[7:31:16] HIDDEN | Surpressed due to logging rules. (see './logs/log_2024-2-1_7-30-2.private.txt')
[7:31:16] LOG | Fetching sources...
[7:31:16] HIDDEN | Surpressed due to logging rules. (see './logs/log_2024-2-1_7-30-2.private.txt')
[7:31:16] LOG | Retrieving playback url...
[7:31:17] HIDDEN | Surpressed due to logging rules. (see './logs/log_2024-2-1_7-30-2.private.txt')
[7:31:17] LOG | Sucessfully retrieved playback url!
[7:31:22] ERROR | Requests limit for 'main' reached! (2000)
[7:31:22] WARN | Killing process...
