--------------------------------------------
  Created log file: log_2024-2-21_5-50-3
--------------------------------------------

[5:50:3] LOG | Updated logfile.txt to './logs/log_2024-2-21_5-50-3.txt'
[5:50:4] HIDDEN | Surpressed due to logging rules. (see './logs/log_2024-2-21_5-50-3.private.txt')
[5:50:4] LOG | Fetching sources...
[5:50:5] HIDDEN | Surpressed due to logging rules. (see './logs/log_2024-2-21_5-50-3.private.txt')
[5:50:5] LOG | Retrieving playback url...
[5:50:5] HIDDEN | Surpressed due to logging rules. (see './logs/log_2024-2-21_5-50-3.private.txt')
[5:50:5] LOG | Sucessfully retrieved playback url!
[5:50:6] LOG | Request for embed.js intercepted
[5:50:6] HIDDEN | Surpressed due to logging rules. (see './logs/log_2024-2-21_5-50-3.private.txt')
[5:50:6] WARN | Same version detected!
[5:50:6] LOG | Routine for 'main' sleeping for '2.5' second(s)...
[5:50:8] LOG | Continuing...
[5:50:22] WARN | Requests limit for 'embed' reached! (10)
[5:50:23] HIDDEN | Surpressed due to logging rules. (see './logs/log_2024-2-21_5-50-3.private.txt')
[5:50:23] LOG | Fetching sources...
[5:50:23] HIDDEN | Surpressed due to logging rules. (see './logs/log_2024-2-21_5-50-3.private.txt')
[5:50:23] LOG | Retrieving playback url...
[5:50:24] HIDDEN | Surpressed due to logging rules. (see './logs/log_2024-2-21_5-50-3.private.txt')
[5:50:24] LOG | Sucessfully retrieved playback url!
[5:50:30] LOG | Request for embed.js intercepted
[5:50:30] HIDDEN | Surpressed due to logging rules. (see './logs/log_2024-2-21_5-50-3.private.txt')
[5:50:30] WARN | Same version detected!
[5:50:30] LOG | Routine for 'main' sleeping for '2.5' second(s)...
[5:50:33] LOG | Continuing...
[5:50:40] WARN | Requests limit for 'embed' reached! (10)
[5:50:42] HIDDEN | Surpressed due to logging rules. (see './logs/log_2024-2-21_5-50-3.private.txt')
[5:50:42] LOG | Fetching sources...
[5:50:42] HIDDEN | Surpressed due to logging rules. (see './logs/log_2024-2-21_5-50-3.private.txt')
[5:50:42] LOG | Retrieving playback url...
[5:50:42] HIDDEN | Surpressed due to logging rules. (see './logs/log_2024-2-21_5-50-3.private.txt')
[5:50:42] LOG | Sucessfully retrieved playback url!
[5:50:53] LOG | Request for embed.js intercepted
[5:50:53] HIDDEN | Surpressed due to logging rules. (see './logs/log_2024-2-21_5-50-3.private.txt')
[5:50:53] WARN | Same version detected!
[5:50:53] LOG | Routine for 'main' sleeping for '2.5' second(s)...
[5:50:56] LOG | Continuing...
[5:50:59] WARN | Requests limit for 'embed' reached! (10)
