--------------------------------------------
  Created log file: log_2024-2-2_17-30-3
--------------------------------------------

[17:30:3] LOG | Updated logfile.txt to './logs/log_2024-2-2_17-30-3.txt'
[17:30:4] HIDDEN | Surpressed due to logging rules. (see './logs/log_2024-2-2_17-30-3.private.txt')
[17:30:4] LOG | Fetching sources...
[17:30:4] HIDDEN | Surpressed due to logging rules. (see './logs/log_2024-2-2_17-30-3.private.txt')
[17:30:4] LOG | Retrieving playback url...
[17:30:4] HIDDEN | Surpressed due to logging rules. (see './logs/log_2024-2-2_17-30-3.private.txt')
[17:30:4] LOG | Sucessfully retrieved playback url!
[17:30:5] LOG | Request for embed.js intercepted
[17:30:5] HIDDEN | Surpressed due to logging rules. (see './logs/log_2024-2-2_17-30-3.private.txt')
[17:30:5] WARN | Same version detected!
[17:30:5] LOG | Routine for 'main' sleeping for '2.5' second(s)...
[17:30:8] LOG | Continuing...
[17:30:9] LOG | Request for embed.js intercepted
[17:30:9] HIDDEN | Surpressed due to logging rules. (see './logs/log_2024-2-2_17-30-3.private.txt')
[17:30:9] WARN | Same version detected!
[17:30:9] LOG | Routine for 'main' sleeping for '2.5' second(s)...
[17:30:11] LOG | Continuing...
[17:30:22] LOG | Request for embed.js intercepted
[17:30:22] HIDDEN | Surpressed due to logging rules. (see './logs/log_2024-2-2_17-30-3.private.txt')
[17:30:22] WARN | Same version detected!
[17:30:22] LOG | Routine for 'main' sleeping for '2.5' second(s)...
[17:30:24] LOG | Continuing...
[17:30:27] LOG | Request for embed.js intercepted
[17:30:27] HIDDEN | Surpressed due to logging rules. (see './logs/log_2024-2-2_17-30-3.private.txt')
[17:30:27] WARN | Same version detected!
[17:30:27] LOG | Routine for 'main' sleeping for '2.5' second(s)...
[17:30:29] LOG | Continuing...
[17:30:33] WARN | Requests limit for 'embed' reached! (10)
[17:30:34] LOG | Request for embed.js intercepted
[17:30:34] HIDDEN | Surpressed due to logging rules. (see './logs/log_2024-2-2_17-30-3.private.txt')
[17:30:34] WARN | Same version detected!
[17:30:34] LOG | Routine for 'main' sleeping for '2.5' second(s)...
[17:30:36] LOG | Continuing...
[17:30:39] HIDDEN | Surpressed due to logging rules. (see './logs/log_2024-2-2_17-30-3.private.txt')
[17:30:39] LOG | Fetching sources...
[17:30:39] HIDDEN | Surpressed due to logging rules. (see './logs/log_2024-2-2_17-30-3.private.txt')
[17:30:39] LOG | Retrieving playback url...
[17:30:39] HIDDEN | Surpressed due to logging rules. (see './logs/log_2024-2-2_17-30-3.private.txt')
[17:30:39] LOG | Sucessfully retrieved playback url!
[17:30:40] LOG | Request for embed.js intercepted
[17:30:40] HIDDEN | Surpressed due to logging rules. (see './logs/log_2024-2-2_17-30-3.private.txt')
[17:30:40] WARN | Same version detected!
[17:30:40] LOG | Routine for 'main' sleeping for '2.5' second(s)...
[17:30:42] LOG | Continuing...
[17:30:45] LOG | Request for embed.js intercepted
[17:30:45] HIDDEN | Surpressed due to logging rules. (see './logs/log_2024-2-2_17-30-3.private.txt')
[17:30:45] WARN | Same version detected!
[17:30:45] LOG | Routine for 'main' sleeping for '2.5' second(s)...
[17:30:47] LOG | Continuing...
[17:30:59] WARN | Requests limit for 'embed' reached! (10)
[17:30:59] LOG | Request for embed.js intercepted
[17:30:59] HIDDEN | Surpressed due to logging rules. (see './logs/log_2024-2-2_17-30-3.private.txt')
[17:30:59] WARN | Same version detected!
[17:30:59] LOG | Routine for 'main' sleeping for '2.5' second(s)...
[17:31:2] LOG | Continuing...
[17:31:5] HIDDEN | Surpressed due to logging rules. (see './logs/log_2024-2-2_17-30-3.private.txt')
[17:31:5] LOG | Fetching sources...
[17:31:5] HIDDEN | Surpressed due to logging rules. (see './logs/log_2024-2-2_17-30-3.private.txt')
[17:31:5] LOG | Retrieving playback url...
[17:31:5] HIDDEN | Surpressed due to logging rules. (see './logs/log_2024-2-2_17-30-3.private.txt')
[17:31:5] LOG | Sucessfully retrieved playback url!
[17:31:6] LOG | Request for embed.js intercepted
[17:31:6] HIDDEN | Surpressed due to logging rules. (see './logs/log_2024-2-2_17-30-3.private.txt')
[17:31:6] WARN | Same version detected!
