--------------------------------------------
  Created log file: log_2024-2-22_7-0-3
--------------------------------------------

[7:0:3] LOG | Updated logfile.txt to './logs/log_2024-2-22_7-0-3.txt'
[7:0:4] HIDDEN | Surpressed due to logging rules. (see './logs/log_2024-2-22_7-0-3.private.txt')
[7:0:4] LOG | Fetching sources...
[7:0:4] HIDDEN | Surpressed due to logging rules. (see './logs/log_2024-2-22_7-0-3.private.txt')
[7:0:4] LOG | Retrieving playback url...
[7:0:4] HIDDEN | Surpressed due to logging rules. (see './logs/log_2024-2-22_7-0-3.private.txt')
[7:0:4] LOG | Sucessfully retrieved playback url!
[7:0:5] LOG | Request for embed.js intercepted
[7:0:5] HIDDEN | Surpressed due to logging rules. (see './logs/log_2024-2-22_7-0-3.private.txt')
[7:0:5] WARN | Same version detected!
[7:0:5] LOG | Routine for 'main' sleeping for '2.5' second(s)...
[7:0:8] LOG | Continuing...
[7:0:11] LOG | Request for embed.js intercepted
[7:0:11] HIDDEN | Surpressed due to logging rules. (see './logs/log_2024-2-22_7-0-3.private.txt')
[7:0:11] ERROR | Could not retrieve keys, patchEmbedJs failed?
[7:0:12] LOG | Extracted keys sucessfully!
[7:0:12] LOG | Key 1: 'jFyglAm9k14KJFqV' - Key 2: 'QYMduWEQhd0529Nh'
[7:0:12] LOG | Extracted keys sucessfully!
[7:0:12] LOG | Key 1: 'jFyglAm9k14KJFqV' - Key 2: 'QYMduWEQhd0529Nh'
[7:0:12] LOG | Bumped version to '65d6f0f9'
[7:0:12] LOG | Bumped version to '65d6f0f9'
[7:0:12] LOG | Extracted keys sucessfully!
[7:0:12] WARN | Killing process...
[7:0:12] LOG | Key 1: 'jFyglAm9k14KJFqV' - Key 2: 'QYMduWEQhd0529Nh'
