--------------------------------------------
  Created log file: log_2024-2-19_15-30-3
--------------------------------------------

[15:30:3] LOG | Updated logfile.txt to './logs/log_2024-2-19_15-30-3.txt'
[15:30:4] HIDDEN | Surpressed due to logging rules. (see './logs/log_2024-2-19_15-30-3.private.txt')
[15:30:4] LOG | Fetching sources...
[15:30:4] HIDDEN | Surpressed due to logging rules. (see './logs/log_2024-2-19_15-30-3.private.txt')
[15:30:4] LOG | Retrieving playback url...
[15:30:4] HIDDEN | Surpressed due to logging rules. (see './logs/log_2024-2-19_15-30-3.private.txt')
[15:30:4] LOG | Sucessfully retrieved playback url!
[15:30:5] LOG | Request for embed.js intercepted
[15:30:5] HIDDEN | Surpressed due to logging rules. (see './logs/log_2024-2-19_15-30-3.private.txt')
[15:30:5] WARN | Same version detected!
[15:30:5] LOG | Routine for 'main' sleeping for '2.5' second(s)...
[15:30:8] LOG | Continuing...
[15:30:21] WARN | Requests limit for 'embed' reached! (10)
[15:30:23] HIDDEN | Surpressed due to logging rules. (see './logs/log_2024-2-19_15-30-3.private.txt')
[15:30:23] LOG | Fetching sources...
[15:30:23] HIDDEN | Surpressed due to logging rules. (see './logs/log_2024-2-19_15-30-3.private.txt')
[15:30:23] LOG | Retrieving playback url...
[15:30:23] HIDDEN | Surpressed due to logging rules. (see './logs/log_2024-2-19_15-30-3.private.txt')
[15:30:23] LOG | Sucessfully retrieved playback url!
[15:30:30] LOG | Request for embed.js intercepted
[15:30:30] HIDDEN | Surpressed due to logging rules. (see './logs/log_2024-2-19_15-30-3.private.txt')
[15:30:30] WARN | Same version detected!
[15:30:30] LOG | Routine for 'main' sleeping for '2.5' second(s)...
[15:30:32] LOG | Continuing...
[15:30:36] LOG | Request for embed.js intercepted
[15:30:36] HIDDEN | Surpressed due to logging rules. (see './logs/log_2024-2-19_15-30-3.private.txt')
[15:30:36] WARN | Same version detected!
[15:30:36] LOG | Routine for 'main' sleeping for '2.5' second(s)...
[15:30:39] LOG | Continuing...
[15:30:42] WARN | Requests limit for 'embed' reached! (10)
[15:30:43] HIDDEN | Surpressed due to logging rules. (see './logs/log_2024-2-19_15-30-3.private.txt')
[15:30:43] LOG | Fetching sources...
[15:30:44] HIDDEN | Surpressed due to logging rules. (see './logs/log_2024-2-19_15-30-3.private.txt')
[15:30:44] LOG | Retrieving playback url...
[15:30:44] HIDDEN | Surpressed due to logging rules. (see './logs/log_2024-2-19_15-30-3.private.txt')
[15:30:44] LOG | Sucessfully retrieved playback url!
[15:30:53] LOG | Request for embed.js intercepted
[15:30:53] HIDDEN | Surpressed due to logging rules. (see './logs/log_2024-2-19_15-30-3.private.txt')
[15:30:53] WARN | Same version detected!
[15:30:53] LOG | Routine for 'main' sleeping for '2.5' second(s)...
[15:30:56] LOG | Continuing...
[15:31:0] WARN | Requests limit for 'embed' reached! (10)
[15:31:0] LOG | Request for embed.js intercepted
[15:31:0] HIDDEN | Surpressed due to logging rules. (see './logs/log_2024-2-19_15-30-3.private.txt')
[15:31:0] WARN | Same version detected!
[15:31:0] LOG | Routine for 'main' sleeping for '2.5' second(s)...
[15:31:3] LOG | Continuing...
[15:31:4] HIDDEN | Surpressed due to logging rules. (see './logs/log_2024-2-19_15-30-3.private.txt')
[15:31:4] LOG | Fetching sources...
[15:31:4] HIDDEN | Surpressed due to logging rules. (see './logs/log_2024-2-19_15-30-3.private.txt')
[15:31:4] LOG | Retrieving playback url...
[15:31:4] HIDDEN | Surpressed due to logging rules. (see './logs/log_2024-2-19_15-30-3.private.txt')
[15:31:4] LOG | Sucessfully retrieved playback url!
[15:31:13] LOG | Request for embed.js intercepted
[15:31:13] HIDDEN | Surpressed due to logging rules. (see './logs/log_2024-2-19_15-30-3.private.txt')
[15:31:13] WARN | Same version detected!
[15:31:13] LOG | Routine for 'main' sleeping for '2.5' second(s)...
[15:31:15] LOG | Continuing...
[15:31:19] LOG | Request for embed.js intercepted
[15:31:19] HIDDEN | Surpressed due to logging rules. (see './logs/log_2024-2-19_15-30-3.private.txt')
[15:31:19] WARN | Same version detected!
[15:31:19] LOG | Routine for 'main' sleeping for '2.5' second(s)...
[15:31:22] LOG | Continuing...
[15:31:23] WARN | Requests limit for 'embed' reached! (10)
[15:31:25] HIDDEN | Surpressed due to logging rules. (see './logs/log_2024-2-19_15-30-3.private.txt')
[15:31:25] LOG | Fetching sources...
[15:31:25] HIDDEN | Surpressed due to logging rules. (see './logs/log_2024-2-19_15-30-3.private.txt')
[15:31:25] LOG | Retrieving playback url...
[15:31:25] HIDDEN | Surpressed due to logging rules. (see './logs/log_2024-2-19_15-30-3.private.txt')
[15:31:25] LOG | Sucessfully retrieved playback url!
[15:31:39] WARN | Requests limit for 'embed' reached! (10)
[15:31:41] HIDDEN | Surpressed due to logging rules. (see './logs/log_2024-2-19_15-30-3.private.txt')
[15:31:41] LOG | Fetching sources...
[15:31:41] HIDDEN | Surpressed due to logging rules. (see './logs/log_2024-2-19_15-30-3.private.txt')
[15:31:41] LOG | Retrieving playback url...
[15:31:41] HIDDEN | Surpressed due to logging rules. (see './logs/log_2024-2-19_15-30-3.private.txt')
[15:31:41] LOG | Sucessfully retrieved playback url!
[15:31:51] LOG | Request for embed.js intercepted
[15:31:51] HIDDEN | Surpressed due to logging rules. (see './logs/log_2024-2-19_15-30-3.private.txt')
[15:31:51] WARN | Same version detected!
[15:31:51] LOG | Routine for 'main' sleeping for '2.5' second(s)...
[15:31:53] LOG | Continuing...
[15:31:57] WARN | Requests limit for 'embed' reached! (10)
[15:31:57] LOG | Request for embed.js intercepted
[15:31:57] HIDDEN | Surpressed due to logging rules. (see './logs/log_2024-2-19_15-30-3.private.txt')
[15:31:57] WARN | Same version detected!
[15:31:57] LOG | Routine for 'main' sleeping for '2.5' second(s)...
[15:32:0] LOG | Continuing...
[15:32:1] HIDDEN | Surpressed due to logging rules. (see './logs/log_2024-2-19_15-30-3.private.txt')
[15:32:1] LOG | Fetching sources...
[15:32:2] HIDDEN | Surpressed due to logging rules. (see './logs/log_2024-2-19_15-30-3.private.txt')
[15:32:2] LOG | Retrieving playback url...
[15:32:2] HIDDEN | Surpressed due to logging rules. (see './logs/log_2024-2-19_15-30-3.private.txt')
[15:32:2] LOG | Sucessfully retrieved playback url!
[15:32:16] WARN | Requests limit for 'embed' reached! (10)
[15:32:17] HIDDEN | Surpressed due to logging rules. (see './logs/log_2024-2-19_15-30-3.private.txt')
[15:32:17] LOG | Fetching sources...
[15:32:18] HIDDEN | Surpressed due to logging rules. (see './logs/log_2024-2-19_15-30-3.private.txt')
[15:32:18] LOG | Retrieving playback url...
[15:32:18] HIDDEN | Surpressed due to logging rules. (see './logs/log_2024-2-19_15-30-3.private.txt')
[15:32:18] LOG | Sucessfully retrieved playback url!
[15:32:32] WARN | Requests limit for 'embed' reached! (10)
[15:32:33] HIDDEN | Surpressed due to logging rules. (see './logs/log_2024-2-19_15-30-3.private.txt')
[15:32:33] LOG | Fetching sources...
[15:32:33] HIDDEN | Surpressed due to logging rules. (see './logs/log_2024-2-19_15-30-3.private.txt')
[15:32:33] LOG | Retrieving playback url...
[15:32:34] HIDDEN | Surpressed due to logging rules. (see './logs/log_2024-2-19_15-30-3.private.txt')
[15:32:34] LOG | Sucessfully retrieved playback url!
[15:32:43] LOG | Request for embed.js intercepted
[15:32:43] HIDDEN | Surpressed due to logging rules. (see './logs/log_2024-2-19_15-30-3.private.txt')
[15:32:43] WARN | Same version detected!
[15:32:43] LOG | Routine for 'main' sleeping for '2.5' second(s)...
[15:32:46] LOG | Continuing...
[15:32:50] WARN | Requests limit for 'embed' reached! (10)
[15:32:50] LOG | Request for embed.js intercepted
[15:32:50] HIDDEN | Surpressed due to logging rules. (see './logs/log_2024-2-19_15-30-3.private.txt')
[15:32:50] WARN | Same version detected!
[15:32:50] LOG | Routine for 'main' sleeping for '2.5' second(s)...
[15:32:53] LOG | Continuing...
