--------------------------------------------
  Created log file: log_2024-2-7_15-0-3
--------------------------------------------

[15:0:3] LOG | Updated logfile.txt to './logs/log_2024-2-7_15-0-3.txt'
[15:0:4] HIDDEN | Surpressed due to logging rules. (see './logs/log_2024-2-7_15-0-3.private.txt')
[15:0:4] LOG | Fetching sources...
[15:0:4] HIDDEN | Surpressed due to logging rules. (see './logs/log_2024-2-7_15-0-3.private.txt')
[15:0:4] LOG | Retrieving playback url...
[15:0:4] HIDDEN | Surpressed due to logging rules. (see './logs/log_2024-2-7_15-0-3.private.txt')
[15:0:4] LOG | Sucessfully retrieved playback url!
[15:0:5] LOG | Request for embed.js intercepted
[15:0:5] HIDDEN | Surpressed due to logging rules. (see './logs/log_2024-2-7_15-0-3.private.txt')
[15:0:5] WARN | Same version detected!
[15:0:5] LOG | Routine for 'main' sleeping for '2.5' second(s)...
[15:0:8] LOG | Continuing...
[15:0:11] LOG | Request for embed.js intercepted
[15:0:11] HIDDEN | Surpressed due to logging rules. (see './logs/log_2024-2-7_15-0-3.private.txt')
[15:0:11] LOG | Extracted keys sucessfully!
[15:0:11] LOG | Extracted keys sucessfully!
[15:0:11] LOG | Key 1: 'Dtsa2sgNNXkS2wd9' - Key 2: 'VIV4gpNvgcYKhby2'
[15:0:11] LOG | Key 1: 'Dtsa2sgNNXkS2wd9' - Key 2: 'VIV4gpNvgcYKhby2'
[15:0:11] LOG | Bumped version to '65c39afa'
[15:0:11] LOG | Bumped version to '65c39afa'
[15:0:11] WARN | Killing process...
