--------------------------------------------
  Created log file: log_2024-2-8_16-30-3
--------------------------------------------

[16:30:3] LOG | Updated logfile.txt to './logs/log_2024-2-8_16-30-3.txt'
[16:30:4] HIDDEN | Surpressed due to logging rules. (see './logs/log_2024-2-8_16-30-3.private.txt')
[16:30:4] LOG | Fetching sources...
[16:30:4] HIDDEN | Surpressed due to logging rules. (see './logs/log_2024-2-8_16-30-3.private.txt')
[16:30:4] LOG | Retrieving playback url...
[16:30:4] HIDDEN | Surpressed due to logging rules. (see './logs/log_2024-2-8_16-30-3.private.txt')
[16:30:4] LOG | Sucessfully retrieved playback url!
[16:30:5] LOG | Request for embed.js intercepted
[16:30:5] HIDDEN | Surpressed due to logging rules. (see './logs/log_2024-2-8_16-30-3.private.txt')
[16:30:5] WARN | Same version detected!
[16:30:5] LOG | Routine for 'main' sleeping for '2.5' second(s)...
[16:30:7] LOG | Continuing...
[16:30:9] LOG | Request for embed.js intercepted
[16:30:9] HIDDEN | Surpressed due to logging rules. (see './logs/log_2024-2-8_16-30-3.private.txt')
[16:30:9] WARN | Same version detected!
[16:30:9] LOG | Routine for 'main' sleeping for '2.5' second(s)...
[16:30:11] LOG | Continuing...
[16:30:23] WARN | Requests limit for 'embed' reached! (10)
[16:30:25] HIDDEN | Surpressed due to logging rules. (see './logs/log_2024-2-8_16-30-3.private.txt')
[16:30:25] LOG | Fetching sources...
[16:30:25] HIDDEN | Surpressed due to logging rules. (see './logs/log_2024-2-8_16-30-3.private.txt')
[16:30:25] LOG | Retrieving playback url...
[16:30:25] HIDDEN | Surpressed due to logging rules. (see './logs/log_2024-2-8_16-30-3.private.txt')
[16:30:25] LOG | Sucessfully retrieved playback url!
[16:30:39] WARN | Requests limit for 'embed' reached! (10)
[16:30:41] HIDDEN | Surpressed due to logging rules. (see './logs/log_2024-2-8_16-30-3.private.txt')
[16:30:41] LOG | Fetching sources...
[16:30:41] HIDDEN | Surpressed due to logging rules. (see './logs/log_2024-2-8_16-30-3.private.txt')
[16:30:41] LOG | Retrieving playback url...
[16:30:41] HIDDEN | Surpressed due to logging rules. (see './logs/log_2024-2-8_16-30-3.private.txt')
[16:30:41] LOG | Sucessfully retrieved playback url!
[16:30:55] WARN | Requests limit for 'embed' reached! (10)
[16:30:57] HIDDEN | Surpressed due to logging rules. (see './logs/log_2024-2-8_16-30-3.private.txt')
[16:30:57] LOG | Fetching sources...
