--------------------------------------------
  Created log file: log_2024-2-4_9-30-3
--------------------------------------------

[9:30:3] LOG | Updated logfile.txt to './logs/log_2024-2-4_9-30-3.txt'
[9:30:4] HIDDEN | Surpressed due to logging rules. (see './logs/log_2024-2-4_9-30-3.private.txt')
[9:30:4] LOG | Fetching sources...
[9:30:4] HIDDEN | Surpressed due to logging rules. (see './logs/log_2024-2-4_9-30-3.private.txt')
[9:30:4] LOG | Retrieving playback url...
[9:30:4] HIDDEN | Surpressed due to logging rules. (see './logs/log_2024-2-4_9-30-3.private.txt')
[9:30:4] LOG | Sucessfully retrieved playback url!
[9:30:5] LOG | Request for embed.js intercepted
[9:30:5] HIDDEN | Surpressed due to logging rules. (see './logs/log_2024-2-4_9-30-3.private.txt')
[9:30:5] WARN | Same version detected!
[9:30:5] LOG | Routine for 'main' sleeping for '2.5' second(s)...
[9:30:7] LOG | Continuing...
[9:30:9] LOG | Request for embed.js intercepted
[9:30:9] HIDDEN | Surpressed due to logging rules. (see './logs/log_2024-2-4_9-30-3.private.txt')
[9:30:9] WARN | Same version detected!
[9:30:9] LOG | Routine for 'main' sleeping for '2.5' second(s)...
[9:30:11] LOG | Continuing...
[9:30:18] LOG | Request for embed.js intercepted
[9:30:18] HIDDEN | Surpressed due to logging rules. (see './logs/log_2024-2-4_9-30-3.private.txt')
[9:30:18] WARN | Same version detected!
[9:30:18] LOG | Routine for 'main' sleeping for '2.5' second(s)...
[9:30:21] LOG | Continuing...
[9:30:25] WARN | Requests limit for 'embed' reached! (10)
[9:30:26] HIDDEN | Surpressed due to logging rules. (see './logs/log_2024-2-4_9-30-3.private.txt')
[9:30:26] LOG | Fetching sources...
[9:30:26] HIDDEN | Surpressed due to logging rules. (see './logs/log_2024-2-4_9-30-3.private.txt')
[9:30:26] LOG | Retrieving playback url...
[9:30:27] HIDDEN | Surpressed due to logging rules. (see './logs/log_2024-2-4_9-30-3.private.txt')
[9:30:27] LOG | Sucessfully retrieved playback url!
[9:30:27] LOG | Request for embed.js intercepted
[9:30:27] HIDDEN | Surpressed due to logging rules. (see './logs/log_2024-2-4_9-30-3.private.txt')
[9:30:27] WARN | Same version detected!
[9:30:27] LOG | Routine for 'main' sleeping for '2.5' second(s)...
[9:30:30] LOG | Continuing...
[9:30:41] LOG | Request for embed.js intercepted
[9:30:41] HIDDEN | Surpressed due to logging rules. (see './logs/log_2024-2-4_9-30-3.private.txt')
[9:30:41] WARN | Same version detected!
[9:30:41] LOG | Routine for 'main' sleeping for '2.5' second(s)...
[9:30:44] LOG | Continuing...
[9:30:45] WARN | Requests limit for 'embed' reached! (10)
[9:30:46] HIDDEN | Surpressed due to logging rules. (see './logs/log_2024-2-4_9-30-3.private.txt')
[9:30:46] LOG | Fetching sources...
[9:30:46] HIDDEN | Surpressed due to logging rules. (see './logs/log_2024-2-4_9-30-3.private.txt')
[9:30:46] LOG | Retrieving playback url...
[9:30:47] HIDDEN | Surpressed due to logging rules. (see './logs/log_2024-2-4_9-30-3.private.txt')
[9:30:47] LOG | Sucessfully retrieved playback url!
[9:31:0] WARN | Requests limit for 'embed' reached! (10)
[9:31:1] HIDDEN | Surpressed due to logging rules. (see './logs/log_2024-2-4_9-30-3.private.txt')
[9:31:1] LOG | Fetching sources...
[9:31:2] HIDDEN | Surpressed due to logging rules. (see './logs/log_2024-2-4_9-30-3.private.txt')
[9:31:2] LOG | Retrieving playback url...
[9:31:2] HIDDEN | Surpressed due to logging rules. (see './logs/log_2024-2-4_9-30-3.private.txt')
[9:31:2] LOG | Sucessfully retrieved playback url!
