--------------------------------------------
  Created log file: log_2024-2-21_9-40-3
--------------------------------------------

[9:40:3] LOG | Updated logfile.txt to './logs/log_2024-2-21_9-40-3.txt'
[9:40:4] HIDDEN | Surpressed due to logging rules. (see './logs/log_2024-2-21_9-40-3.private.txt')
[9:40:4] LOG | Fetching sources...
[9:40:4] HIDDEN | Surpressed due to logging rules. (see './logs/log_2024-2-21_9-40-3.private.txt')
[9:40:4] LOG | Retrieving playback url...
[9:40:4] HIDDEN | Surpressed due to logging rules. (see './logs/log_2024-2-21_9-40-3.private.txt')
[9:40:4] LOG | Sucessfully retrieved playback url!
[9:40:5] LOG | Request for embed.js intercepted
[9:40:5] HIDDEN | Surpressed due to logging rules. (see './logs/log_2024-2-21_9-40-3.private.txt')
[9:40:5] WARN | Same version detected!
[9:40:5] LOG | Routine for 'main' sleeping for '2.5' second(s)...
[9:40:7] LOG | Continuing...
[9:40:21] WARN | Requests limit for 'embed' reached! (10)
[9:40:23] HIDDEN | Surpressed due to logging rules. (see './logs/log_2024-2-21_9-40-3.private.txt')
[9:40:23] LOG | Fetching sources...
[9:40:23] HIDDEN | Surpressed due to logging rules. (see './logs/log_2024-2-21_9-40-3.private.txt')
[9:40:23] LOG | Retrieving playback url...
[9:40:23] HIDDEN | Surpressed due to logging rules. (see './logs/log_2024-2-21_9-40-3.private.txt')
[9:40:23] LOG | Sucessfully retrieved playback url!
[9:40:37] WARN | Requests limit for 'embed' reached! (10)
[9:40:39] HIDDEN | Surpressed due to logging rules. (see './logs/log_2024-2-21_9-40-3.private.txt')
[9:40:39] LOG | Fetching sources...
[9:40:39] HIDDEN | Surpressed due to logging rules. (see './logs/log_2024-2-21_9-40-3.private.txt')
[9:40:39] LOG | Retrieving playback url...
[9:40:39] HIDDEN | Surpressed due to logging rules. (see './logs/log_2024-2-21_9-40-3.private.txt')
[9:40:39] LOG | Sucessfully retrieved playback url!
[9:40:40] LOG | Request for embed.js intercepted
[9:40:40] HIDDEN | Surpressed due to logging rules. (see './logs/log_2024-2-21_9-40-3.private.txt')
[9:40:40] WARN | Same version detected!
[9:40:40] LOG | Routine for 'main' sleeping for '2.5' second(s)...
[9:40:43] LOG | Continuing...
[9:40:57] WARN | Requests limit for 'embed' reached! (10)
[9:40:58] HIDDEN | Surpressed due to logging rules. (see './logs/log_2024-2-21_9-40-3.private.txt')
[9:40:58] LOG | Fetching sources...
[9:40:58] HIDDEN | Surpressed due to logging rules. (see './logs/log_2024-2-21_9-40-3.private.txt')
[9:40:58] LOG | Retrieving playback url...
[9:40:58] HIDDEN | Surpressed due to logging rules. (see './logs/log_2024-2-21_9-40-3.private.txt')
[9:40:58] LOG | Sucessfully retrieved playback url!
[9:41:13] WARN | Requests limit for 'embed' reached! (10)
[9:41:15] HIDDEN | Surpressed due to logging rules. (see './logs/log_2024-2-21_9-40-3.private.txt')
[9:41:15] LOG | Fetching sources...
[9:41:15] HIDDEN | Surpressed due to logging rules. (see './logs/log_2024-2-21_9-40-3.private.txt')
[9:41:15] LOG | Retrieving playback url...
[9:41:15] HIDDEN | Surpressed due to logging rules. (see './logs/log_2024-2-21_9-40-3.private.txt')
[9:41:15] LOG | Sucessfully retrieved playback url!
[9:41:29] WARN | Requests limit for 'embed' reached! (10)
[9:41:31] HIDDEN | Surpressed due to logging rules. (see './logs/log_2024-2-21_9-40-3.private.txt')
[9:41:31] LOG | Fetching sources...
[9:41:31] HIDDEN | Surpressed due to logging rules. (see './logs/log_2024-2-21_9-40-3.private.txt')
[9:41:31] LOG | Retrieving playback url...
[9:41:31] HIDDEN | Surpressed due to logging rules. (see './logs/log_2024-2-21_9-40-3.private.txt')
[9:41:31] LOG | Sucessfully retrieved playback url!
[9:41:45] WARN | Requests limit for 'embed' reached! (10)
[9:41:47] HIDDEN | Surpressed due to logging rules. (see './logs/log_2024-2-21_9-40-3.private.txt')
[9:41:47] LOG | Fetching sources...
[9:41:47] HIDDEN | Surpressed due to logging rules. (see './logs/log_2024-2-21_9-40-3.private.txt')
[9:41:47] LOG | Retrieving playback url...
[9:41:47] HIDDEN | Surpressed due to logging rules. (see './logs/log_2024-2-21_9-40-3.private.txt')
[9:41:47] LOG | Sucessfully retrieved playback url!
[9:42:2] WARN | Requests limit for 'embed' reached! (10)
[9:42:4] HIDDEN | Surpressed due to logging rules. (see './logs/log_2024-2-21_9-40-3.private.txt')
[9:42:4] LOG | Fetching sources...
[9:42:4] HIDDEN | Surpressed due to logging rules. (see './logs/log_2024-2-21_9-40-3.private.txt')
[9:42:4] LOG | Retrieving playback url...
[9:42:4] HIDDEN | Surpressed due to logging rules. (see './logs/log_2024-2-21_9-40-3.private.txt')
[9:42:4] LOG | Sucessfully retrieved playback url!
[9:42:18] WARN | Requests limit for 'embed' reached! (10)
[9:42:20] HIDDEN | Surpressed due to logging rules. (see './logs/log_2024-2-21_9-40-3.private.txt')
[9:42:20] LOG | Fetching sources...
[9:42:20] HIDDEN | Surpressed due to logging rules. (see './logs/log_2024-2-21_9-40-3.private.txt')
[9:42:20] LOG | Retrieving playback url...
[9:42:20] HIDDEN | Surpressed due to logging rules. (see './logs/log_2024-2-21_9-40-3.private.txt')
