--------------------------------------------
  Created log file: log_2024-2-1_17-30-3
--------------------------------------------

[17:30:3] LOG | Updated logfile.txt to './logs/log_2024-2-1_17-30-3.txt'
[17:30:4] HIDDEN | Surpressed due to logging rules. (see './logs/log_2024-2-1_17-30-3.private.txt')
[17:30:4] LOG | Fetching sources...
[17:30:4] HIDDEN | Surpressed due to logging rules. (see './logs/log_2024-2-1_17-30-3.private.txt')
[17:30:4] LOG | Retrieving playback url...
[17:30:4] HIDDEN | Surpressed due to logging rules. (see './logs/log_2024-2-1_17-30-3.private.txt')
[17:30:4] LOG | Sucessfully retrieved playback url!
[17:30:6] LOG | Request for embed.js intercepted
[17:30:6] HIDDEN | Surpressed due to logging rules. (see './logs/log_2024-2-1_17-30-3.private.txt')
[17:30:6] ERROR | Could not retrieve keys, patchEmbedJs failed?
[17:30:6] ERROR | Could not retrieve keys, patchEmbedJs failed?
[17:30:6] LOG | Extracted keys sucessfully!
[17:30:6] LOG | Extracted keys sucessfully!
[17:30:6] LOG | Key 1: 'Z4asmKDHWnElP2By' - Key 2: 'e9z5uq4SWTpIEQyS'
[17:30:6] LOG | Key 1: 'Z4asmKDHWnElP2By' - Key 2: 'e9z5uq4SWTpIEQyS'
[17:30:6] LOG | Bumped version to '65bbce1a'
[17:30:6] LOG | Bumped version to '65bbce1a'
[17:30:6] WARN | Killing process...
[17:30:6] WARN | Killing process...
