--------------------------------------------
  Created log file: log_2024-2-15_15-30-3
--------------------------------------------

[15:30:3] LOG | Updated logfile.txt to './logs/log_2024-2-15_15-30-3.txt'
[15:30:4] HIDDEN | Surpressed due to logging rules. (see './logs/log_2024-2-15_15-30-3.private.txt')
[15:30:4] LOG | Fetching sources...
[15:30:4] HIDDEN | Surpressed due to logging rules. (see './logs/log_2024-2-15_15-30-3.private.txt')
[15:30:4] LOG | Retrieving playback url...
[15:30:4] HIDDEN | Surpressed due to logging rules. (see './logs/log_2024-2-15_15-30-3.private.txt')
[15:30:4] LOG | Sucessfully retrieved playback url!
[15:30:5] LOG | Request for embed.js intercepted
[15:30:5] HIDDEN | Surpressed due to logging rules. (see './logs/log_2024-2-15_15-30-3.private.txt')
[15:30:5] ERROR | Could not retrieve keys, patchEmbedJs failed?
[15:30:5] ERROR | Could not retrieve keys, patchEmbedJs failed?
[15:30:6] LOG | Extracted keys sucessfully!
[15:30:6] LOG | Key 1: 'dsSsSQdl5vmywS1V' - Key 2: 'KK0qYGhVH6xm3FAm'
[15:30:6] LOG | Bumped version to '65ce26fa'
[15:30:6] WARN | Killing process...
