--------------------------------------------
  Created log file: log_2024-2-2_14-30-3
--------------------------------------------

[14:30:3] LOG | Updated logfile.txt to './logs/log_2024-2-2_14-30-3.txt'
[14:30:4] HIDDEN | Surpressed due to logging rules. (see './logs/log_2024-2-2_14-30-3.private.txt')
[14:30:4] LOG | Fetching sources...
[14:30:4] HIDDEN | Surpressed due to logging rules. (see './logs/log_2024-2-2_14-30-3.private.txt')
[14:30:4] LOG | Retrieving playback url...
[14:30:5] HIDDEN | Surpressed due to logging rules. (see './logs/log_2024-2-2_14-30-3.private.txt')
[14:30:5] LOG | Sucessfully retrieved playback url!
[14:30:5] LOG | Request for embed.js intercepted
[14:30:5] HIDDEN | Surpressed due to logging rules. (see './logs/log_2024-2-2_14-30-3.private.txt')
[14:30:5] WARN | Same version detected!
[14:30:5] LOG | Routine for 'main' sleeping for '2.5' second(s)...
[14:30:8] LOG | Continuing...
[14:30:9] LOG | Request for embed.js intercepted
[14:30:9] HIDDEN | Surpressed due to logging rules. (see './logs/log_2024-2-2_14-30-3.private.txt')
[14:30:9] WARN | Same version detected!
[14:30:9] LOG | Routine for 'main' sleeping for '2.5' second(s)...
[14:30:12] LOG | Continuing...
[14:30:14] LOG | Request for embed.js intercepted
[14:30:14] HIDDEN | Surpressed due to logging rules. (see './logs/log_2024-2-2_14-30-3.private.txt')
[14:30:14] WARN | Same version detected!
[14:30:14] LOG | Routine for 'main' sleeping for '2.5' second(s)...
[14:30:17] LOG | Continuing...
[14:30:20] LOG | Request for embed.js intercepted
[14:30:20] HIDDEN | Surpressed due to logging rules. (see './logs/log_2024-2-2_14-30-3.private.txt')
[14:30:20] WARN | Same version detected!
[14:30:20] LOG | Routine for 'main' sleeping for '2.5' second(s)...
[14:30:22] LOG | Continuing...
[14:30:25] LOG | Request for embed.js intercepted
[14:30:25] HIDDEN | Surpressed due to logging rules. (see './logs/log_2024-2-2_14-30-3.private.txt')
[14:30:25] WARN | Same version detected!
[14:30:25] LOG | Routine for 'main' sleeping for '2.5' second(s)...
[14:30:27] LOG | Continuing...
[14:30:30] LOG | Request for embed.js intercepted
[14:30:30] HIDDEN | Surpressed due to logging rules. (see './logs/log_2024-2-2_14-30-3.private.txt')
[14:30:30] WARN | Same version detected!
[14:30:30] LOG | Routine for 'main' sleeping for '2.5' second(s)...
[14:30:33] LOG | Continuing...
[14:30:39] WARN | Requests limit for 'embed' reached! (10)
[14:30:40] HIDDEN | Surpressed due to logging rules. (see './logs/log_2024-2-2_14-30-3.private.txt')
[14:30:40] LOG | Fetching sources...
[14:30:40] HIDDEN | Surpressed due to logging rules. (see './logs/log_2024-2-2_14-30-3.private.txt')
[14:30:40] LOG | Retrieving playback url...
[14:30:40] HIDDEN | Surpressed due to logging rules. (see './logs/log_2024-2-2_14-30-3.private.txt')
[14:30:40] LOG | Sucessfully retrieved playback url!
[14:30:44] LOG | Request for embed.js intercepted
[14:30:44] HIDDEN | Surpressed due to logging rules. (see './logs/log_2024-2-2_14-30-3.private.txt')
[14:30:44] WARN | Same version detected!
[14:30:44] LOG | Routine for 'main' sleeping for '2.5' second(s)...
[14:30:47] LOG | Continuing...
[14:31:1] WARN | Requests limit for 'embed' reached! (10)
[14:31:1] LOG | Request for embed.js intercepted
[14:31:1] HIDDEN | Surpressed due to logging rules. (see './logs/log_2024-2-2_14-30-3.private.txt')
[14:31:1] WARN | Same version detected!
[14:31:1] LOG | Routine for 'main' sleeping for '2.5' second(s)...
[14:31:4] LOG | Continuing...
[14:31:7] HIDDEN | Surpressed due to logging rules. (see './logs/log_2024-2-2_14-30-3.private.txt')
[14:31:7] LOG | Fetching sources...
[14:31:7] HIDDEN | Surpressed due to logging rules. (see './logs/log_2024-2-2_14-30-3.private.txt')
[14:31:7] LOG | Retrieving playback url...
[14:31:7] HIDDEN | Surpressed due to logging rules. (see './logs/log_2024-2-2_14-30-3.private.txt')
[14:31:7] LOG | Sucessfully retrieved playback url!
[14:31:11] LOG | Request for embed.js intercepted
[14:31:11] HIDDEN | Surpressed due to logging rules. (see './logs/log_2024-2-2_14-30-3.private.txt')
[14:31:11] WARN | Same version detected!
[14:31:11] LOG | Routine for 'main' sleeping for '2.5' second(s)...
[14:31:13] LOG | Continuing...
[14:31:20] LOG | Request for embed.js intercepted
[14:31:20] HIDDEN | Surpressed due to logging rules. (see './logs/log_2024-2-2_14-30-3.private.txt')
[14:31:20] WARN | Same version detected!
[14:31:20] LOG | Routine for 'main' sleeping for '2.5' second(s)...
[14:31:23] LOG | Continuing...
[14:31:27] WARN | Requests limit for 'embed' reached! (10)
[14:31:30] HIDDEN | Surpressed due to logging rules. (see './logs/log_2024-2-2_14-30-3.private.txt')
[14:31:30] LOG | Fetching sources...
[14:31:30] HIDDEN | Surpressed due to logging rules. (see './logs/log_2024-2-2_14-30-3.private.txt')
[14:31:30] LOG | Retrieving playback url...
[14:31:30] HIDDEN | Surpressed due to logging rules. (see './logs/log_2024-2-2_14-30-3.private.txt')
[14:31:30] LOG | Sucessfully retrieved playback url!
[14:31:31] LOG | Request for embed.js intercepted
[14:31:31] HIDDEN | Surpressed due to logging rules. (see './logs/log_2024-2-2_14-30-3.private.txt')
[14:31:31] WARN | Same version detected!
[14:31:31] LOG | Routine for 'main' sleeping for '2.5' second(s)...
[14:31:33] LOG | Continuing...
[14:31:38] ERROR | Requests limit for 'main' reached! (2000)
[14:31:38] WARN | Killing process...
