--------------------------------------------
  Created log file: log_2024-2-17_23-30-3
--------------------------------------------

[23:30:3] LOG | Updated logfile.txt to './logs/log_2024-2-17_23-30-3.txt'
[23:30:4] HIDDEN | Surpressed due to logging rules. (see './logs/log_2024-2-17_23-30-3.private.txt')
[23:30:4] LOG | Fetching sources...
[23:30:4] HIDDEN | Surpressed due to logging rules. (see './logs/log_2024-2-17_23-30-3.private.txt')
[23:30:4] LOG | Retrieving playback url...
[23:30:4] HIDDEN | Surpressed due to logging rules. (see './logs/log_2024-2-17_23-30-3.private.txt')
[23:30:4] LOG | Sucessfully retrieved playback url!
[23:30:5] LOG | Request for embed.js intercepted
[23:30:5] HIDDEN | Surpressed due to logging rules. (see './logs/log_2024-2-17_23-30-3.private.txt')
[23:30:5] ERROR | Could not retrieve keys, patchEmbedJs failed?
[23:30:5] LOG | Extracted keys sucessfully!
[23:30:5] LOG | Key 1: 'sI5wQEWyNm6LeXk2' - Key 2: 'ecy1g2JyUHfMO7v1'
[23:30:5] LOG | Bumped version to '65d13a7a'
[23:30:5] WARN | Killing process...
