--------------------------------------------
  Created log file: log_2024-2-22_5-20-3
--------------------------------------------

[5:20:3] LOG | Updated logfile.txt to './logs/log_2024-2-22_5-20-3.txt'
[5:20:4] HIDDEN | Surpressed due to logging rules. (see './logs/log_2024-2-22_5-20-3.private.txt')
[5:20:4] LOG | Fetching sources...
[5:20:4] HIDDEN | Surpressed due to logging rules. (see './logs/log_2024-2-22_5-20-3.private.txt')
[5:20:4] LOG | Retrieving playback url...
[5:20:4] HIDDEN | Surpressed due to logging rules. (see './logs/log_2024-2-22_5-20-3.private.txt')
[5:20:4] LOG | Sucessfully retrieved playback url!
[5:20:5] LOG | Request for embed.js intercepted
[5:20:5] HIDDEN | Surpressed due to logging rules. (see './logs/log_2024-2-22_5-20-3.private.txt')
[5:20:5] WARN | Same version detected!
[5:20:5] LOG | Routine for 'main' sleeping for '2.5' second(s)...
[5:20:8] LOG | Continuing...
[5:20:21] WARN | Requests limit for 'embed' reached! (10)
[5:20:23] HIDDEN | Surpressed due to logging rules. (see './logs/log_2024-2-22_5-20-3.private.txt')
[5:20:23] LOG | Fetching sources...
[5:20:23] HIDDEN | Surpressed due to logging rules. (see './logs/log_2024-2-22_5-20-3.private.txt')
[5:20:23] LOG | Retrieving playback url...
[5:20:23] HIDDEN | Surpressed due to logging rules. (see './logs/log_2024-2-22_5-20-3.private.txt')
[5:20:23] LOG | Sucessfully retrieved playback url!
[5:20:27] LOG | Request for embed.js intercepted
[5:20:27] HIDDEN | Surpressed due to logging rules. (see './logs/log_2024-2-22_5-20-3.private.txt')
[5:20:27] WARN | Same version detected!
[5:20:27] LOG | Routine for 'main' sleeping for '2.5' second(s)...
[5:20:29] LOG | Continuing...
[5:20:34] LOG | Request for embed.js intercepted
[5:20:34] HIDDEN | Surpressed due to logging rules. (see './logs/log_2024-2-22_5-20-3.private.txt')
[5:20:34] WARN | Same version detected!
[5:20:34] LOG | Routine for 'main' sleeping for '2.5' second(s)...
[5:20:36] LOG | Continuing...
[5:20:42] WARN | Requests limit for 'embed' reached! (10)
[5:20:43] HIDDEN | Surpressed due to logging rules. (see './logs/log_2024-2-22_5-20-3.private.txt')
[5:20:43] LOG | Fetching sources...
[5:20:43] HIDDEN | Surpressed due to logging rules. (see './logs/log_2024-2-22_5-20-3.private.txt')
[5:20:43] LOG | Retrieving playback url...
[5:20:43] HIDDEN | Surpressed due to logging rules. (see './logs/log_2024-2-22_5-20-3.private.txt')
[5:20:44] LOG | Sucessfully retrieved playback url!
[5:20:57] WARN | Requests limit for 'embed' reached! (10)
[5:20:59] HIDDEN | Surpressed due to logging rules. (see './logs/log_2024-2-22_5-20-3.private.txt')
[5:20:59] LOG | Fetching sources...
[5:20:59] HIDDEN | Surpressed due to logging rules. (see './logs/log_2024-2-22_5-20-3.private.txt')
[5:20:59] LOG | Retrieving playback url...
[5:20:59] HIDDEN | Surpressed due to logging rules. (see './logs/log_2024-2-22_5-20-3.private.txt')
[5:20:59] LOG | Sucessfully retrieved playback url!
[5:21:7] LOG | Request for embed.js intercepted
[5:21:7] HIDDEN | Surpressed due to logging rules. (see './logs/log_2024-2-22_5-20-3.private.txt')
[5:21:7] WARN | Same version detected!
[5:21:7] LOG | Routine for 'main' sleeping for '2.5' second(s)...
[5:21:10] LOG | Continuing...
[5:21:16] WARN | Requests limit for 'embed' reached! (10)
[5:21:17] HIDDEN | Surpressed due to logging rules. (see './logs/log_2024-2-22_5-20-3.private.txt')
[5:21:17] LOG | Fetching sources...
[5:21:17] HIDDEN | Surpressed due to logging rules. (see './logs/log_2024-2-22_5-20-3.private.txt')
[5:21:17] LOG | Retrieving playback url...
[5:21:17] HIDDEN | Surpressed due to logging rules. (see './logs/log_2024-2-22_5-20-3.private.txt')
[5:21:17] LOG | Sucessfully retrieved playback url!
[5:21:31] WARN | Requests limit for 'embed' reached! (10)
[5:21:33] HIDDEN | Surpressed due to logging rules. (see './logs/log_2024-2-22_5-20-3.private.txt')
[5:21:33] LOG | Fetching sources...
[5:21:33] HIDDEN | Surpressed due to logging rules. (see './logs/log_2024-2-22_5-20-3.private.txt')
[5:21:33] LOG | Retrieving playback url...
[5:21:33] HIDDEN | Surpressed due to logging rules. (see './logs/log_2024-2-22_5-20-3.private.txt')
[5:21:33] LOG | Sucessfully retrieved playback url!
[5:21:44] LOG | Request for embed.js intercepted
[5:21:44] HIDDEN | Surpressed due to logging rules. (see './logs/log_2024-2-22_5-20-3.private.txt')
[5:21:44] WARN | Same version detected!
[5:21:44] LOG | Routine for 'main' sleeping for '2.5' second(s)...
[5:21:47] LOG | Continuing...
[5:21:49] WARN | Requests limit for 'embed' reached! (10)
[5:21:51] HIDDEN | Surpressed due to logging rules. (see './logs/log_2024-2-22_5-20-3.private.txt')
[5:21:51] LOG | Fetching sources...
[5:21:51] HIDDEN | Surpressed due to logging rules. (see './logs/log_2024-2-22_5-20-3.private.txt')
[5:21:51] LOG | Retrieving playback url...
