--------------------------------------------
  Created log file: log_2024-1-31_12-30-3
--------------------------------------------

[12:30:3] LOG | Updated logfile.txt to './logs/log_2024-1-31_12-30-3.txt'
[12:30:4] HIDDEN | Surpressed due to logging rules. (see './logs/log_2024-1-31_12-30-3.private.txt')
[12:30:4] LOG | Fetching sources...
[12:30:4] HIDDEN | Surpressed due to logging rules. (see './logs/log_2024-1-31_12-30-3.private.txt')
[12:30:4] LOG | Retrieving playback url...
[12:30:4] HIDDEN | Surpressed due to logging rules. (see './logs/log_2024-1-31_12-30-3.private.txt')
[12:30:4] LOG | Sucessfully retrieved playback url!
[12:30:5] LOG | Request for embed.js intercepted
[12:30:5] HIDDEN | Surpressed due to logging rules. (see './logs/log_2024-1-31_12-30-3.private.txt')
[12:30:5] WARN | Same version detected!
[12:30:5] LOG | Routine for 'main' sleeping for '2.5' second(s)...
[12:30:7] LOG | Continuing...
[12:30:9] LOG | Request for embed.js intercepted
[12:30:9] HIDDEN | Surpressed due to logging rules. (see './logs/log_2024-1-31_12-30-3.private.txt')
[12:30:9] WARN | Same version detected!
[12:30:9] LOG | Routine for 'main' sleeping for '2.5' second(s)...
[12:30:11] LOG | Continuing...
[12:30:23] LOG | Request for embed.js intercepted
[12:30:23] HIDDEN | Surpressed due to logging rules. (see './logs/log_2024-1-31_12-30-3.private.txt')
[12:30:23] WARN | Same version detected!
[12:30:23] LOG | Routine for 'main' sleeping for '2.5' second(s)...
[12:30:25] LOG | Continuing...
[12:30:28] LOG | Request for embed.js intercepted
[12:30:28] HIDDEN | Surpressed due to logging rules. (see './logs/log_2024-1-31_12-30-3.private.txt')
[12:30:28] WARN | Same version detected!
[12:30:28] LOG | Routine for 'main' sleeping for '2.5' second(s)...
[12:30:30] LOG | Continuing...
[12:30:31] WARN | Requests limit for 'embed' reached! (10)
[12:30:34] HIDDEN | Surpressed due to logging rules. (see './logs/log_2024-1-31_12-30-3.private.txt')
[12:30:34] LOG | Fetching sources...
[12:30:34] HIDDEN | Surpressed due to logging rules. (see './logs/log_2024-1-31_12-30-3.private.txt')
[12:30:34] LOG | Retrieving playback url...
[12:30:34] HIDDEN | Surpressed due to logging rules. (see './logs/log_2024-1-31_12-30-3.private.txt')
[12:30:34] LOG | Sucessfully retrieved playback url!
[12:30:35] LOG | Request for embed.js intercepted
[12:30:35] HIDDEN | Surpressed due to logging rules. (see './logs/log_2024-1-31_12-30-3.private.txt')
[12:30:35] WARN | Same version detected!
[12:30:35] LOG | Routine for 'main' sleeping for '2.5' second(s)...
[12:30:38] LOG | Continuing...
[12:30:53] WARN | Requests limit for 'embed' reached! (10)
[12:30:54] HIDDEN | Surpressed due to logging rules. (see './logs/log_2024-1-31_12-30-3.private.txt')
[12:30:54] LOG | Fetching sources...
[12:30:54] HIDDEN | Surpressed due to logging rules. (see './logs/log_2024-1-31_12-30-3.private.txt')
[12:30:54] LOG | Retrieving playback url...
[12:30:55] HIDDEN | Surpressed due to logging rules. (see './logs/log_2024-1-31_12-30-3.private.txt')
[12:30:55] LOG | Sucessfully retrieved playback url!
[12:30:55] LOG | Request for embed.js intercepted
[12:30:55] HIDDEN | Surpressed due to logging rules. (see './logs/log_2024-1-31_12-30-3.private.txt')
[12:30:55] WARN | Same version detected!
[12:30:55] LOG | Routine for 'main' sleeping for '2.5' second(s)...
[12:30:58] LOG | Continuing...
[12:31:6] LOG | Request for embed.js intercepted
[12:31:6] HIDDEN | Surpressed due to logging rules. (see './logs/log_2024-1-31_12-30-3.private.txt')
[12:31:6] WARN | Same version detected!
[12:31:6] LOG | Routine for 'main' sleeping for '2.5' second(s)...
[12:31:9] LOG | Continuing...
[12:31:15] WARN | Requests limit for 'embed' reached! (10)
[12:31:18] HIDDEN | Surpressed due to logging rules. (see './logs/log_2024-1-31_12-30-3.private.txt')
[12:31:18] LOG | Fetching sources...
[12:31:18] HIDDEN | Surpressed due to logging rules. (see './logs/log_2024-1-31_12-30-3.private.txt')
[12:31:18] LOG | Retrieving playback url...
[12:31:18] HIDDEN | Surpressed due to logging rules. (see './logs/log_2024-1-31_12-30-3.private.txt')
[12:31:18] LOG | Sucessfully retrieved playback url!
[12:31:19] LOG | Request for embed.js intercepted
[12:31:19] HIDDEN | Surpressed due to logging rules. (see './logs/log_2024-1-31_12-30-3.private.txt')
[12:31:19] WARN | Same version detected!
[12:31:19] LOG | Routine for 'main' sleeping for '2.5' second(s)...
[12:31:21] LOG | Continuing...
[12:31:26] ERROR | Requests limit for 'main' reached! (2000)
[12:31:26] WARN | Killing process...
