--------------------------------------------
  Created log file: log_2024-2-1_1-30-3
--------------------------------------------

[1:30:3] LOG | Updated logfile.txt to './logs/log_2024-2-1_1-30-3.txt'
[1:30:4] HIDDEN | Surpressed due to logging rules. (see './logs/log_2024-2-1_1-30-3.private.txt')
[1:30:4] LOG | Fetching sources...
[1:30:4] HIDDEN | Surpressed due to logging rules. (see './logs/log_2024-2-1_1-30-3.private.txt')
[1:30:4] LOG | Retrieving playback url...
[1:30:4] HIDDEN | Surpressed due to logging rules. (see './logs/log_2024-2-1_1-30-3.private.txt')
[1:30:4] LOG | Sucessfully retrieved playback url!
[1:30:5] LOG | Request for embed.js intercepted
[1:30:5] HIDDEN | Surpressed due to logging rules. (see './logs/log_2024-2-1_1-30-3.private.txt')
[1:30:5] WARN | Same version detected!
[1:30:5] LOG | Routine for 'main' sleeping for '2.5' second(s)...
[1:30:8] LOG | Continuing...
[1:30:9] LOG | Request for embed.js intercepted
[1:30:9] HIDDEN | Surpressed due to logging rules. (see './logs/log_2024-2-1_1-30-3.private.txt')
[1:30:9] WARN | Same version detected!
[1:30:9] LOG | Routine for 'main' sleeping for '2.5' second(s)...
[1:30:12] LOG | Continuing...
[1:30:22] LOG | Request for embed.js intercepted
[1:30:22] HIDDEN | Surpressed due to logging rules. (see './logs/log_2024-2-1_1-30-3.private.txt')
[1:30:22] WARN | Same version detected!
[1:30:22] LOG | Routine for 'main' sleeping for '2.5' second(s)...
[1:30:25] LOG | Continuing...
[1:30:27] LOG | Request for embed.js intercepted
[1:30:27] HIDDEN | Surpressed due to logging rules. (see './logs/log_2024-2-1_1-30-3.private.txt')
[1:30:27] WARN | Same version detected!
[1:30:27] LOG | Routine for 'main' sleeping for '2.5' second(s)...
[1:30:30] LOG | Continuing...
[1:30:31] WARN | Requests limit for 'embed' reached! (10)
[1:30:33] HIDDEN | Surpressed due to logging rules. (see './logs/log_2024-2-1_1-30-3.private.txt')
[1:30:33] LOG | Fetching sources...
[1:30:33] HIDDEN | Surpressed due to logging rules. (see './logs/log_2024-2-1_1-30-3.private.txt')
[1:30:33] LOG | Retrieving playback url...
[1:30:33] HIDDEN | Surpressed due to logging rules. (see './logs/log_2024-2-1_1-30-3.private.txt')
[1:30:33] LOG | Sucessfully retrieved playback url!
[1:30:34] LOG | Request for embed.js intercepted
[1:30:34] HIDDEN | Surpressed due to logging rules. (see './logs/log_2024-2-1_1-30-3.private.txt')
[1:30:34] WARN | Same version detected!
[1:30:34] LOG | Routine for 'main' sleeping for '2.5' second(s)...
[1:30:36] LOG | Continuing...
[1:30:46] LOG | Request for embed.js intercepted
[1:30:46] HIDDEN | Surpressed due to logging rules. (see './logs/log_2024-2-1_1-30-3.private.txt')
[1:30:46] WARN | Same version detected!
[1:30:46] LOG | Routine for 'main' sleeping for '2.5' second(s)...
[1:30:48] LOG | Continuing...
[1:30:55] LOG | Request for embed.js intercepted
[1:30:55] HIDDEN | Surpressed due to logging rules. (see './logs/log_2024-2-1_1-30-3.private.txt')
[1:30:55] WARN | Same version detected!
[1:30:55] LOG | Routine for 'main' sleeping for '2.5' second(s)...
[1:30:57] LOG | Continuing...
[1:31:0] WARN | Requests limit for 'embed' reached! (10)
[1:31:1] HIDDEN | Surpressed due to logging rules. (see './logs/log_2024-2-1_1-30-3.private.txt')
[1:31:1] LOG | Fetching sources...
[1:31:1] HIDDEN | Surpressed due to logging rules. (see './logs/log_2024-2-1_1-30-3.private.txt')
[1:31:1] LOG | Retrieving playback url...
[1:31:1] HIDDEN | Surpressed due to logging rules. (see './logs/log_2024-2-1_1-30-3.private.txt')
[1:31:1] LOG | Sucessfully retrieved playback url!
[1:31:5] LOG | Request for embed.js intercepted
[1:31:5] HIDDEN | Surpressed due to logging rules. (see './logs/log_2024-2-1_1-30-3.private.txt')
[1:31:5] WARN | Same version detected!
[1:31:5] LOG | Routine for 'main' sleeping for '2.5' second(s)...
[1:31:8] LOG | Continuing...
[1:31:13] LOG | Request for embed.js intercepted
[1:31:13] HIDDEN | Surpressed due to logging rules. (see './logs/log_2024-2-1_1-30-3.private.txt')
[1:31:13] WARN | Same version detected!
[1:31:13] LOG | Routine for 'main' sleeping for '2.5' second(s)...
[1:31:15] LOG | Continuing...
[1:31:18] LOG | Request for embed.js intercepted
[1:31:18] HIDDEN | Surpressed due to logging rules. (see './logs/log_2024-2-1_1-30-3.private.txt')
[1:31:18] WARN | Same version detected!
[1:31:18] LOG | Routine for 'main' sleeping for '2.5' second(s)...
[1:31:21] LOG | Continuing...
[1:31:23] LOG | Request for embed.js intercepted
[1:31:23] HIDDEN | Surpressed due to logging rules. (see './logs/log_2024-2-1_1-30-3.private.txt')
[1:31:23] WARN | Same version detected!
[1:31:23] LOG | Routine for 'main' sleeping for '2.5' second(s)...
[1:31:26] LOG | Continuing...
[1:31:27] WARN | Requests limit for 'embed' reached! (10)
[1:31:29] HIDDEN | Surpressed due to logging rules. (see './logs/log_2024-2-1_1-30-3.private.txt')
[1:31:29] LOG | Fetching sources...
[1:31:30] HIDDEN | Surpressed due to logging rules. (see './logs/log_2024-2-1_1-30-3.private.txt')
[1:31:30] LOG | Retrieving playback url...
[1:31:30] HIDDEN | Surpressed due to logging rules. (see './logs/log_2024-2-1_1-30-3.private.txt')
[1:31:30] LOG | Sucessfully retrieved playback url!
[1:31:30] LOG | Request for embed.js intercepted
[1:31:30] HIDDEN | Surpressed due to logging rules. (see './logs/log_2024-2-1_1-30-3.private.txt')
[1:31:30] WARN | Same version detected!
[1:31:30] LOG | Routine for 'main' sleeping for '2.5' second(s)...
[1:31:33] LOG | Continuing...
[1:31:35] LOG | Request for embed.js intercepted
[1:31:35] HIDDEN | Surpressed due to logging rules. (see './logs/log_2024-2-1_1-30-3.private.txt')
[1:31:35] WARN | Same version detected!
[1:31:35] LOG | Routine for 'main' sleeping for '2.5' second(s)...
