--------------------------------------------
  Created log file: log_2024-2-1_11-30-2
--------------------------------------------

[11:30:2] LOG | Updated logfile.txt to './logs/log_2024-2-1_11-30-2.txt'
[11:30:4] HIDDEN | Surpressed due to logging rules. (see './logs/log_2024-2-1_11-30-2.private.txt')
[11:30:4] LOG | Fetching sources...
[11:30:4] HIDDEN | Surpressed due to logging rules. (see './logs/log_2024-2-1_11-30-2.private.txt')
[11:30:4] LOG | Retrieving playback url...
[11:30:4] HIDDEN | Surpressed due to logging rules. (see './logs/log_2024-2-1_11-30-2.private.txt')
[11:30:4] LOG | Sucessfully retrieved playback url!
[11:30:5] LOG | Request for embed.js intercepted
[11:30:5] HIDDEN | Surpressed due to logging rules. (see './logs/log_2024-2-1_11-30-2.private.txt')
[11:30:5] WARN | Same version detected!
[11:30:5] LOG | Routine for 'main' sleeping for '2.5' second(s)...
[11:30:8] LOG | Continuing...
[11:30:9] LOG | Request for embed.js intercepted
[11:30:9] HIDDEN | Surpressed due to logging rules. (see './logs/log_2024-2-1_11-30-2.private.txt')
[11:30:9] WARN | Same version detected!
[11:30:9] LOG | Routine for 'main' sleeping for '2.5' second(s)...
[11:30:12] LOG | Continuing...
[11:30:25] LOG | Request for embed.js intercepted
[11:30:25] HIDDEN | Surpressed due to logging rules. (see './logs/log_2024-2-1_11-30-2.private.txt')
[11:30:25] WARN | Same version detected!
[11:30:25] LOG | Routine for 'main' sleeping for '2.5' second(s)...
[11:30:27] LOG | Continuing...
[11:30:30] WARN | Requests limit for 'embed' reached! (10)
[11:30:31] HIDDEN | Surpressed due to logging rules. (see './logs/log_2024-2-1_11-30-2.private.txt')
[11:30:31] LOG | Fetching sources...
[11:30:32] HIDDEN | Surpressed due to logging rules. (see './logs/log_2024-2-1_11-30-2.private.txt')
[11:30:32] LOG | Retrieving playback url...
[11:30:32] HIDDEN | Surpressed due to logging rules. (see './logs/log_2024-2-1_11-30-2.private.txt')
[11:30:32] LOG | Sucessfully retrieved playback url!
[11:30:33] LOG | Request for embed.js intercepted
[11:30:33] HIDDEN | Surpressed due to logging rules. (see './logs/log_2024-2-1_11-30-2.private.txt')
[11:30:33] WARN | Same version detected!
[11:30:33] LOG | Routine for 'main' sleeping for '2.5' second(s)...
[11:30:35] LOG | Continuing...
[11:30:40] LOG | Request for embed.js intercepted
[11:30:40] HIDDEN | Surpressed due to logging rules. (see './logs/log_2024-2-1_11-30-2.private.txt')
[11:30:40] WARN | Same version detected!
[11:30:40] LOG | Routine for 'main' sleeping for '2.5' second(s)...
[11:30:42] LOG | Continuing...
[11:30:55] WARN | Requests limit for 'embed' reached! (10)
[11:30:57] HIDDEN | Surpressed due to logging rules. (see './logs/log_2024-2-1_11-30-2.private.txt')
[11:30:57] LOG | Fetching sources...
[11:30:57] HIDDEN | Surpressed due to logging rules. (see './logs/log_2024-2-1_11-30-2.private.txt')
[11:30:57] LOG | Retrieving playback url...
[11:30:57] HIDDEN | Surpressed due to logging rules. (see './logs/log_2024-2-1_11-30-2.private.txt')
[11:30:57] LOG | Sucessfully retrieved playback url!
[11:31:4] LOG | Request for embed.js intercepted
[11:31:4] HIDDEN | Surpressed due to logging rules. (see './logs/log_2024-2-1_11-30-2.private.txt')
[11:31:4] WARN | Same version detected!
[11:31:4] LOG | Routine for 'main' sleeping for '2.5' second(s)...
[11:31:6] LOG | Continuing...
[11:31:18] WARN | Requests limit for 'embed' reached! (10)
[11:31:20] HIDDEN | Surpressed due to logging rules. (see './logs/log_2024-2-1_11-30-2.private.txt')
[11:31:20] LOG | Fetching sources...
[11:31:20] HIDDEN | Surpressed due to logging rules. (see './logs/log_2024-2-1_11-30-2.private.txt')
[11:31:20] LOG | Retrieving playback url...
[11:31:20] HIDDEN | Surpressed due to logging rules. (see './logs/log_2024-2-1_11-30-2.private.txt')
[11:31:20] LOG | Sucessfully retrieved playback url!
[11:31:24] LOG | Request for embed.js intercepted
[11:31:24] HIDDEN | Surpressed due to logging rules. (see './logs/log_2024-2-1_11-30-2.private.txt')
[11:31:24] WARN | Same version detected!
[11:31:24] LOG | Routine for 'main' sleeping for '2.5' second(s)...
[11:31:26] LOG | Continuing...
[11:31:30] ERROR | Requests limit for 'main' reached! (2000)
[11:31:30] WARN | Killing process...
