--------------------------------------------
  Created log file: log_2024-1-31_10-30-3
--------------------------------------------

[10:30:3] LOG | Updated logfile.txt to './logs/log_2024-1-31_10-30-3.txt'
[10:30:4] HIDDEN | Surpressed due to logging rules. (see './logs/log_2024-1-31_10-30-3.private.txt')
[10:30:4] LOG | Fetching sources...
[10:30:4] HIDDEN | Surpressed due to logging rules. (see './logs/log_2024-1-31_10-30-3.private.txt')
[10:30:4] LOG | Retrieving playback url...
[10:30:4] HIDDEN | Surpressed due to logging rules. (see './logs/log_2024-1-31_10-30-3.private.txt')
[10:30:4] LOG | Sucessfully retrieved playback url!
[10:30:5] LOG | Request for embed.js intercepted
[10:30:5] HIDDEN | Surpressed due to logging rules. (see './logs/log_2024-1-31_10-30-3.private.txt')
[10:30:5] WARN | Same version detected!
[10:30:5] LOG | Routine for 'main' sleeping for '2.5' second(s)...
[10:30:7] LOG | Continuing...
[10:30:9] LOG | Request for embed.js intercepted
[10:30:9] HIDDEN | Surpressed due to logging rules. (see './logs/log_2024-1-31_10-30-3.private.txt')
[10:30:9] WARN | Same version detected!
[10:30:9] LOG | Routine for 'main' sleeping for '2.5' second(s)...
[10:30:11] LOG | Continuing...
[10:30:17] LOG | Request for embed.js intercepted
[10:30:17] HIDDEN | Surpressed due to logging rules. (see './logs/log_2024-1-31_10-30-3.private.txt')
[10:30:17] WARN | Same version detected!
[10:30:17] LOG | Routine for 'main' sleeping for '2.5' second(s)...
[10:30:20] LOG | Continuing...
[10:30:25] LOG | Request for embed.js intercepted
[10:30:25] HIDDEN | Surpressed due to logging rules. (see './logs/log_2024-1-31_10-30-3.private.txt')
[10:30:25] WARN | Same version detected!
[10:30:25] LOG | Routine for 'main' sleeping for '2.5' second(s)...
[10:30:28] LOG | Continuing...
[10:30:31] LOG | Request for embed.js intercepted
[10:30:31] HIDDEN | Surpressed due to logging rules. (see './logs/log_2024-1-31_10-30-3.private.txt')
[10:30:31] WARN | Same version detected!
[10:30:31] LOG | Routine for 'main' sleeping for '2.5' second(s)...
[10:30:33] LOG | Continuing...
[10:30:34] WARN | Requests limit for 'embed' reached! (10)
[10:30:38] HIDDEN | Surpressed due to logging rules. (see './logs/log_2024-1-31_10-30-3.private.txt')
[10:30:38] LOG | Fetching sources...
[10:30:38] HIDDEN | Surpressed due to logging rules. (see './logs/log_2024-1-31_10-30-3.private.txt')
[10:30:38] LOG | Retrieving playback url...
[10:30:38] HIDDEN | Surpressed due to logging rules. (see './logs/log_2024-1-31_10-30-3.private.txt')
[10:30:38] LOG | Sucessfully retrieved playback url!
[10:30:39] LOG | Request for embed.js intercepted
[10:30:39] HIDDEN | Surpressed due to logging rules. (see './logs/log_2024-1-31_10-30-3.private.txt')
[10:30:39] WARN | Same version detected!
[10:30:39] LOG | Routine for 'main' sleeping for '2.5' second(s)...
[10:30:41] LOG | Continuing...
[10:30:44] LOG | Request for embed.js intercepted
[10:30:44] HIDDEN | Surpressed due to logging rules. (see './logs/log_2024-1-31_10-30-3.private.txt')
[10:30:44] WARN | Same version detected!
[10:30:44] LOG | Routine for 'main' sleeping for '2.5' second(s)...
[10:30:46] LOG | Continuing...
[10:30:55] LOG | Request for embed.js intercepted
[10:30:55] HIDDEN | Surpressed due to logging rules. (see './logs/log_2024-1-31_10-30-3.private.txt')
[10:30:55] WARN | Same version detected!
[10:30:55] LOG | Routine for 'main' sleeping for '2.5' second(s)...
[10:30:58] LOG | Continuing...
[10:31:4] WARN | Requests limit for 'embed' reached! (10)
[10:31:4] LOG | Request for embed.js intercepted
[10:31:4] HIDDEN | Surpressed due to logging rules. (see './logs/log_2024-1-31_10-30-3.private.txt')
[10:31:4] WARN | Same version detected!
[10:31:4] LOG | Routine for 'main' sleeping for '2.5' second(s)...
[10:31:6] LOG | Continuing...
[10:31:9] HIDDEN | Surpressed due to logging rules. (see './logs/log_2024-1-31_10-30-3.private.txt')
[10:31:9] LOG | Fetching sources...
[10:31:9] HIDDEN | Surpressed due to logging rules. (see './logs/log_2024-1-31_10-30-3.private.txt')
[10:31:9] LOG | Retrieving playback url...
[10:31:9] HIDDEN | Surpressed due to logging rules. (see './logs/log_2024-1-31_10-30-3.private.txt')
[10:31:9] LOG | Sucessfully retrieved playback url!
[10:31:10] LOG | Request for embed.js intercepted
[10:31:10] HIDDEN | Surpressed due to logging rules. (see './logs/log_2024-1-31_10-30-3.private.txt')
[10:31:10] WARN | Same version detected!
[10:31:10] LOG | Routine for 'main' sleeping for '2.5' second(s)...
[10:31:13] LOG | Continuing...
[10:31:17] LOG | Request for embed.js intercepted
[10:31:17] HIDDEN | Surpressed due to logging rules. (see './logs/log_2024-1-31_10-30-3.private.txt')
[10:31:17] WARN | Same version detected!
[10:31:17] LOG | Routine for 'main' sleeping for '2.5' second(s)...
[10:31:19] LOG | Continuing...
[10:31:32] WARN | Requests limit for 'embed' reached! (10)
[10:31:35] HIDDEN | Surpressed due to logging rules. (see './logs/log_2024-1-31_10-30-3.private.txt')
[10:31:35] LOG | Fetching sources...
[10:31:35] HIDDEN | Surpressed due to logging rules. (see './logs/log_2024-1-31_10-30-3.private.txt')
[10:31:35] LOG | Retrieving playback url...
[10:31:36] HIDDEN | Surpressed due to logging rules. (see './logs/log_2024-1-31_10-30-3.private.txt')
[10:31:36] LOG | Sucessfully retrieved playback url!
[10:31:36] LOG | Request for embed.js intercepted
[10:31:36] HIDDEN | Surpressed due to logging rules. (see './logs/log_2024-1-31_10-30-3.private.txt')
[10:31:36] WARN | Same version detected!
[10:31:36] LOG | Routine for 'main' sleeping for '2.5' second(s)...
[10:31:39] LOG | Continuing...
[10:31:44] ERROR | Requests limit for 'main' reached! (2000)
[10:31:44] WARN | Killing process...
