--------------------------------------------
  Created log file: log_2024-1-30_15-30-3
--------------------------------------------

[15:30:3] LOG | Updated logfile.txt to './logs/log_2024-1-30_15-30-3.txt'
[15:30:4] HIDDEN | Surpressed due to logging rules. (see './logs/log_2024-1-30_15-30-3.private.txt')
[15:30:4] LOG | Fetching sources...
[15:30:4] HIDDEN | Surpressed due to logging rules. (see './logs/log_2024-1-30_15-30-3.private.txt')
[15:30:4] LOG | Retrieving playback url...
[15:30:4] HIDDEN | Surpressed due to logging rules. (see './logs/log_2024-1-30_15-30-3.private.txt')
[15:30:4] LOG | Sucessfully retrieved playback url!
[15:30:6] LOG | Request for embed.js intercepted
[15:30:6] HIDDEN | Surpressed due to logging rules. (see './logs/log_2024-1-30_15-30-3.private.txt')
[15:30:6] WARN | Same version detected!
[15:30:6] LOG | Routine for 'main' sleeping for '2.5' second(s)...
[15:30:8] LOG | Continuing...
[15:30:10] LOG | Request for embed.js intercepted
[15:30:10] HIDDEN | Surpressed due to logging rules. (see './logs/log_2024-1-30_15-30-3.private.txt')
[15:30:10] WARN | Same version detected!
[15:30:10] LOG | Routine for 'main' sleeping for '2.5' second(s)...
[15:30:12] LOG | Continuing...
[15:30:16] LOG | Request for embed.js intercepted
[15:30:16] HIDDEN | Surpressed due to logging rules. (see './logs/log_2024-1-30_15-30-3.private.txt')
[15:30:16] WARN | Same version detected!
[15:30:16] LOG | Routine for 'main' sleeping for '2.5' second(s)...
[15:30:18] LOG | Continuing...
[15:30:24] LOG | Request for embed.js intercepted
[15:30:24] HIDDEN | Surpressed due to logging rules. (see './logs/log_2024-1-30_15-30-3.private.txt')
[15:30:24] WARN | Same version detected!
[15:30:24] LOG | Routine for 'main' sleeping for '2.5' second(s)...
[15:30:27] LOG | Continuing...
[15:30:33] WARN | Requests limit for 'embed' reached! (10)
[15:30:33] LOG | Request for embed.js intercepted
[15:30:33] HIDDEN | Surpressed due to logging rules. (see './logs/log_2024-1-30_15-30-3.private.txt')
[15:30:33] WARN | Same version detected!
[15:30:33] LOG | Routine for 'main' sleeping for '2.5' second(s)...
[15:30:35] LOG | Continuing...
[15:30:38] HIDDEN | Surpressed due to logging rules. (see './logs/log_2024-1-30_15-30-3.private.txt')
[15:30:38] LOG | Fetching sources...
[15:30:38] HIDDEN | Surpressed due to logging rules. (see './logs/log_2024-1-30_15-30-3.private.txt')
[15:30:38] LOG | Retrieving playback url...
[15:30:38] HIDDEN | Surpressed due to logging rules. (see './logs/log_2024-1-30_15-30-3.private.txt')
[15:30:38] LOG | Sucessfully retrieved playback url!
[15:30:44] LOG | Request for embed.js intercepted
[15:30:44] HIDDEN | Surpressed due to logging rules. (see './logs/log_2024-1-30_15-30-3.private.txt')
[15:30:44] WARN | Same version detected!
[15:30:44] LOG | Routine for 'main' sleeping for '2.5' second(s)...
[15:30:46] LOG | Continuing...
[15:30:48] LOG | Request for embed.js intercepted
[15:30:48] HIDDEN | Surpressed due to logging rules. (see './logs/log_2024-1-30_15-30-3.private.txt')
[15:30:48] WARN | Same version detected!
[15:30:48] LOG | Routine for 'main' sleeping for '2.5' second(s)...
[15:30:51] LOG | Continuing...
[15:30:59] WARN | Requests limit for 'embed' reached! (10)
[15:31:0] HIDDEN | Surpressed due to logging rules. (see './logs/log_2024-1-30_15-30-3.private.txt')
[15:31:0] LOG | Fetching sources...
[15:31:0] HIDDEN | Surpressed due to logging rules. (see './logs/log_2024-1-30_15-30-3.private.txt')
[15:31:0] LOG | Retrieving playback url...
[15:31:0] HIDDEN | Surpressed due to logging rules. (see './logs/log_2024-1-30_15-30-3.private.txt')
[15:31:0] LOG | Sucessfully retrieved playback url!
[15:31:8] LOG | Request for embed.js intercepted
[15:31:8] HIDDEN | Surpressed due to logging rules. (see './logs/log_2024-1-30_15-30-3.private.txt')
[15:31:8] WARN | Same version detected!
[15:31:8] LOG | Routine for 'main' sleeping for '2.5' second(s)...
[15:31:10] LOG | Continuing...
[15:31:18] LOG | Request for embed.js intercepted
[15:31:18] HIDDEN | Surpressed due to logging rules. (see './logs/log_2024-1-30_15-30-3.private.txt')
[15:31:18] WARN | Same version detected!
[15:31:18] LOG | Routine for 'main' sleeping for '2.5' second(s)...
[15:31:20] LOG | Continuing...
[15:31:22] WARN | Requests limit for 'embed' reached! (10)
[15:31:24] HIDDEN | Surpressed due to logging rules. (see './logs/log_2024-1-30_15-30-3.private.txt')
[15:31:24] LOG | Fetching sources...
[15:31:24] HIDDEN | Surpressed due to logging rules. (see './logs/log_2024-1-30_15-30-3.private.txt')
[15:31:24] LOG | Retrieving playback url...
[15:31:24] HIDDEN | Surpressed due to logging rules. (see './logs/log_2024-1-30_15-30-3.private.txt')
[15:31:24] LOG | Sucessfully retrieved playback url!
[15:31:27] LOG | Request for embed.js intercepted
[15:31:27] HIDDEN | Surpressed due to logging rules. (see './logs/log_2024-1-30_15-30-3.private.txt')
[15:31:27] WARN | Same version detected!
[15:31:27] LOG | Routine for 'main' sleeping for '2.5' second(s)...
[15:31:30] LOG | Continuing...
[15:31:33] ERROR | Requests limit for 'main' reached! (2000)
[15:31:33] WARN | Killing process...
