--------------------------------------------
  Created log file: log_2024-2-17_8-30-3
--------------------------------------------

[8:30:3] LOG | Updated logfile.txt to './logs/log_2024-2-17_8-30-3.txt'
[8:30:4] HIDDEN | Surpressed due to logging rules. (see './logs/log_2024-2-17_8-30-3.private.txt')
[8:30:4] LOG | Fetching sources...
[8:30:4] HIDDEN | Surpressed due to logging rules. (see './logs/log_2024-2-17_8-30-3.private.txt')
[8:30:4] LOG | Retrieving playback url...
[8:30:5] HIDDEN | Surpressed due to logging rules. (see './logs/log_2024-2-17_8-30-3.private.txt')
[8:30:5] LOG | Sucessfully retrieved playback url!
[8:30:6] LOG | Request for embed.js intercepted
[8:30:6] HIDDEN | Surpressed due to logging rules. (see './logs/log_2024-2-17_8-30-3.private.txt')
[8:30:6] WARN | Same version detected!
[8:30:6] LOG | Routine for 'main' sleeping for '2.5' second(s)...
[8:30:8] LOG | Continuing...
[8:30:14] LOG | Request for embed.js intercepted
[8:30:14] HIDDEN | Surpressed due to logging rules. (see './logs/log_2024-2-17_8-30-3.private.txt')
[8:30:14] WARN | Same version detected!
[8:30:14] LOG | Routine for 'main' sleeping for '2.5' second(s)...
[8:30:17] LOG | Continuing...
[8:30:24] WARN | Requests limit for 'embed' reached! (10)
[8:30:25] HIDDEN | Surpressed due to logging rules. (see './logs/log_2024-2-17_8-30-3.private.txt')
[8:30:25] LOG | Fetching sources...
[8:30:25] HIDDEN | Surpressed due to logging rules. (see './logs/log_2024-2-17_8-30-3.private.txt')
[8:30:25] LOG | Retrieving playback url...
[8:30:26] HIDDEN | Surpressed due to logging rules. (see './logs/log_2024-2-17_8-30-3.private.txt')
[8:30:26] LOG | Sucessfully retrieved playback url!
[8:30:32] LOG | Request for embed.js intercepted
[8:30:32] HIDDEN | Surpressed due to logging rules. (see './logs/log_2024-2-17_8-30-3.private.txt')
[8:30:32] WARN | Same version detected!
[8:30:32] LOG | Routine for 'main' sleeping for '2.5' second(s)...
[8:30:35] LOG | Continuing...
[8:30:39] LOG | Request for embed.js intercepted
[8:30:39] HIDDEN | Surpressed due to logging rules. (see './logs/log_2024-2-17_8-30-3.private.txt')
[8:30:39] WARN | Same version detected!
[8:30:39] LOG | Routine for 'main' sleeping for '2.5' second(s)...
[8:30:42] LOG | Continuing...
[8:30:44] WARN | Requests limit for 'embed' reached! (10)
[8:30:46] HIDDEN | Surpressed due to logging rules. (see './logs/log_2024-2-17_8-30-3.private.txt')
[8:30:46] LOG | Fetching sources...
[8:30:46] HIDDEN | Surpressed due to logging rules. (see './logs/log_2024-2-17_8-30-3.private.txt')
[8:30:46] LOG | Retrieving playback url...
[8:30:46] HIDDEN | Surpressed due to logging rules. (see './logs/log_2024-2-17_8-30-3.private.txt')
[8:30:46] LOG | Sucessfully retrieved playback url!
[8:30:47] LOG | Request for embed.js intercepted
[8:30:47] HIDDEN | Surpressed due to logging rules. (see './logs/log_2024-2-17_8-30-3.private.txt')
[8:30:47] WARN | Same version detected!
[8:30:47] LOG | Routine for 'main' sleeping for '2.5' second(s)...
[8:30:49] LOG | Continuing...
[8:30:54] LOG | Request for embed.js intercepted
[8:30:54] HIDDEN | Surpressed due to logging rules. (see './logs/log_2024-2-17_8-30-3.private.txt')
[8:30:54] WARN | Same version detected!
[8:30:54] LOG | Routine for 'main' sleeping for '2.5' second(s)...
[8:30:56] LOG | Continuing...
[8:31:1] LOG | Request for embed.js intercepted
[8:31:1] HIDDEN | Surpressed due to logging rules. (see './logs/log_2024-2-17_8-30-3.private.txt')
[8:31:1] WARN | Same version detected!
[8:31:1] LOG | Routine for 'main' sleeping for '2.5' second(s)...
[8:31:3] LOG | Continuing...
[8:31:7] WARN | Requests limit for 'embed' reached! (10)
[8:31:7] LOG | Request for embed.js intercepted
[8:31:7] HIDDEN | Surpressed due to logging rules. (see './logs/log_2024-2-17_8-30-3.private.txt')
[8:31:7] WARN | Same version detected!
[8:31:7] LOG | Routine for 'main' sleeping for '2.5' second(s)...
[8:31:10] LOG | Continuing...
[8:31:11] HIDDEN | Surpressed due to logging rules. (see './logs/log_2024-2-17_8-30-3.private.txt')
[8:31:11] LOG | Fetching sources...
[8:31:11] HIDDEN | Surpressed due to logging rules. (see './logs/log_2024-2-17_8-30-3.private.txt')
[8:31:11] LOG | Retrieving playback url...
[8:31:12] HIDDEN | Surpressed due to logging rules. (see './logs/log_2024-2-17_8-30-3.private.txt')
[8:31:12] LOG | Sucessfully retrieved playback url!
[8:31:26] WARN | Requests limit for 'embed' reached! (10)
[8:31:27] HIDDEN | Surpressed due to logging rules. (see './logs/log_2024-2-17_8-30-3.private.txt')
[8:31:27] LOG | Fetching sources...
[8:31:27] HIDDEN | Surpressed due to logging rules. (see './logs/log_2024-2-17_8-30-3.private.txt')
[8:31:27] LOG | Retrieving playback url...
[8:31:27] HIDDEN | Surpressed due to logging rules. (see './logs/log_2024-2-17_8-30-3.private.txt')
[8:31:27] LOG | Sucessfully retrieved playback url!
[8:31:41] WARN | Requests limit for 'embed' reached! (10)
[8:31:43] HIDDEN | Surpressed due to logging rules. (see './logs/log_2024-2-17_8-30-3.private.txt')
[8:31:43] LOG | Fetching sources...
[8:31:43] HIDDEN | Surpressed due to logging rules. (see './logs/log_2024-2-17_8-30-3.private.txt')
[8:31:43] LOG | Retrieving playback url...
[8:31:43] HIDDEN | Surpressed due to logging rules. (see './logs/log_2024-2-17_8-30-3.private.txt')
[8:31:43] LOG | Sucessfully retrieved playback url!
[8:31:51] LOG | Request for embed.js intercepted
[8:31:51] HIDDEN | Surpressed due to logging rules. (see './logs/log_2024-2-17_8-30-3.private.txt')
[8:31:51] WARN | Same version detected!
[8:31:51] LOG | Routine for 'main' sleeping for '2.5' second(s)...
[8:31:54] LOG | Continuing...
[8:31:58] LOG | Request for embed.js intercepted
[8:31:58] HIDDEN | Surpressed due to logging rules. (see './logs/log_2024-2-17_8-30-3.private.txt')
[8:31:58] WARN | Same version detected!
[8:31:58] LOG | Routine for 'main' sleeping for '2.5' second(s)...
[8:32:1] LOG | Continuing...
[8:32:2] WARN | Requests limit for 'embed' reached! (10)
[8:32:4] HIDDEN | Surpressed due to logging rules. (see './logs/log_2024-2-17_8-30-3.private.txt')
[8:32:4] LOG | Fetching sources...
[8:32:4] HIDDEN | Surpressed due to logging rules. (see './logs/log_2024-2-17_8-30-3.private.txt')
[8:32:4] LOG | Retrieving playback url...
[8:32:4] HIDDEN | Surpressed due to logging rules. (see './logs/log_2024-2-17_8-30-3.private.txt')
[8:32:4] LOG | Sucessfully retrieved playback url!
[8:32:10] LOG | Request for embed.js intercepted
