--------------------------------------------
  Created log file: log_2024-2-1_19-30-3
--------------------------------------------

[19:30:3] LOG | Updated logfile.txt to './logs/log_2024-2-1_19-30-3.txt'
[19:30:3] HIDDEN | Surpressed due to logging rules. (see './logs/log_2024-2-1_19-30-3.private.txt')
[19:30:3] LOG | Fetching sources...
[19:30:4] HIDDEN | Surpressed due to logging rules. (see './logs/log_2024-2-1_19-30-3.private.txt')
[19:30:4] LOG | Retrieving playback url...
[19:30:4] HIDDEN | Surpressed due to logging rules. (see './logs/log_2024-2-1_19-30-3.private.txt')
[19:30:4] LOG | Sucessfully retrieved playback url!
[19:30:5] LOG | Request for embed.js intercepted
[19:30:5] HIDDEN | Surpressed due to logging rules. (see './logs/log_2024-2-1_19-30-3.private.txt')
[19:30:5] WARN | Same version detected!
[19:30:5] LOG | Routine for 'main' sleeping for '2.5' second(s)...
[19:30:7] LOG | Continuing...
[19:30:9] LOG | Request for embed.js intercepted
[19:30:9] HIDDEN | Surpressed due to logging rules. (see './logs/log_2024-2-1_19-30-3.private.txt')
[19:30:9] WARN | Same version detected!
[19:30:9] LOG | Routine for 'main' sleeping for '2.5' second(s)...
[19:30:11] LOG | Continuing...
[19:30:17] LOG | Request for embed.js intercepted
[19:30:17] HIDDEN | Surpressed due to logging rules. (see './logs/log_2024-2-1_19-30-3.private.txt')
[19:30:17] WARN | Same version detected!
[19:30:17] LOG | Routine for 'main' sleeping for '2.5' second(s)...
[19:30:20] LOG | Continuing...
[19:30:28] WARN | Requests limit for 'embed' reached! (10)
[19:30:29] HIDDEN | Surpressed due to logging rules. (see './logs/log_2024-2-1_19-30-3.private.txt')
[19:30:29] LOG | Fetching sources...
[19:30:30] HIDDEN | Surpressed due to logging rules. (see './logs/log_2024-2-1_19-30-3.private.txt')
[19:30:30] LOG | Retrieving playback url...
[19:30:30] HIDDEN | Surpressed due to logging rules. (see './logs/log_2024-2-1_19-30-3.private.txt')
[19:30:30] LOG | Sucessfully retrieved playback url!
[19:30:30] LOG | Request for embed.js intercepted
[19:30:30] HIDDEN | Surpressed due to logging rules. (see './logs/log_2024-2-1_19-30-3.private.txt')
[19:30:30] WARN | Same version detected!
[19:30:30] LOG | Routine for 'main' sleeping for '2.5' second(s)...
[19:30:33] LOG | Continuing...
[19:30:48] WARN | Requests limit for 'embed' reached! (10)
[19:30:49] LOG | Request for embed.js intercepted
[19:30:49] HIDDEN | Surpressed due to logging rules. (see './logs/log_2024-2-1_19-30-3.private.txt')
[19:30:49] WARN | Same version detected!
[19:30:49] LOG | Routine for 'main' sleeping for '2.5' second(s)...
[19:30:51] LOG | Continuing...
[19:30:53] HIDDEN | Surpressed due to logging rules. (see './logs/log_2024-2-1_19-30-3.private.txt')
[19:30:53] LOG | Fetching sources...
[19:30:54] HIDDEN | Surpressed due to logging rules. (see './logs/log_2024-2-1_19-30-3.private.txt')
[19:30:54] LOG | Retrieving playback url...
[19:30:54] HIDDEN | Surpressed due to logging rules. (see './logs/log_2024-2-1_19-30-3.private.txt')
[19:30:54] LOG | Sucessfully retrieved playback url!
[19:31:0] LOG | Request for embed.js intercepted
[19:31:0] HIDDEN | Surpressed due to logging rules. (see './logs/log_2024-2-1_19-30-3.private.txt')
[19:31:0] WARN | Same version detected!
[19:31:0] LOG | Routine for 'main' sleeping for '2.5' second(s)...
[19:31:3] LOG | Continuing...
[19:31:15] WARN | Requests limit for 'embed' reached! (10)
[19:31:16] HIDDEN | Surpressed due to logging rules. (see './logs/log_2024-2-1_19-30-3.private.txt')
[19:31:16] LOG | Fetching sources...
[19:31:16] HIDDEN | Surpressed due to logging rules. (see './logs/log_2024-2-1_19-30-3.private.txt')
[19:31:16] LOG | Retrieving playback url...
[19:31:17] HIDDEN | Surpressed due to logging rules. (see './logs/log_2024-2-1_19-30-3.private.txt')
[19:31:17] LOG | Sucessfully retrieved playback url!
[19:31:20] LOG | Request for embed.js intercepted
[19:31:20] HIDDEN | Surpressed due to logging rules. (see './logs/log_2024-2-1_19-30-3.private.txt')
[19:31:20] WARN | Same version detected!
[19:31:20] LOG | Routine for 'main' sleeping for '2.5' second(s)...
[19:31:22] LOG | Continuing...
[19:31:25] LOG | Request for embed.js intercepted
[19:31:25] HIDDEN | Surpressed due to logging rules. (see './logs/log_2024-2-1_19-30-3.private.txt')
[19:31:25] WARN | Same version detected!
[19:31:25] LOG | Routine for 'main' sleeping for '2.5' second(s)...
[19:31:28] LOG | Continuing...
[19:31:28] ERROR | Requests limit for 'main' reached! (2000)
[19:31:28] WARN | Killing process...
