--------------------------------------------
  Created log file: log_2024-2-22_11-30-4
--------------------------------------------

[11:30:4] LOG | Updated logfile.txt to './logs/log_2024-2-22_11-30-4.txt'
[11:30:4] HIDDEN | Surpressed due to logging rules. (see './logs/log_2024-2-22_11-30-4.private.txt')
[11:30:4] LOG | Fetching sources...
[11:30:5] HIDDEN | Surpressed due to logging rules. (see './logs/log_2024-2-22_11-30-4.private.txt')
[11:30:5] LOG | Retrieving playback url...
[11:30:5] HIDDEN | Surpressed due to logging rules. (see './logs/log_2024-2-22_11-30-4.private.txt')
[11:30:5] LOG | Sucessfully retrieved playback url!
[11:30:6] LOG | Request for embed.js intercepted
[11:30:6] HIDDEN | Surpressed due to logging rules. (see './logs/log_2024-2-22_11-30-4.private.txt')
[11:30:6] WARN | Same version detected!
[11:30:6] LOG | Routine for 'main' sleeping for '2.5' second(s)...
[11:30:8] LOG | Continuing...
[11:30:16] LOG | Request for embed.js intercepted
[11:30:16] HIDDEN | Surpressed due to logging rules. (see './logs/log_2024-2-22_11-30-4.private.txt')
[11:30:16] WARN | Same version detected!
[11:30:16] LOG | Routine for 'main' sleeping for '2.5' second(s)...
[11:30:18] LOG | Continuing...
[11:30:22] LOG | Request for embed.js intercepted
[11:30:22] HIDDEN | Surpressed due to logging rules. (see './logs/log_2024-2-22_11-30-4.private.txt')
[11:30:22] WARN | Same version detected!
[11:30:22] LOG | Routine for 'main' sleeping for '2.5' second(s)...
[11:30:25] LOG | Continuing...
[11:30:26] WARN | Requests limit for 'embed' reached! (10)
[11:30:28] HIDDEN | Surpressed due to logging rules. (see './logs/log_2024-2-22_11-30-4.private.txt')
[11:30:28] LOG | Fetching sources...
[11:30:28] HIDDEN | Surpressed due to logging rules. (see './logs/log_2024-2-22_11-30-4.private.txt')
[11:30:28] LOG | Retrieving playback url...
[11:30:28] HIDDEN | Surpressed due to logging rules. (see './logs/log_2024-2-22_11-30-4.private.txt')
[11:30:28] LOG | Sucessfully retrieved playback url!
[11:30:35] LOG | Request for embed.js intercepted
[11:30:35] HIDDEN | Surpressed due to logging rules. (see './logs/log_2024-2-22_11-30-4.private.txt')
[11:30:35] WARN | Same version detected!
