--------------------------------------------
  Created log file: log_2024-2-2_18-30-3
--------------------------------------------

[18:30:3] LOG | Updated logfile.txt to './logs/log_2024-2-2_18-30-3.txt'
[18:30:4] HIDDEN | Surpressed due to logging rules. (see './logs/log_2024-2-2_18-30-3.private.txt')
[18:30:4] LOG | Fetching sources...
[18:30:4] HIDDEN | Surpressed due to logging rules. (see './logs/log_2024-2-2_18-30-3.private.txt')
[18:30:4] LOG | Retrieving playback url...
[18:30:4] HIDDEN | Surpressed due to logging rules. (see './logs/log_2024-2-2_18-30-3.private.txt')
[18:30:4] LOG | Sucessfully retrieved playback url!
[18:30:5] LOG | Request for embed.js intercepted
[18:30:5] HIDDEN | Surpressed due to logging rules. (see './logs/log_2024-2-2_18-30-3.private.txt')
[18:30:5] WARN | Same version detected!
[18:30:5] LOG | Routine for 'main' sleeping for '2.5' second(s)...
[18:30:8] LOG | Continuing...
[18:30:9] LOG | Request for embed.js intercepted
[18:30:9] HIDDEN | Surpressed due to logging rules. (see './logs/log_2024-2-2_18-30-3.private.txt')
[18:30:9] WARN | Same version detected!
[18:30:9] LOG | Routine for 'main' sleeping for '2.5' second(s)...
[18:30:12] LOG | Continuing...
[18:30:16] LOG | Request for embed.js intercepted
[18:30:16] HIDDEN | Surpressed due to logging rules. (see './logs/log_2024-2-2_18-30-3.private.txt')
[18:30:16] WARN | Same version detected!
[18:30:16] LOG | Routine for 'main' sleeping for '2.5' second(s)...
[18:30:19] LOG | Continuing...
[18:30:28] WARN | Requests limit for 'embed' reached! (10)
[18:30:29] HIDDEN | Surpressed due to logging rules. (see './logs/log_2024-2-2_18-30-3.private.txt')
[18:30:29] LOG | Fetching sources...
[18:30:29] HIDDEN | Surpressed due to logging rules. (see './logs/log_2024-2-2_18-30-3.private.txt')
[18:30:29] LOG | Retrieving playback url...
[18:30:30] HIDDEN | Surpressed due to logging rules. (see './logs/log_2024-2-2_18-30-3.private.txt')
[18:30:30] LOG | Sucessfully retrieved playback url!
[18:30:38] LOG | Request for embed.js intercepted
[18:30:38] HIDDEN | Surpressed due to logging rules. (see './logs/log_2024-2-2_18-30-3.private.txt')
[18:30:38] WARN | Same version detected!
[18:30:38] LOG | Routine for 'main' sleeping for '2.5' second(s)...
[18:30:40] LOG | Continuing...
[18:30:49] WARN | Requests limit for 'embed' reached! (10)
[18:30:51] HIDDEN | Surpressed due to logging rules. (see './logs/log_2024-2-2_18-30-3.private.txt')
[18:30:51] LOG | Fetching sources...
[18:30:51] HIDDEN | Surpressed due to logging rules. (see './logs/log_2024-2-2_18-30-3.private.txt')
[18:30:51] LOG | Retrieving playback url...
[18:30:51] HIDDEN | Surpressed due to logging rules. (see './logs/log_2024-2-2_18-30-3.private.txt')
[18:30:51] LOG | Sucessfully retrieved playback url!
[18:31:5] WARN | Requests limit for 'embed' reached! (10)
[18:31:7] HIDDEN | Surpressed due to logging rules. (see './logs/log_2024-2-2_18-30-3.private.txt')
[18:31:7] LOG | Fetching sources...
[18:31:7] HIDDEN | Surpressed due to logging rules. (see './logs/log_2024-2-2_18-30-3.private.txt')
[18:31:7] LOG | Retrieving playback url...
[18:31:7] HIDDEN | Surpressed due to logging rules. (see './logs/log_2024-2-2_18-30-3.private.txt')
[18:31:7] LOG | Sucessfully retrieved playback url!
[18:31:14] ERROR | Requests limit for 'main' reached! (2000)
[18:31:14] WARN | Killing process...
