--------------------------------------------
  Created log file: log_2024-2-5_11-0-2
--------------------------------------------

[11:0:2] LOG | Updated logfile.txt to './logs/log_2024-2-5_11-0-2.txt'
[11:0:4] HIDDEN | Surpressed due to logging rules. (see './logs/log_2024-2-5_11-0-2.private.txt')
[11:0:4] LOG | Fetching sources...
[11:0:4] HIDDEN | Surpressed due to logging rules. (see './logs/log_2024-2-5_11-0-2.private.txt')
[11:0:4] LOG | Retrieving playback url...
[11:0:4] HIDDEN | Surpressed due to logging rules. (see './logs/log_2024-2-5_11-0-2.private.txt')
[11:0:4] LOG | Sucessfully retrieved playback url!
[11:0:5] LOG | Request for embed.js intercepted
[11:0:5] HIDDEN | Surpressed due to logging rules. (see './logs/log_2024-2-5_11-0-2.private.txt')
[11:0:5] WARN | Same version detected!
[11:0:5] LOG | Routine for 'main' sleeping for '2.5' second(s)...
[11:0:8] LOG | Continuing...
[11:0:10] LOG | Request for embed.js intercepted
[11:0:10] HIDDEN | Surpressed due to logging rules. (see './logs/log_2024-2-5_11-0-2.private.txt')
[11:0:11] ERROR | Could not retrieve keys, patchEmbedJs failed?
[11:0:11] ERROR | Could not retrieve keys, patchEmbedJs failed?
[11:0:11] ERROR | Could not retrieve keys, patchEmbedJs failed?
[11:0:11] LOG | Extracted keys sucessfully!
[11:0:11] LOG | Key 1: '0BFl8tepzKWCL56G' - Key 2: 'QaQ6e2q7PWK5cf4P'
[11:0:11] LOG | Extracted keys sucessfully!
[11:0:11] LOG | Bumped version to '65c0bfba'
[11:0:11] LOG | Key 1: '0BFl8tepzKWCL56G' - Key 2: 'QaQ6e2q7PWK5cf4P'
[11:0:11] WARN | Killing process...
