--------------------------------------------
  Created log file: log_2024-2-17_11-30-4
--------------------------------------------

[11:30:4] LOG | Updated logfile.txt to './logs/log_2024-2-17_11-30-4.txt'
[11:30:5] HIDDEN | Surpressed due to logging rules. (see './logs/log_2024-2-17_11-30-4.private.txt')
[11:30:5] LOG | Fetching sources...
[11:30:5] HIDDEN | Surpressed due to logging rules. (see './logs/log_2024-2-17_11-30-4.private.txt')
[11:30:5] LOG | Retrieving playback url...
[11:30:5] HIDDEN | Surpressed due to logging rules. (see './logs/log_2024-2-17_11-30-4.private.txt')
[11:30:5] LOG | Sucessfully retrieved playback url!
[11:30:6] LOG | Request for embed.js intercepted
[11:30:6] HIDDEN | Surpressed due to logging rules. (see './logs/log_2024-2-17_11-30-4.private.txt')
[11:30:6] ERROR | Could not retrieve keys, patchEmbedJs failed?
[11:30:6] ERROR | Could not retrieve keys, patchEmbedJs failed?
[11:30:6] ERROR | Could not retrieve keys, patchEmbedJs failed?
[11:30:7] LOG | Extracted keys sucessfully!
[11:30:7] LOG | Extracted keys sucessfully!
[11:30:7] LOG | Key 1: 'kNCE97yghtcyzu1K' - Key 2: 'WFOlqsWfdSUl1zEf'
[11:30:7] LOG | Key 1: 'kNCE97yghtcyzu1K' - Key 2: 'WFOlqsWfdSUl1zEf'
[11:30:7] LOG | Bumped version to '65d091b9'
[11:30:7] LOG | Bumped version to '65d091b9'
[11:30:7] WARN | Killing process...
