--------------------------------------------
  Created log file: log_2024-2-21_23-0-3
--------------------------------------------

[23:0:3] LOG | Updated logfile.txt to './logs/log_2024-2-21_23-0-3.txt'
[23:0:4] HIDDEN | Surpressed due to logging rules. (see './logs/log_2024-2-21_23-0-3.private.txt')
[23:0:4] LOG | Fetching sources...
[23:0:4] HIDDEN | Surpressed due to logging rules. (see './logs/log_2024-2-21_23-0-3.private.txt')
[23:0:4] LOG | Retrieving playback url...
[23:0:4] HIDDEN | Surpressed due to logging rules. (see './logs/log_2024-2-21_23-0-3.private.txt')
[23:0:4] LOG | Sucessfully retrieved playback url!
[23:0:5] LOG | Request for embed.js intercepted
[23:0:5] HIDDEN | Surpressed due to logging rules. (see './logs/log_2024-2-21_23-0-3.private.txt')
[23:0:5] WARN | Same version detected!
[23:0:5] LOG | Routine for 'main' sleeping for '2.5' second(s)...
[23:0:8] LOG | Continuing...
[23:0:13] LOG | Request for embed.js intercepted
[23:0:13] HIDDEN | Surpressed due to logging rules. (see './logs/log_2024-2-21_23-0-3.private.txt')
[23:0:13] LOG | Extracted keys sucessfully!
[23:0:13] LOG | Extracted keys sucessfully!
[23:0:13] LOG | Key 1: 'DtkyNrXe9hV7Mtfu' - Key 2: 'rTnVeKzBiS8omg3D'
[23:0:13] LOG | Key 1: 'DtkyNrXe9hV7Mtfu' - Key 2: 'rTnVeKzBiS8omg3D'
[23:0:13] LOG | Bumped version to '65d6807a'
[23:0:13] LOG | Bumped version to '65d6807a'
[23:0:13] WARN | Killing process...
