--------------------------------------------
  Created log file: log_2024-2-12_14-30-3
--------------------------------------------

[14:30:3] LOG | Updated logfile.txt to './logs/log_2024-2-12_14-30-3.txt'
[14:30:4] HIDDEN | Surpressed due to logging rules. (see './logs/log_2024-2-12_14-30-3.private.txt')
[14:30:4] LOG | Fetching sources...
[14:30:4] HIDDEN | Surpressed due to logging rules. (see './logs/log_2024-2-12_14-30-3.private.txt')
[14:30:4] LOG | Retrieving playback url...
[14:30:4] HIDDEN | Surpressed due to logging rules. (see './logs/log_2024-2-12_14-30-3.private.txt')
[14:30:4] LOG | Sucessfully retrieved playback url!
[14:30:5] LOG | Request for embed.js intercepted
[14:30:5] HIDDEN | Surpressed due to logging rules. (see './logs/log_2024-2-12_14-30-3.private.txt')
[14:30:5] WARN | Same version detected!
[14:30:5] LOG | Routine for 'main' sleeping for '2.5' second(s)...
[14:30:8] LOG | Continuing...
[14:30:9] LOG | Request for embed.js intercepted
[14:30:9] HIDDEN | Surpressed due to logging rules. (see './logs/log_2024-2-12_14-30-3.private.txt')
[14:30:9] WARN | Same version detected!
[14:30:9] LOG | Routine for 'main' sleeping for '2.5' second(s)...
[14:30:12] LOG | Continuing...
[14:30:18] LOG | Request for embed.js intercepted
[14:30:18] HIDDEN | Surpressed due to logging rules. (see './logs/log_2024-2-12_14-30-3.private.txt')
[14:30:18] WARN | Same version detected!
[14:30:18] LOG | Routine for 'main' sleeping for '2.5' second(s)...
[14:30:20] LOG | Continuing...
[14:30:26] WARN | Requests limit for 'embed' reached! (10)
[14:30:26] LOG | Request for embed.js intercepted
[14:30:26] HIDDEN | Surpressed due to logging rules. (see './logs/log_2024-2-12_14-30-3.private.txt')
[14:30:26] WARN | Same version detected!
[14:30:26] LOG | Routine for 'main' sleeping for '2.5' second(s)...
[14:30:29] LOG | Continuing...
[14:30:30] HIDDEN | Surpressed due to logging rules. (see './logs/log_2024-2-12_14-30-3.private.txt')
[14:30:30] LOG | Fetching sources...
[14:30:30] HIDDEN | Surpressed due to logging rules. (see './logs/log_2024-2-12_14-30-3.private.txt')
[14:30:30] LOG | Retrieving playback url...
[14:30:30] HIDDEN | Surpressed due to logging rules. (see './logs/log_2024-2-12_14-30-3.private.txt')
[14:30:30] LOG | Sucessfully retrieved playback url!
[14:30:39] LOG | Request for embed.js intercepted
[14:30:39] HIDDEN | Surpressed due to logging rules. (see './logs/log_2024-2-12_14-30-3.private.txt')
[14:30:39] WARN | Same version detected!
[14:30:39] LOG | Routine for 'main' sleeping for '2.5' second(s)...
[14:30:41] LOG | Continuing...
[14:30:45] LOG | Request for embed.js intercepted
[14:30:45] HIDDEN | Surpressed due to logging rules. (see './logs/log_2024-2-12_14-30-3.private.txt')
[14:30:45] WARN | Same version detected!
[14:30:45] LOG | Routine for 'main' sleeping for '2.5' second(s)...
[14:30:48] LOG | Continuing...
[14:30:49] WARN | Requests limit for 'embed' reached! (10)
[14:30:51] HIDDEN | Surpressed due to logging rules. (see './logs/log_2024-2-12_14-30-3.private.txt')
[14:30:51] LOG | Fetching sources...
[14:30:51] HIDDEN | Surpressed due to logging rules. (see './logs/log_2024-2-12_14-30-3.private.txt')
[14:30:51] LOG | Retrieving playback url...
[14:30:51] HIDDEN | Surpressed due to logging rules. (see './logs/log_2024-2-12_14-30-3.private.txt')
[14:30:51] LOG | Sucessfully retrieved playback url!
[14:30:59] LOG | Request for embed.js intercepted
[14:30:59] HIDDEN | Surpressed due to logging rules. (see './logs/log_2024-2-12_14-30-3.private.txt')
[14:30:59] WARN | Same version detected!
[14:30:59] LOG | Routine for 'main' sleeping for '2.5' second(s)...
[14:31:2] LOG | Continuing...
[14:31:7] WARN | Requests limit for 'embed' reached! (10)
[14:31:9] HIDDEN | Surpressed due to logging rules. (see './logs/log_2024-2-12_14-30-3.private.txt')
[14:31:9] LOG | Fetching sources...
[14:31:9] HIDDEN | Surpressed due to logging rules. (see './logs/log_2024-2-12_14-30-3.private.txt')
[14:31:9] LOG | Retrieving playback url...
[14:31:9] HIDDEN | Surpressed due to logging rules. (see './logs/log_2024-2-12_14-30-3.private.txt')
[14:31:9] LOG | Sucessfully retrieved playback url!
[14:31:17] LOG | Request for embed.js intercepted
[14:31:17] HIDDEN | Surpressed due to logging rules. (see './logs/log_2024-2-12_14-30-3.private.txt')
[14:31:17] WARN | Same version detected!
[14:31:17] LOG | Routine for 'main' sleeping for '2.5' second(s)...
[14:31:20] LOG | Continuing...
[14:31:24] LOG | Request for embed.js intercepted
[14:31:24] HIDDEN | Surpressed due to logging rules. (see './logs/log_2024-2-12_14-30-3.private.txt')
[14:31:24] WARN | Same version detected!
[14:31:24] LOG | Routine for 'main' sleeping for '2.5' second(s)...
[14:31:27] LOG | Continuing...
[14:31:28] WARN | Requests limit for 'embed' reached! (10)
[14:31:30] HIDDEN | Surpressed due to logging rules. (see './logs/log_2024-2-12_14-30-3.private.txt')
[14:31:30] LOG | Fetching sources...
[14:31:30] HIDDEN | Surpressed due to logging rules. (see './logs/log_2024-2-12_14-30-3.private.txt')
[14:31:30] LOG | Retrieving playback url...
[14:31:30] HIDDEN | Surpressed due to logging rules. (see './logs/log_2024-2-12_14-30-3.private.txt')
[14:31:30] LOG | Sucessfully retrieved playback url!
[14:31:38] LOG | Request for embed.js intercepted
[14:31:38] HIDDEN | Surpressed due to logging rules. (see './logs/log_2024-2-12_14-30-3.private.txt')
[14:31:38] WARN | Same version detected!
[14:31:38] LOG | Routine for 'main' sleeping for '2.5' second(s)...
[14:31:41] LOG | Continuing...
[14:31:46] WARN | Requests limit for 'embed' reached! (10)
[14:31:48] HIDDEN | Surpressed due to logging rules. (see './logs/log_2024-2-12_14-30-3.private.txt')
[14:31:48] LOG | Fetching sources...
[14:31:48] HIDDEN | Surpressed due to logging rules. (see './logs/log_2024-2-12_14-30-3.private.txt')
[14:31:48] LOG | Retrieving playback url...
[14:31:48] HIDDEN | Surpressed due to logging rules. (see './logs/log_2024-2-12_14-30-3.private.txt')
[14:31:48] LOG | Sucessfully retrieved playback url!
[14:31:56] LOG | Request for embed.js intercepted
[14:31:56] HIDDEN | Surpressed due to logging rules. (see './logs/log_2024-2-12_14-30-3.private.txt')
[14:31:56] WARN | Same version detected!
[14:31:56] LOG | Routine for 'main' sleeping for '2.5' second(s)...
[14:31:59] LOG | Continuing...
[14:32:5] WARN | Requests limit for 'embed' reached! (10)
[14:32:6] HIDDEN | Surpressed due to logging rules. (see './logs/log_2024-2-12_14-30-3.private.txt')
[14:32:6] LOG | Fetching sources...
[14:32:6] HIDDEN | Surpressed due to logging rules. (see './logs/log_2024-2-12_14-30-3.private.txt')
[14:32:6] LOG | Retrieving playback url...
[14:32:7] HIDDEN | Surpressed due to logging rules. (see './logs/log_2024-2-12_14-30-3.private.txt')
[14:32:7] LOG | Sucessfully retrieved playback url!
[14:32:15] LOG | Request for embed.js intercepted
[14:32:15] HIDDEN | Surpressed due to logging rules. (see './logs/log_2024-2-12_14-30-3.private.txt')
[14:32:15] WARN | Same version detected!
[14:32:15] LOG | Routine for 'main' sleeping for '2.5' second(s)...
[14:32:17] LOG | Continuing...
[14:32:23] WARN | Requests limit for 'embed' reached! (10)
[14:32:24] HIDDEN | Surpressed due to logging rules. (see './logs/log_2024-2-12_14-30-3.private.txt')
[14:32:24] LOG | Fetching sources...
[14:32:25] HIDDEN | Surpressed due to logging rules. (see './logs/log_2024-2-12_14-30-3.private.txt')
[14:32:25] LOG | Retrieving playback url...
[14:32:25] HIDDEN | Surpressed due to logging rules. (see './logs/log_2024-2-12_14-30-3.private.txt')
[14:32:25] LOG | Sucessfully retrieved playback url!
[14:32:33] LOG | Request for embed.js intercepted
[14:32:33] HIDDEN | Surpressed due to logging rules. (see './logs/log_2024-2-12_14-30-3.private.txt')
[14:32:33] WARN | Same version detected!
[14:32:33] LOG | Routine for 'main' sleeping for '2.5' second(s)...
[14:32:35] LOG | Continuing...
[14:32:41] WARN | Requests limit for 'embed' reached! (10)
[14:32:43] HIDDEN | Surpressed due to logging rules. (see './logs/log_2024-2-12_14-30-3.private.txt')
[14:32:43] LOG | Fetching sources...
[14:32:43] HIDDEN | Surpressed due to logging rules. (see './logs/log_2024-2-12_14-30-3.private.txt')
[14:32:43] LOG | Retrieving playback url...
[14:32:43] HIDDEN | Surpressed due to logging rules. (see './logs/log_2024-2-12_14-30-3.private.txt')
[14:32:43] LOG | Sucessfully retrieved playback url!
[14:32:57] WARN | Requests limit for 'embed' reached! (10)
[14:32:58] HIDDEN | Surpressed due to logging rules. (see './logs/log_2024-2-12_14-30-3.private.txt')
[14:32:58] LOG | Fetching sources...
[14:32:59] HIDDEN | Surpressed due to logging rules. (see './logs/log_2024-2-12_14-30-3.private.txt')
[14:32:59] LOG | Retrieving playback url...
[14:32:59] HIDDEN | Surpressed due to logging rules. (see './logs/log_2024-2-12_14-30-3.private.txt')
[14:32:59] LOG | Sucessfully retrieved playback url!
[14:33:13] WARN | Requests limit for 'embed' reached! (10)
[14:33:14] HIDDEN | Surpressed due to logging rules. (see './logs/log_2024-2-12_14-30-3.private.txt')
[14:33:14] LOG | Fetching sources...
[14:33:15] HIDDEN | Surpressed due to logging rules. (see './logs/log_2024-2-12_14-30-3.private.txt')
[14:33:15] LOG | Retrieving playback url...
[14:33:15] HIDDEN | Surpressed due to logging rules. (see './logs/log_2024-2-12_14-30-3.private.txt')
[14:33:15] LOG | Sucessfully retrieved playback url!
[14:33:21] LOG | Request for embed.js intercepted
[14:33:21] HIDDEN | Surpressed due to logging rules. (see './logs/log_2024-2-12_14-30-3.private.txt')
[14:33:21] WARN | Same version detected!
[14:33:21] LOG | Routine for 'main' sleeping for '2.5' second(s)...
[14:33:24] LOG | Continuing...
[14:33:31] WARN | Requests limit for 'embed' reached! (10)
[14:33:33] HIDDEN | Surpressed due to logging rules. (see './logs/log_2024-2-12_14-30-3.private.txt')
[14:33:33] LOG | Fetching sources...
[14:33:33] HIDDEN | Surpressed due to logging rules. (see './logs/log_2024-2-12_14-30-3.private.txt')
[14:33:33] LOG | Retrieving playback url...
[14:33:33] HIDDEN | Surpressed due to logging rules. (see './logs/log_2024-2-12_14-30-3.private.txt')
[14:33:33] LOG | Sucessfully retrieved playback url!
[14:33:40] LOG | Request for embed.js intercepted
[14:33:40] HIDDEN | Surpressed due to logging rules. (see './logs/log_2024-2-12_14-30-3.private.txt')
[14:33:40] WARN | Same version detected!
[14:33:40] LOG | Routine for 'main' sleeping for '2.5' second(s)...
[14:33:42] LOG | Continuing...
[14:33:47] LOG | Request for embed.js intercepted
[14:33:47] HIDDEN | Surpressed due to logging rules. (see './logs/log_2024-2-12_14-30-3.private.txt')
[14:33:47] WARN | Same version detected!
[14:33:47] LOG | Routine for 'main' sleeping for '2.5' second(s)...
[14:33:49] LOG | Continuing...
[14:33:52] WARN | Requests limit for 'embed' reached! (10)
[14:33:53] HIDDEN | Surpressed due to logging rules. (see './logs/log_2024-2-12_14-30-3.private.txt')
[14:33:53] LOG | Fetching sources...
[14:33:53] HIDDEN | Surpressed due to logging rules. (see './logs/log_2024-2-12_14-30-3.private.txt')
[14:33:53] LOG | Retrieving playback url...
[14:33:54] HIDDEN | Surpressed due to logging rules. (see './logs/log_2024-2-12_14-30-3.private.txt')
[14:33:54] LOG | Sucessfully retrieved playback url!
[14:34:0] LOG | Request for embed.js intercepted
[14:34:0] HIDDEN | Surpressed due to logging rules. (see './logs/log_2024-2-12_14-30-3.private.txt')
[14:34:0] WARN | Same version detected!
[14:34:0] LOG | Routine for 'main' sleeping for '2.5' second(s)...
[14:34:3] LOG | Continuing...
[14:34:10] WARN | Requests limit for 'embed' reached! (10)
[14:34:12] HIDDEN | Surpressed due to logging rules. (see './logs/log_2024-2-12_14-30-3.private.txt')
[14:34:12] LOG | Fetching sources...
[14:34:12] HIDDEN | Surpressed due to logging rules. (see './logs/log_2024-2-12_14-30-3.private.txt')
[14:34:12] LOG | Retrieving playback url...
[14:34:12] HIDDEN | Surpressed due to logging rules. (see './logs/log_2024-2-12_14-30-3.private.txt')
[14:34:12] LOG | Sucessfully retrieved playback url!
[14:34:16] ERROR | Requests limit for 'main' reached! (2000)
[14:34:16] WARN | Killing process...
