--------------------------------------------
  Created log file: log_2024-2-2_3-30-3
--------------------------------------------

[3:30:3] LOG | Updated logfile.txt to './logs/log_2024-2-2_3-30-3.txt'
[3:30:4] HIDDEN | Surpressed due to logging rules. (see './logs/log_2024-2-2_3-30-3.private.txt')
[3:30:4] LOG | Fetching sources...
[3:30:4] HIDDEN | Surpressed due to logging rules. (see './logs/log_2024-2-2_3-30-3.private.txt')
[3:30:4] LOG | Retrieving playback url...
[3:30:4] HIDDEN | Surpressed due to logging rules. (see './logs/log_2024-2-2_3-30-3.private.txt')
[3:30:4] LOG | Sucessfully retrieved playback url!
[3:30:5] LOG | Request for embed.js intercepted
[3:30:5] HIDDEN | Surpressed due to logging rules. (see './logs/log_2024-2-2_3-30-3.private.txt')
[3:30:5] WARN | Same version detected!
[3:30:5] LOG | Routine for 'main' sleeping for '2.5' second(s)...
[3:30:8] LOG | Continuing...
[3:30:9] LOG | Request for embed.js intercepted
[3:30:9] HIDDEN | Surpressed due to logging rules. (see './logs/log_2024-2-2_3-30-3.private.txt')
[3:30:9] WARN | Same version detected!
[3:30:9] LOG | Routine for 'main' sleeping for '2.5' second(s)...
[3:30:11] LOG | Continuing...
[3:30:24] WARN | Requests limit for 'embed' reached! (10)
[3:30:26] HIDDEN | Surpressed due to logging rules. (see './logs/log_2024-2-2_3-30-3.private.txt')
[3:30:26] LOG | Fetching sources...
[3:30:26] HIDDEN | Surpressed due to logging rules. (see './logs/log_2024-2-2_3-30-3.private.txt')
[3:30:26] LOG | Retrieving playback url...
[3:30:26] HIDDEN | Surpressed due to logging rules. (see './logs/log_2024-2-2_3-30-3.private.txt')
[3:30:26] LOG | Sucessfully retrieved playback url!
[3:30:27] LOG | Request for embed.js intercepted
[3:30:27] HIDDEN | Surpressed due to logging rules. (see './logs/log_2024-2-2_3-30-3.private.txt')
[3:30:27] WARN | Same version detected!
[3:30:27] LOG | Routine for 'main' sleeping for '2.5' second(s)...
[3:30:29] LOG | Continuing...
[3:30:33] LOG | Request for embed.js intercepted
[3:30:33] HIDDEN | Surpressed due to logging rules. (see './logs/log_2024-2-2_3-30-3.private.txt')
[3:30:33] WARN | Same version detected!
[3:30:33] LOG | Routine for 'main' sleeping for '2.5' second(s)...
[3:30:36] LOG | Continuing...
[3:30:47] LOG | Request for embed.js intercepted
[3:30:47] HIDDEN | Surpressed due to logging rules. (see './logs/log_2024-2-2_3-30-3.private.txt')
[3:30:47] WARN | Same version detected!
[3:30:47] LOG | Routine for 'main' sleeping for '2.5' second(s)...
[3:30:50] LOG | Continuing...
[3:30:54] WARN | Requests limit for 'embed' reached! (10)
[3:30:55] HIDDEN | Surpressed due to logging rules. (see './logs/log_2024-2-2_3-30-3.private.txt')
[3:30:55] LOG | Fetching sources...
[3:30:56] HIDDEN | Surpressed due to logging rules. (see './logs/log_2024-2-2_3-30-3.private.txt')
[3:30:56] LOG | Retrieving playback url...
[3:30:56] HIDDEN | Surpressed due to logging rules. (see './logs/log_2024-2-2_3-30-3.private.txt')
[3:30:56] LOG | Sucessfully retrieved playback url!
[3:30:56] LOG | Request for embed.js intercepted
[3:30:56] HIDDEN | Surpressed due to logging rules. (see './logs/log_2024-2-2_3-30-3.private.txt')
[3:30:56] WARN | Same version detected!
[3:30:56] LOG | Routine for 'main' sleeping for '2.5' second(s)...
[3:30:59] LOG | Continuing...
[3:31:13] WARN | Requests limit for 'embed' reached! (10)
[3:31:15] HIDDEN | Surpressed due to logging rules. (see './logs/log_2024-2-2_3-30-3.private.txt')
[3:31:15] LOG | Fetching sources...
[3:31:15] HIDDEN | Surpressed due to logging rules. (see './logs/log_2024-2-2_3-30-3.private.txt')
[3:31:15] LOG | Retrieving playback url...
[3:31:15] HIDDEN | Surpressed due to logging rules. (see './logs/log_2024-2-2_3-30-3.private.txt')
[3:31:15] LOG | Sucessfully retrieved playback url!
[3:31:16] LOG | Request for embed.js intercepted
[3:31:16] HIDDEN | Surpressed due to logging rules. (see './logs/log_2024-2-2_3-30-3.private.txt')
[3:31:16] WARN | Same version detected!
[3:31:16] LOG | Routine for 'main' sleeping for '2.5' second(s)...
[3:31:18] LOG | Continuing...
[3:31:22] ERROR | Requests limit for 'main' reached! (2000)
[3:31:22] WARN | Killing process...
