--------------------------------------------
  Created log file: log_2024-1-31_21-30-3
--------------------------------------------

[21:30:3] LOG | Updated logfile.txt to './logs/log_2024-1-31_21-30-3.txt'
[21:30:5] HIDDEN | Surpressed due to logging rules. (see './logs/log_2024-1-31_21-30-3.private.txt')
[21:30:5] LOG | Fetching sources...
[21:30:5] HIDDEN | Surpressed due to logging rules. (see './logs/log_2024-1-31_21-30-3.private.txt')
[21:30:5] LOG | Retrieving playback url...
[21:30:5] HIDDEN | Surpressed due to logging rules. (see './logs/log_2024-1-31_21-30-3.private.txt')
[21:30:5] LOG | Sucessfully retrieved playback url!
[21:30:6] LOG | Request for embed.js intercepted
[21:30:6] HIDDEN | Surpressed due to logging rules. (see './logs/log_2024-1-31_21-30-3.private.txt')
[21:30:6] WARN | Same version detected!
[21:30:6] LOG | Routine for 'main' sleeping for '2.5' second(s)...
[21:30:8] LOG | Continuing...
[21:30:10] LOG | Request for embed.js intercepted
[21:30:10] HIDDEN | Surpressed due to logging rules. (see './logs/log_2024-1-31_21-30-3.private.txt')
[21:30:10] WARN | Same version detected!
[21:30:10] LOG | Routine for 'main' sleeping for '2.5' second(s)...
[21:30:12] LOG | Continuing...
[21:30:18] LOG | Request for embed.js intercepted
[21:30:18] HIDDEN | Surpressed due to logging rules. (see './logs/log_2024-1-31_21-30-3.private.txt')
[21:30:18] WARN | Same version detected!
[21:30:18] LOG | Routine for 'main' sleeping for '2.5' second(s)...
[21:30:21] LOG | Continuing...
[21:30:25] LOG | Request for embed.js intercepted
[21:30:25] HIDDEN | Surpressed due to logging rules. (see './logs/log_2024-1-31_21-30-3.private.txt')
[21:30:25] WARN | Same version detected!
[21:30:25] LOG | Routine for 'main' sleeping for '2.5' second(s)...
[21:30:27] LOG | Continuing...
[21:30:29] WARN | Requests limit for 'embed' reached! (10)
[21:30:30] HIDDEN | Surpressed due to logging rules. (see './logs/log_2024-1-31_21-30-3.private.txt')
[21:30:30] LOG | Fetching sources...
[21:30:30] HIDDEN | Surpressed due to logging rules. (see './logs/log_2024-1-31_21-30-3.private.txt')
[21:30:30] LOG | Retrieving playback url...
[21:30:30] HIDDEN | Surpressed due to logging rules. (see './logs/log_2024-1-31_21-30-3.private.txt')
[21:30:30] LOG | Sucessfully retrieved playback url!
[21:30:31] LOG | Request for embed.js intercepted
[21:30:31] HIDDEN | Surpressed due to logging rules. (see './logs/log_2024-1-31_21-30-3.private.txt')
[21:30:31] WARN | Same version detected!
[21:30:31] LOG | Routine for 'main' sleeping for '2.5' second(s)...
[21:30:34] LOG | Continuing...
[21:30:37] LOG | Request for embed.js intercepted
[21:30:37] HIDDEN | Surpressed due to logging rules. (see './logs/log_2024-1-31_21-30-3.private.txt')
[21:30:37] WARN | Same version detected!
[21:30:37] LOG | Routine for 'main' sleeping for '2.5' second(s)...
[21:30:39] LOG | Continuing...
[21:30:46] LOG | Request for embed.js intercepted
[21:30:46] HIDDEN | Surpressed due to logging rules. (see './logs/log_2024-1-31_21-30-3.private.txt')
[21:30:46] WARN | Same version detected!
[21:30:46] LOG | Routine for 'main' sleeping for '2.5' second(s)...
[21:30:48] LOG | Continuing...
[21:30:55] WARN | Requests limit for 'embed' reached! (10)
[21:30:57] HIDDEN | Surpressed due to logging rules. (see './logs/log_2024-1-31_21-30-3.private.txt')
[21:30:57] LOG | Fetching sources...
[21:30:57] HIDDEN | Surpressed due to logging rules. (see './logs/log_2024-1-31_21-30-3.private.txt')
[21:30:57] LOG | Retrieving playback url...
[21:30:57] HIDDEN | Surpressed due to logging rules. (see './logs/log_2024-1-31_21-30-3.private.txt')
[21:30:57] LOG | Sucessfully retrieved playback url!
[21:31:7] LOG | Request for embed.js intercepted
[21:31:7] HIDDEN | Surpressed due to logging rules. (see './logs/log_2024-1-31_21-30-3.private.txt')
[21:31:7] WARN | Same version detected!
[21:31:7] LOG | Routine for 'main' sleeping for '2.5' second(s)...
[21:31:10] LOG | Continuing...
[21:31:15] WARN | Requests limit for 'embed' reached! (10)
[21:31:18] HIDDEN | Surpressed due to logging rules. (see './logs/log_2024-1-31_21-30-3.private.txt')
[21:31:18] LOG | Fetching sources...
[21:31:19] HIDDEN | Surpressed due to logging rules. (see './logs/log_2024-1-31_21-30-3.private.txt')
[21:31:19] LOG | Retrieving playback url...
[21:31:19] HIDDEN | Surpressed due to logging rules. (see './logs/log_2024-1-31_21-30-3.private.txt')
[21:31:19] LOG | Sucessfully retrieved playback url!
[21:31:23] ERROR | Requests limit for 'main' reached! (2000)
[21:31:23] WARN | Killing process...
