--------------------------------------------
  Created log file: log_2024-1-31_13-0-2
--------------------------------------------

[13:0:2] LOG | Updated logfile.txt to './logs/log_2024-1-31_13-0-2.txt'
[13:0:4] HIDDEN | Surpressed due to logging rules. (see './logs/log_2024-1-31_13-0-2.private.txt')
[13:0:4] LOG | Fetching sources...
[13:0:4] HIDDEN | Surpressed due to logging rules. (see './logs/log_2024-1-31_13-0-2.private.txt')
[13:0:4] LOG | Retrieving playback url...
[13:0:4] HIDDEN | Surpressed due to logging rules. (see './logs/log_2024-1-31_13-0-2.private.txt')
[13:0:4] LOG | Sucessfully retrieved playback url!
[13:0:5] LOG | Request for embed.js intercepted
[13:0:5] HIDDEN | Surpressed due to logging rules. (see './logs/log_2024-1-31_13-0-2.private.txt')
[13:0:5] ERROR | Could not retrieve keys, patchEmbedJs failed?
[13:0:5] LOG | Extracted keys sucessfully!
[13:0:5] LOG | Key 1: 'RPYRkfHpP3MoPhwP' - Key 2: '62ijhHh1KT2RZ2vR'
[13:0:5] LOG | Bumped version to '65ba4269'
[13:0:5] WARN | Killing process...
