--------------------------------------------
  Created log file: log_2024-2-2_4-30-3
--------------------------------------------

[4:30:3] LOG | Updated logfile.txt to './logs/log_2024-2-2_4-30-3.txt'
[4:30:4] HIDDEN | Surpressed due to logging rules. (see './logs/log_2024-2-2_4-30-3.private.txt')
[4:30:4] LOG | Fetching sources...
[4:30:4] HIDDEN | Surpressed due to logging rules. (see './logs/log_2024-2-2_4-30-3.private.txt')
[4:30:4] LOG | Retrieving playback url...
[4:30:4] HIDDEN | Surpressed due to logging rules. (see './logs/log_2024-2-2_4-30-3.private.txt')
[4:30:4] LOG | Sucessfully retrieved playback url!
[4:30:5] LOG | Request for embed.js intercepted
[4:30:5] HIDDEN | Surpressed due to logging rules. (see './logs/log_2024-2-2_4-30-3.private.txt')
[4:30:5] WARN | Same version detected!
[4:30:5] LOG | Routine for 'main' sleeping for '2.5' second(s)...
[4:30:7] LOG | Continuing...
[4:30:9] LOG | Request for embed.js intercepted
[4:30:9] HIDDEN | Surpressed due to logging rules. (see './logs/log_2024-2-2_4-30-3.private.txt')
[4:30:9] WARN | Same version detected!
[4:30:9] LOG | Routine for 'main' sleeping for '2.5' second(s)...
[4:30:11] LOG | Continuing...
[4:30:15] LOG | Request for embed.js intercepted
[4:30:15] HIDDEN | Surpressed due to logging rules. (see './logs/log_2024-2-2_4-30-3.private.txt')
[4:30:15] WARN | Same version detected!
[4:30:15] LOG | Routine for 'main' sleeping for '2.5' second(s)...
[4:30:18] LOG | Continuing...
[4:30:22] LOG | Request for embed.js intercepted
[4:30:22] HIDDEN | Surpressed due to logging rules. (see './logs/log_2024-2-2_4-30-3.private.txt')
[4:30:22] WARN | Same version detected!
[4:30:22] LOG | Routine for 'main' sleeping for '2.5' second(s)...
[4:30:25] LOG | Continuing...
[4:30:28] WARN | Requests limit for 'embed' reached! (10)
[4:30:30] HIDDEN | Surpressed due to logging rules. (see './logs/log_2024-2-2_4-30-3.private.txt')
[4:30:30] LOG | Fetching sources...
[4:30:30] HIDDEN | Surpressed due to logging rules. (see './logs/log_2024-2-2_4-30-3.private.txt')
[4:30:30] LOG | Retrieving playback url...
[4:30:30] HIDDEN | Surpressed due to logging rules. (see './logs/log_2024-2-2_4-30-3.private.txt')
[4:30:30] LOG | Sucessfully retrieved playback url!
[4:30:41] LOG | Request for embed.js intercepted
[4:30:41] HIDDEN | Surpressed due to logging rules. (see './logs/log_2024-2-2_4-30-3.private.txt')
[4:30:41] WARN | Same version detected!
[4:30:41] LOG | Routine for 'main' sleeping for '2.5' second(s)...
[4:30:43] LOG | Continuing...
[4:30:46] LOG | Request for embed.js intercepted
[4:30:46] HIDDEN | Surpressed due to logging rules. (see './logs/log_2024-2-2_4-30-3.private.txt')
[4:30:46] WARN | Same version detected!
[4:30:46] LOG | Routine for 'main' sleeping for '2.5' second(s)...
[4:30:49] LOG | Continuing...
[4:30:51] WARN | Requests limit for 'embed' reached! (10)
[4:30:53] HIDDEN | Surpressed due to logging rules. (see './logs/log_2024-2-2_4-30-3.private.txt')
[4:30:53] LOG | Fetching sources...
[4:30:53] HIDDEN | Surpressed due to logging rules. (see './logs/log_2024-2-2_4-30-3.private.txt')
[4:30:53] LOG | Retrieving playback url...
[4:30:53] HIDDEN | Surpressed due to logging rules. (see './logs/log_2024-2-2_4-30-3.private.txt')
[4:30:53] LOG | Sucessfully retrieved playback url!
[4:30:56] LOG | Request for embed.js intercepted
[4:30:56] HIDDEN | Surpressed due to logging rules. (see './logs/log_2024-2-2_4-30-3.private.txt')
[4:30:56] WARN | Same version detected!
[4:30:56] LOG | Routine for 'main' sleeping for '2.5' second(s)...
[4:30:59] LOG | Continuing...
[4:31:11] WARN | Requests limit for 'embed' reached! (10)
[4:31:14] HIDDEN | Surpressed due to logging rules. (see './logs/log_2024-2-2_4-30-3.private.txt')
[4:31:14] LOG | Fetching sources...
[4:31:14] HIDDEN | Surpressed due to logging rules. (see './logs/log_2024-2-2_4-30-3.private.txt')
[4:31:14] LOG | Retrieving playback url...
[4:31:14] HIDDEN | Surpressed due to logging rules. (see './logs/log_2024-2-2_4-30-3.private.txt')
[4:31:14] LOG | Sucessfully retrieved playback url!
[4:31:21] ERROR | Requests limit for 'main' reached! (2000)
[4:31:21] WARN | Killing process...
