--------------------------------------------
  Created log file: log_2024-2-2_7-30-3
--------------------------------------------

[7:30:3] LOG | Updated logfile.txt to './logs/log_2024-2-2_7-30-3.txt'
[7:30:4] HIDDEN | Surpressed due to logging rules. (see './logs/log_2024-2-2_7-30-3.private.txt')
[7:30:4] LOG | Fetching sources...
[7:30:5] HIDDEN | Surpressed due to logging rules. (see './logs/log_2024-2-2_7-30-3.private.txt')
[7:30:5] LOG | Retrieving playback url...
[7:30:5] HIDDEN | Surpressed due to logging rules. (see './logs/log_2024-2-2_7-30-3.private.txt')
[7:30:5] LOG | Sucessfully retrieved playback url!
[7:30:6] LOG | Request for embed.js intercepted
[7:30:6] HIDDEN | Surpressed due to logging rules. (see './logs/log_2024-2-2_7-30-3.private.txt')
[7:30:6] WARN | Same version detected!
[7:30:6] LOG | Routine for 'main' sleeping for '2.5' second(s)...
[7:30:8] LOG | Continuing...
[7:30:10] LOG | Request for embed.js intercepted
[7:30:10] HIDDEN | Surpressed due to logging rules. (see './logs/log_2024-2-2_7-30-3.private.txt')
[7:30:10] WARN | Same version detected!
[7:30:10] LOG | Routine for 'main' sleeping for '2.5' second(s)...
[7:30:12] LOG | Continuing...
[7:30:16] LOG | Request for embed.js intercepted
[7:30:16] HIDDEN | Surpressed due to logging rules. (see './logs/log_2024-2-2_7-30-3.private.txt')
[7:30:16] WARN | Same version detected!
[7:30:16] LOG | Routine for 'main' sleeping for '2.5' second(s)...
[7:30:19] LOG | Continuing...
[7:30:23] LOG | Request for embed.js intercepted
[7:30:23] HIDDEN | Surpressed due to logging rules. (see './logs/log_2024-2-2_7-30-3.private.txt')
[7:30:23] WARN | Same version detected!
[7:30:23] LOG | Routine for 'main' sleeping for '2.5' second(s)...
[7:30:26] LOG | Continuing...
[7:30:32] WARN | Requests limit for 'embed' reached! (10)
[7:30:33] LOG | Request for embed.js intercepted
[7:30:33] HIDDEN | Surpressed due to logging rules. (see './logs/log_2024-2-2_7-30-3.private.txt')
[7:30:33] WARN | Same version detected!
[7:30:33] LOG | Routine for 'main' sleeping for '2.5' second(s)...
[7:30:35] LOG | Continuing...
[7:30:38] HIDDEN | Surpressed due to logging rules. (see './logs/log_2024-2-2_7-30-3.private.txt')
[7:30:38] LOG | Fetching sources...
[7:30:38] HIDDEN | Surpressed due to logging rules. (see './logs/log_2024-2-2_7-30-3.private.txt')
[7:30:38] LOG | Retrieving playback url...
[7:30:38] HIDDEN | Surpressed due to logging rules. (see './logs/log_2024-2-2_7-30-3.private.txt')
[7:30:38] LOG | Sucessfully retrieved playback url!
[7:30:39] LOG | Request for embed.js intercepted
[7:30:39] HIDDEN | Surpressed due to logging rules. (see './logs/log_2024-2-2_7-30-3.private.txt')
[7:30:39] WARN | Same version detected!
[7:30:39] LOG | Routine for 'main' sleeping for '2.5' second(s)...
[7:30:41] LOG | Continuing...
[7:30:48] LOG | Request for embed.js intercepted
[7:30:48] HIDDEN | Surpressed due to logging rules. (see './logs/log_2024-2-2_7-30-3.private.txt')
[7:30:48] WARN | Same version detected!
[7:30:48] LOG | Routine for 'main' sleeping for '2.5' second(s)...
[7:30:51] LOG | Continuing...
[7:30:56] LOG | Request for embed.js intercepted
[7:30:56] HIDDEN | Surpressed due to logging rules. (see './logs/log_2024-2-2_7-30-3.private.txt')
[7:30:56] WARN | Same version detected!
[7:30:56] LOG | Routine for 'main' sleeping for '2.5' second(s)...
[7:30:59] LOG | Continuing...
[7:31:2] WARN | Requests limit for 'embed' reached! (10)
[7:31:3] HIDDEN | Surpressed due to logging rules. (see './logs/log_2024-2-2_7-30-3.private.txt')
[7:31:3] LOG | Fetching sources...
[7:31:3] HIDDEN | Surpressed due to logging rules. (see './logs/log_2024-2-2_7-30-3.private.txt')
[7:31:3] LOG | Retrieving playback url...
[7:31:4] HIDDEN | Surpressed due to logging rules. (see './logs/log_2024-2-2_7-30-3.private.txt')
[7:31:4] LOG | Sucessfully retrieved playback url!
[7:31:7] LOG | Request for embed.js intercepted
[7:31:7] HIDDEN | Surpressed due to logging rules. (see './logs/log_2024-2-2_7-30-3.private.txt')
[7:31:7] WARN | Same version detected!
[7:31:7] LOG | Routine for 'main' sleeping for '2.5' second(s)...
[7:31:9] LOG | Continuing...
[7:31:16] LOG | Request for embed.js intercepted
[7:31:16] HIDDEN | Surpressed due to logging rules. (see './logs/log_2024-2-2_7-30-3.private.txt')
[7:31:16] WARN | Same version detected!
[7:31:16] LOG | Routine for 'main' sleeping for '2.5' second(s)...
[7:31:19] LOG | Continuing...
[7:31:23] LOG | Request for embed.js intercepted
[7:31:23] HIDDEN | Surpressed due to logging rules. (see './logs/log_2024-2-2_7-30-3.private.txt')
[7:31:23] WARN | Same version detected!
[7:31:23] LOG | Routine for 'main' sleeping for '2.5' second(s)...
[7:31:25] LOG | Continuing...
[7:31:29] WARN | Requests limit for 'embed' reached! (10)
[7:31:31] HIDDEN | Surpressed due to logging rules. (see './logs/log_2024-2-2_7-30-3.private.txt')
[7:31:31] LOG | Fetching sources...
[7:31:31] HIDDEN | Surpressed due to logging rules. (see './logs/log_2024-2-2_7-30-3.private.txt')
[7:31:31] LOG | Retrieving playback url...
[7:31:31] HIDDEN | Surpressed due to logging rules. (see './logs/log_2024-2-2_7-30-3.private.txt')
[7:31:31] LOG | Sucessfully retrieved playback url!
[7:31:36] ERROR | Requests limit for 'main' reached! (2000)
[7:31:36] WARN | Killing process...
