--------------------------------------------
  Created log file: log_2024-2-16_22-30-3
--------------------------------------------

[22:30:3] LOG | Updated logfile.txt to './logs/log_2024-2-16_22-30-3.txt'
[22:30:4] HIDDEN | Surpressed due to logging rules. (see './logs/log_2024-2-16_22-30-3.private.txt')
[22:30:4] LOG | Fetching sources...
[22:30:4] HIDDEN | Surpressed due to logging rules. (see './logs/log_2024-2-16_22-30-3.private.txt')
[22:30:4] LOG | Retrieving playback url...
[22:30:4] HIDDEN | Surpressed due to logging rules. (see './logs/log_2024-2-16_22-30-3.private.txt')
[22:30:4] LOG | Sucessfully retrieved playback url!
[22:30:5] LOG | Request for embed.js intercepted
[22:30:5] HIDDEN | Surpressed due to logging rules. (see './logs/log_2024-2-16_22-30-3.private.txt')
[22:30:5] WARN | Same version detected!
[22:30:5] LOG | Routine for 'main' sleeping for '2.5' second(s)...
[22:30:7] LOG | Continuing...
[22:30:21] WARN | Requests limit for 'embed' reached! (10)
[22:30:23] HIDDEN | Surpressed due to logging rules. (see './logs/log_2024-2-16_22-30-3.private.txt')
[22:30:23] LOG | Fetching sources...
[22:30:23] HIDDEN | Surpressed due to logging rules. (see './logs/log_2024-2-16_22-30-3.private.txt')
[22:30:23] LOG | Retrieving playback url...
[22:30:23] HIDDEN | Surpressed due to logging rules. (see './logs/log_2024-2-16_22-30-3.private.txt')
[22:30:23] LOG | Sucessfully retrieved playback url!
[22:30:37] WARN | Requests limit for 'embed' reached! (10)
[22:30:39] HIDDEN | Surpressed due to logging rules. (see './logs/log_2024-2-16_22-30-3.private.txt')
[22:30:39] LOG | Fetching sources...
[22:30:39] HIDDEN | Surpressed due to logging rules. (see './logs/log_2024-2-16_22-30-3.private.txt')
[22:30:39] LOG | Retrieving playback url...
[22:30:39] HIDDEN | Surpressed due to logging rules. (see './logs/log_2024-2-16_22-30-3.private.txt')
[22:30:39] LOG | Sucessfully retrieved playback url!
[22:30:53] WARN | Requests limit for 'embed' reached! (10)
[22:30:55] HIDDEN | Surpressed due to logging rules. (see './logs/log_2024-2-16_22-30-3.private.txt')
[22:30:55] LOG | Fetching sources...
[22:30:55] HIDDEN | Surpressed due to logging rules. (see './logs/log_2024-2-16_22-30-3.private.txt')
[22:30:55] LOG | Retrieving playback url...
