--------------------------------------------
  Created log file: log_2024-2-4_2-30-3
--------------------------------------------

[2:30:3] LOG | Updated logfile.txt to './logs/log_2024-2-4_2-30-3.txt'
[2:30:4] HIDDEN | Surpressed due to logging rules. (see './logs/log_2024-2-4_2-30-3.private.txt')
[2:30:4] LOG | Fetching sources...
[2:30:4] HIDDEN | Surpressed due to logging rules. (see './logs/log_2024-2-4_2-30-3.private.txt')
[2:30:4] LOG | Retrieving playback url...
[2:30:4] HIDDEN | Surpressed due to logging rules. (see './logs/log_2024-2-4_2-30-3.private.txt')
[2:30:4] LOG | Sucessfully retrieved playback url!
[2:30:5] LOG | Request for embed.js intercepted
[2:30:5] HIDDEN | Surpressed due to logging rules. (see './logs/log_2024-2-4_2-30-3.private.txt')
[2:30:5] WARN | Same version detected!
[2:30:5] LOG | Routine for 'main' sleeping for '2.5' second(s)...
[2:30:7] LOG | Continuing...
[2:30:9] LOG | Request for embed.js intercepted
[2:30:9] HIDDEN | Surpressed due to logging rules. (see './logs/log_2024-2-4_2-30-3.private.txt')
[2:30:9] WARN | Same version detected!
[2:30:9] LOG | Routine for 'main' sleeping for '2.5' second(s)...
[2:30:11] LOG | Continuing...
[2:30:18] LOG | Request for embed.js intercepted
[2:30:18] HIDDEN | Surpressed due to logging rules. (see './logs/log_2024-2-4_2-30-3.private.txt')
[2:30:18] WARN | Same version detected!
[2:30:18] LOG | Routine for 'main' sleeping for '2.5' second(s)...
[2:30:21] LOG | Continuing...
[2:30:25] WARN | Requests limit for 'embed' reached! (10)
[2:30:26] HIDDEN | Surpressed due to logging rules. (see './logs/log_2024-2-4_2-30-3.private.txt')
[2:30:26] LOG | Fetching sources...
[2:30:26] HIDDEN | Surpressed due to logging rules. (see './logs/log_2024-2-4_2-30-3.private.txt')
[2:30:26] LOG | Retrieving playback url...
[2:30:26] HIDDEN | Surpressed due to logging rules. (see './logs/log_2024-2-4_2-30-3.private.txt')
[2:30:26] LOG | Sucessfully retrieved playback url!
[2:30:27] LOG | Request for embed.js intercepted
[2:30:27] HIDDEN | Surpressed due to logging rules. (see './logs/log_2024-2-4_2-30-3.private.txt')
[2:30:27] WARN | Same version detected!
[2:30:27] LOG | Routine for 'main' sleeping for '2.5' second(s)...
[2:30:30] LOG | Continuing...
[2:30:35] LOG | Request for embed.js intercepted
[2:30:35] HIDDEN | Surpressed due to logging rules. (see './logs/log_2024-2-4_2-30-3.private.txt')
[2:30:35] WARN | Same version detected!
[2:30:35] LOG | Routine for 'main' sleeping for '2.5' second(s)...
[2:30:38] LOG | Continuing...
[2:30:44] WARN | Requests limit for 'embed' reached! (10)
[2:30:45] LOG | Request for embed.js intercepted
[2:30:45] HIDDEN | Surpressed due to logging rules. (see './logs/log_2024-2-4_2-30-3.private.txt')
[2:30:45] WARN | Same version detected!
[2:30:45] LOG | Routine for 'main' sleeping for '2.5' second(s)...
[2:30:47] LOG | Continuing...
[2:30:48] HIDDEN | Surpressed due to logging rules. (see './logs/log_2024-2-4_2-30-3.private.txt')
[2:30:48] LOG | Fetching sources...
[2:30:48] HIDDEN | Surpressed due to logging rules. (see './logs/log_2024-2-4_2-30-3.private.txt')
[2:30:48] LOG | Retrieving playback url...
[2:30:49] HIDDEN | Surpressed due to logging rules. (see './logs/log_2024-2-4_2-30-3.private.txt')
[2:30:49] LOG | Sucessfully retrieved playback url!
[2:30:59] LOG | Request for embed.js intercepted
[2:30:59] HIDDEN | Surpressed due to logging rules. (see './logs/log_2024-2-4_2-30-3.private.txt')
[2:30:59] WARN | Same version detected!
[2:30:59] LOG | Routine for 'main' sleeping for '2.5' second(s)...
[2:31:2] LOG | Continuing...
[2:31:4] WARN | Requests limit for 'embed' reached! (10)
[2:31:6] HIDDEN | Surpressed due to logging rules. (see './logs/log_2024-2-4_2-30-3.private.txt')
[2:31:6] LOG | Fetching sources...
[2:31:6] HIDDEN | Surpressed due to logging rules. (see './logs/log_2024-2-4_2-30-3.private.txt')
[2:31:6] LOG | Retrieving playback url...
[2:31:6] HIDDEN | Surpressed due to logging rules. (see './logs/log_2024-2-4_2-30-3.private.txt')
[2:31:6] LOG | Sucessfully retrieved playback url!
[2:31:19] WARN | Requests limit for 'embed' reached! (10)
[2:31:21] HIDDEN | Surpressed due to logging rules. (see './logs/log_2024-2-4_2-30-3.private.txt')
