--------------------------------------------
  Created log file: log_2024-1-31_22-30-2
--------------------------------------------

[22:30:2] LOG | Updated logfile.txt to './logs/log_2024-1-31_22-30-2.txt'
[22:30:3] HIDDEN | Surpressed due to logging rules. (see './logs/log_2024-1-31_22-30-2.private.txt')
[22:30:3] LOG | Fetching sources...
[22:30:4] HIDDEN | Surpressed due to logging rules. (see './logs/log_2024-1-31_22-30-2.private.txt')
[22:30:4] LOG | Retrieving playback url...
[22:30:4] HIDDEN | Surpressed due to logging rules. (see './logs/log_2024-1-31_22-30-2.private.txt')
[22:30:4] LOG | Sucessfully retrieved playback url!
[22:30:5] LOG | Request for embed.js intercepted
[22:30:5] HIDDEN | Surpressed due to logging rules. (see './logs/log_2024-1-31_22-30-2.private.txt')
[22:30:5] WARN | Same version detected!
[22:30:5] LOG | Routine for 'main' sleeping for '2.5' second(s)...
[22:30:7] LOG | Continuing...
[22:30:9] LOG | Request for embed.js intercepted
[22:30:9] HIDDEN | Surpressed due to logging rules. (see './logs/log_2024-1-31_22-30-2.private.txt')
[22:30:9] WARN | Same version detected!
[22:30:9] LOG | Routine for 'main' sleeping for '2.5' second(s)...
[22:30:11] LOG | Continuing...
[22:30:17] LOG | Request for embed.js intercepted
[22:30:17] HIDDEN | Surpressed due to logging rules. (see './logs/log_2024-1-31_22-30-2.private.txt')
[22:30:17] WARN | Same version detected!
[22:30:17] LOG | Routine for 'main' sleeping for '2.5' second(s)...
[22:30:19] LOG | Continuing...
[22:30:25] LOG | Request for embed.js intercepted
[22:30:25] HIDDEN | Surpressed due to logging rules. (see './logs/log_2024-1-31_22-30-2.private.txt')
[22:30:25] WARN | Same version detected!
[22:30:25] LOG | Routine for 'main' sleeping for '2.5' second(s)...
[22:30:28] LOG | Continuing...
[22:30:29] WARN | Requests limit for 'embed' reached! (10)
[22:30:31] HIDDEN | Surpressed due to logging rules. (see './logs/log_2024-1-31_22-30-2.private.txt')
[22:30:31] LOG | Fetching sources...
[22:30:31] HIDDEN | Surpressed due to logging rules. (see './logs/log_2024-1-31_22-30-2.private.txt')
[22:30:31] LOG | Retrieving playback url...
[22:30:31] HIDDEN | Surpressed due to logging rules. (see './logs/log_2024-1-31_22-30-2.private.txt')
[22:30:31] LOG | Sucessfully retrieved playback url!
[22:30:32] LOG | Request for embed.js intercepted
[22:30:32] HIDDEN | Surpressed due to logging rules. (see './logs/log_2024-1-31_22-30-2.private.txt')
[22:30:32] WARN | Same version detected!
[22:30:32] LOG | Routine for 'main' sleeping for '2.5' second(s)...
[22:30:34] LOG | Continuing...
[22:30:40] LOG | Request for embed.js intercepted
[22:30:40] HIDDEN | Surpressed due to logging rules. (see './logs/log_2024-1-31_22-30-2.private.txt')
[22:30:40] WARN | Same version detected!
[22:30:40] LOG | Routine for 'main' sleeping for '2.5' second(s)...
[22:30:42] LOG | Continuing...
[22:30:49] LOG | Request for embed.js intercepted
[22:30:49] HIDDEN | Surpressed due to logging rules. (see './logs/log_2024-1-31_22-30-2.private.txt')
[22:30:49] WARN | Same version detected!
[22:30:49] LOG | Routine for 'main' sleeping for '2.5' second(s)...
[22:30:51] LOG | Continuing...
[22:30:54] WARN | Requests limit for 'embed' reached! (10)
[22:30:54] LOG | Request for embed.js intercepted
[22:30:54] HIDDEN | Surpressed due to logging rules. (see './logs/log_2024-1-31_22-30-2.private.txt')
[22:30:54] WARN | Same version detected!
[22:30:54] LOG | Routine for 'main' sleeping for '2.5' second(s)...
[22:30:57] LOG | Continuing...
[22:30:59] HIDDEN | Surpressed due to logging rules. (see './logs/log_2024-1-31_22-30-2.private.txt')
[22:30:59] LOG | Fetching sources...
[22:30:59] HIDDEN | Surpressed due to logging rules. (see './logs/log_2024-1-31_22-30-2.private.txt')
[22:30:59] LOG | Retrieving playback url...
[22:30:59] HIDDEN | Surpressed due to logging rules. (see './logs/log_2024-1-31_22-30-2.private.txt')
[22:30:59] LOG | Sucessfully retrieved playback url!
[22:31:3] LOG | Request for embed.js intercepted
[22:31:3] HIDDEN | Surpressed due to logging rules. (see './logs/log_2024-1-31_22-30-2.private.txt')
[22:31:3] WARN | Same version detected!
[22:31:3] LOG | Routine for 'main' sleeping for '2.5' second(s)...
[22:31:6] LOG | Continuing...
[22:31:8] LOG | Request for embed.js intercepted
[22:31:8] HIDDEN | Surpressed due to logging rules. (see './logs/log_2024-1-31_22-30-2.private.txt')
[22:31:8] WARN | Same version detected!
[22:31:8] LOG | Routine for 'main' sleeping for '2.5' second(s)...
[22:31:11] LOG | Continuing...
[22:31:15] LOG | Request for embed.js intercepted
[22:31:15] HIDDEN | Surpressed due to logging rules. (see './logs/log_2024-1-31_22-30-2.private.txt')
[22:31:15] WARN | Same version detected!
[22:31:15] LOG | Routine for 'main' sleeping for '2.5' second(s)...
[22:31:18] LOG | Continuing...
[22:31:26] WARN | Requests limit for 'embed' reached! (10)
[22:31:28] HIDDEN | Surpressed due to logging rules. (see './logs/log_2024-1-31_22-30-2.private.txt')
[22:31:28] LOG | Fetching sources...
[22:31:28] HIDDEN | Surpressed due to logging rules. (see './logs/log_2024-1-31_22-30-2.private.txt')
[22:31:28] LOG | Retrieving playback url...
[22:31:28] HIDDEN | Surpressed due to logging rules. (see './logs/log_2024-1-31_22-30-2.private.txt')
[22:31:28] LOG | Sucessfully retrieved playback url!
[22:31:33] ERROR | Requests limit for 'main' reached! (2000)
[22:31:33] WARN | Killing process...
