--------------------------------------------
  Created log file: log_2024-2-21_13-20-3
--------------------------------------------

[13:20:3] LOG | Updated logfile.txt to './logs/log_2024-2-21_13-20-3.txt'
[13:20:4] HIDDEN | Surpressed due to logging rules. (see './logs/log_2024-2-21_13-20-3.private.txt')
[13:20:4] LOG | Fetching sources...
[13:20:4] HIDDEN | Surpressed due to logging rules. (see './logs/log_2024-2-21_13-20-3.private.txt')
[13:20:4] LOG | Retrieving playback url...
[13:20:4] HIDDEN | Surpressed due to logging rules. (see './logs/log_2024-2-21_13-20-3.private.txt')
[13:20:4] LOG | Sucessfully retrieved playback url!
[13:20:5] LOG | Request for embed.js intercepted
[13:20:5] HIDDEN | Surpressed due to logging rules. (see './logs/log_2024-2-21_13-20-3.private.txt')
[13:20:5] WARN | Same version detected!
[13:20:5] LOG | Routine for 'main' sleeping for '2.5' second(s)...
[13:20:8] LOG | Continuing...
[13:20:21] WARN | Requests limit for 'embed' reached! (10)
[13:20:23] HIDDEN | Surpressed due to logging rules. (see './logs/log_2024-2-21_13-20-3.private.txt')
[13:20:23] LOG | Fetching sources...
[13:20:23] HIDDEN | Surpressed due to logging rules. (see './logs/log_2024-2-21_13-20-3.private.txt')
[13:20:23] LOG | Retrieving playback url...
[13:20:23] HIDDEN | Surpressed due to logging rules. (see './logs/log_2024-2-21_13-20-3.private.txt')
[13:20:23] LOG | Sucessfully retrieved playback url!
[13:20:37] WARN | Requests limit for 'embed' reached! (10)
[13:20:39] HIDDEN | Surpressed due to logging rules. (see './logs/log_2024-2-21_13-20-3.private.txt')
[13:20:39] LOG | Fetching sources...
[13:20:39] HIDDEN | Surpressed due to logging rules. (see './logs/log_2024-2-21_13-20-3.private.txt')
[13:20:39] LOG | Retrieving playback url...
[13:20:39] HIDDEN | Surpressed due to logging rules. (see './logs/log_2024-2-21_13-20-3.private.txt')
[13:20:39] LOG | Sucessfully retrieved playback url!
[13:20:53] WARN | Requests limit for 'embed' reached! (10)
[13:20:55] HIDDEN | Surpressed due to logging rules. (see './logs/log_2024-2-21_13-20-3.private.txt')
[13:20:55] LOG | Fetching sources...
[13:20:55] HIDDEN | Surpressed due to logging rules. (see './logs/log_2024-2-21_13-20-3.private.txt')
[13:20:55] LOG | Retrieving playback url...
[13:20:55] HIDDEN | Surpressed due to logging rules. (see './logs/log_2024-2-21_13-20-3.private.txt')
[13:20:55] LOG | Sucessfully retrieved playback url!
[13:21:9] WARN | Requests limit for 'embed' reached! (10)
[13:21:11] HIDDEN | Surpressed due to logging rules. (see './logs/log_2024-2-21_13-20-3.private.txt')
[13:21:11] LOG | Fetching sources...
[13:21:11] HIDDEN | Surpressed due to logging rules. (see './logs/log_2024-2-21_13-20-3.private.txt')
[13:21:11] LOG | Retrieving playback url...
[13:21:11] HIDDEN | Surpressed due to logging rules. (see './logs/log_2024-2-21_13-20-3.private.txt')
[13:21:11] LOG | Sucessfully retrieved playback url!
[13:21:25] WARN | Requests limit for 'embed' reached! (10)
[13:21:27] HIDDEN | Surpressed due to logging rules. (see './logs/log_2024-2-21_13-20-3.private.txt')
[13:21:27] LOG | Fetching sources...
[13:21:27] HIDDEN | Surpressed due to logging rules. (see './logs/log_2024-2-21_13-20-3.private.txt')
[13:21:27] LOG | Retrieving playback url...
[13:21:27] HIDDEN | Surpressed due to logging rules. (see './logs/log_2024-2-21_13-20-3.private.txt')
[13:21:27] LOG | Sucessfully retrieved playback url!
[13:21:41] WARN | Requests limit for 'embed' reached! (10)
[13:21:43] HIDDEN | Surpressed due to logging rules. (see './logs/log_2024-2-21_13-20-3.private.txt')
[13:21:43] LOG | Fetching sources...
[13:21:43] HIDDEN | Surpressed due to logging rules. (see './logs/log_2024-2-21_13-20-3.private.txt')
[13:21:43] LOG | Retrieving playback url...
[13:21:43] HIDDEN | Surpressed due to logging rules. (see './logs/log_2024-2-21_13-20-3.private.txt')
[13:21:43] LOG | Sucessfully retrieved playback url!
[13:21:57] WARN | Requests limit for 'embed' reached! (10)
[13:21:59] HIDDEN | Surpressed due to logging rules. (see './logs/log_2024-2-21_13-20-3.private.txt')
[13:21:59] LOG | Fetching sources...
[13:21:59] HIDDEN | Surpressed due to logging rules. (see './logs/log_2024-2-21_13-20-3.private.txt')
[13:21:59] LOG | Retrieving playback url...
[13:21:59] HIDDEN | Surpressed due to logging rules. (see './logs/log_2024-2-21_13-20-3.private.txt')
[13:21:59] LOG | Sucessfully retrieved playback url!
[13:22:13] WARN | Requests limit for 'embed' reached! (10)
[13:22:15] HIDDEN | Surpressed due to logging rules. (see './logs/log_2024-2-21_13-20-3.private.txt')
[13:22:15] LOG | Fetching sources...
[13:22:15] HIDDEN | Surpressed due to logging rules. (see './logs/log_2024-2-21_13-20-3.private.txt')
[13:22:15] LOG | Retrieving playback url...
[13:22:15] HIDDEN | Surpressed due to logging rules. (see './logs/log_2024-2-21_13-20-3.private.txt')
[13:22:15] LOG | Sucessfully retrieved playback url!
[13:22:29] WARN | Requests limit for 'embed' reached! (10)
[13:22:31] HIDDEN | Surpressed due to logging rules. (see './logs/log_2024-2-21_13-20-3.private.txt')
[13:22:31] LOG | Fetching sources...
[13:22:31] HIDDEN | Surpressed due to logging rules. (see './logs/log_2024-2-21_13-20-3.private.txt')
[13:22:31] LOG | Retrieving playback url...
[13:22:31] HIDDEN | Surpressed due to logging rules. (see './logs/log_2024-2-21_13-20-3.private.txt')
[13:22:31] LOG | Sucessfully retrieved playback url!
[13:22:45] WARN | Requests limit for 'embed' reached! (10)
[13:22:47] HIDDEN | Surpressed due to logging rules. (see './logs/log_2024-2-21_13-20-3.private.txt')
[13:22:47] LOG | Fetching sources...
[13:22:47] HIDDEN | Surpressed due to logging rules. (see './logs/log_2024-2-21_13-20-3.private.txt')
[13:22:47] LOG | Retrieving playback url...
[13:22:47] HIDDEN | Surpressed due to logging rules. (see './logs/log_2024-2-21_13-20-3.private.txt')
[13:22:47] LOG | Sucessfully retrieved playback url!
[13:22:55] LOG | Request for embed.js intercepted
[13:22:55] HIDDEN | Surpressed due to logging rules. (see './logs/log_2024-2-21_13-20-3.private.txt')
[13:22:55] WARN | Same version detected!
[13:22:55] LOG | Routine for 'main' sleeping for '2.5' second(s)...
[13:22:58] LOG | Continuing...
[13:23:3] ERROR | Requests limit for 'main' reached! (2000)
[13:23:3] WARN | Killing process...
