--------------------------------------------
  Created log file: log_2024-2-16_11-30-3
--------------------------------------------

[11:30:3] LOG | Updated logfile.txt to './logs/log_2024-2-16_11-30-3.txt'
[11:30:4] HIDDEN | Surpressed due to logging rules. (see './logs/log_2024-2-16_11-30-3.private.txt')
[11:30:4] LOG | Fetching sources...
[11:30:4] HIDDEN | Surpressed due to logging rules. (see './logs/log_2024-2-16_11-30-3.private.txt')
[11:30:4] LOG | Retrieving playback url...
[11:30:5] HIDDEN | Surpressed due to logging rules. (see './logs/log_2024-2-16_11-30-3.private.txt')
[11:30:5] LOG | Sucessfully retrieved playback url!
[11:30:5] LOG | Request for embed.js intercepted
[11:30:5] HIDDEN | Surpressed due to logging rules. (see './logs/log_2024-2-16_11-30-3.private.txt')
[11:30:5] WARN | Same version detected!
[11:30:5] LOG | Routine for 'main' sleeping for '2.5' second(s)...
[11:30:8] LOG | Continuing...
[11:30:9] LOG | Request for embed.js intercepted
[11:30:9] HIDDEN | Surpressed due to logging rules. (see './logs/log_2024-2-16_11-30-3.private.txt')
[11:30:9] WARN | Same version detected!
[11:30:9] LOG | Routine for 'main' sleeping for '2.5' second(s)...
[11:30:12] LOG | Continuing...
[11:30:19] LOG | Request for embed.js intercepted
[11:30:19] HIDDEN | Surpressed due to logging rules. (see './logs/log_2024-2-16_11-30-3.private.txt')
[11:30:19] WARN | Same version detected!
[11:30:19] LOG | Routine for 'main' sleeping for '2.5' second(s)...
[11:30:21] LOG | Continuing...
[11:30:25] WARN | Requests limit for 'embed' reached! (10)
[11:30:27] HIDDEN | Surpressed due to logging rules. (see './logs/log_2024-2-16_11-30-3.private.txt')
[11:30:27] LOG | Fetching sources...
[11:30:27] HIDDEN | Surpressed due to logging rules. (see './logs/log_2024-2-16_11-30-3.private.txt')
[11:30:27] LOG | Retrieving playback url...
[11:30:27] HIDDEN | Surpressed due to logging rules. (see './logs/log_2024-2-16_11-30-3.private.txt')
[11:30:27] LOG | Sucessfully retrieved playback url!
[11:30:35] LOG | Request for embed.js intercepted
[11:30:35] HIDDEN | Surpressed due to logging rules. (see './logs/log_2024-2-16_11-30-3.private.txt')
[11:30:35] WARN | Same version detected!
[11:30:35] LOG | Routine for 'main' sleeping for '2.5' second(s)...
[11:30:37] LOG | Continuing...
[11:30:42] WARN | Requests limit for 'embed' reached! (10)
[11:30:43] LOG | Request for embed.js intercepted
[11:30:43] HIDDEN | Surpressed due to logging rules. (see './logs/log_2024-2-16_11-30-3.private.txt')
[11:30:43] WARN | Same version detected!
[11:30:43] LOG | Routine for 'main' sleeping for '2.5' second(s)...
[11:30:45] LOG | Continuing...
[11:30:46] HIDDEN | Surpressed due to logging rules. (see './logs/log_2024-2-16_11-30-3.private.txt')
[11:30:46] LOG | Fetching sources...
[11:30:47] HIDDEN | Surpressed due to logging rules. (see './logs/log_2024-2-16_11-30-3.private.txt')
[11:30:47] LOG | Retrieving playback url...
[11:30:47] HIDDEN | Surpressed due to logging rules. (see './logs/log_2024-2-16_11-30-3.private.txt')
[11:30:47] LOG | Sucessfully retrieved playback url!
[11:31:0] WARN | Requests limit for 'embed' reached! (10)
[11:31:1] HIDDEN | Surpressed due to logging rules. (see './logs/log_2024-2-16_11-30-3.private.txt')
[11:31:1] LOG | Fetching sources...
