--------------------------------------------
  Created log file: log_2024-2-13_13-30-3
--------------------------------------------

[13:30:3] LOG | Updated logfile.txt to './logs/log_2024-2-13_13-30-3.txt'
[13:30:4] HIDDEN | Surpressed due to logging rules. (see './logs/log_2024-2-13_13-30-3.private.txt')
[13:30:4] LOG | Fetching sources...
[13:30:5] HIDDEN | Surpressed due to logging rules. (see './logs/log_2024-2-13_13-30-3.private.txt')
[13:30:5] LOG | Retrieving playback url...
[13:30:5] HIDDEN | Surpressed due to logging rules. (see './logs/log_2024-2-13_13-30-3.private.txt')
[13:30:5] LOG | Sucessfully retrieved playback url!
[13:30:6] LOG | Request for embed.js intercepted
[13:30:6] HIDDEN | Surpressed due to logging rules. (see './logs/log_2024-2-13_13-30-3.private.txt')
[13:30:6] WARN | Same version detected!
[13:30:6] LOG | Routine for 'main' sleeping for '2.5' second(s)...
[13:30:8] LOG | Continuing...
[13:30:9] LOG | Request for embed.js intercepted
[13:30:9] HIDDEN | Surpressed due to logging rules. (see './logs/log_2024-2-13_13-30-3.private.txt')
[13:30:9] WARN | Same version detected!
[13:30:9] LOG | Routine for 'main' sleeping for '2.5' second(s)...
[13:30:12] LOG | Continuing...
[13:30:18] LOG | Request for embed.js intercepted
[13:30:18] HIDDEN | Surpressed due to logging rules. (see './logs/log_2024-2-13_13-30-3.private.txt')
[13:30:18] WARN | Same version detected!
[13:30:18] LOG | Routine for 'main' sleeping for '2.5' second(s)...
[13:30:20] LOG | Continuing...
[13:30:26] WARN | Requests limit for 'embed' reached! (10)
[13:30:26] LOG | Request for embed.js intercepted
[13:30:26] HIDDEN | Surpressed due to logging rules. (see './logs/log_2024-2-13_13-30-3.private.txt')
[13:30:26] WARN | Same version detected!
[13:30:26] LOG | Routine for 'main' sleeping for '2.5' second(s)...
[13:30:29] LOG | Continuing...
[13:30:30] HIDDEN | Surpressed due to logging rules. (see './logs/log_2024-2-13_13-30-3.private.txt')
[13:30:30] LOG | Fetching sources...
[13:30:30] HIDDEN | Surpressed due to logging rules. (see './logs/log_2024-2-13_13-30-3.private.txt')
[13:30:30] LOG | Retrieving playback url...
[13:30:31] HIDDEN | Surpressed due to logging rules. (see './logs/log_2024-2-13_13-30-3.private.txt')
[13:30:31] LOG | Sucessfully retrieved playback url!
[13:30:44] WARN | Requests limit for 'embed' reached! (10)
[13:30:46] HIDDEN | Surpressed due to logging rules. (see './logs/log_2024-2-13_13-30-3.private.txt')
[13:30:46] LOG | Fetching sources...
[13:30:46] HIDDEN | Surpressed due to logging rules. (see './logs/log_2024-2-13_13-30-3.private.txt')
[13:30:46] LOG | Retrieving playback url...
[13:30:46] HIDDEN | Surpressed due to logging rules. (see './logs/log_2024-2-13_13-30-3.private.txt')
[13:30:46] LOG | Sucessfully retrieved playback url!
[13:31:0] WARN | Requests limit for 'embed' reached! (10)
[13:31:0] LOG | Request for embed.js intercepted
[13:31:0] HIDDEN | Surpressed due to logging rules. (see './logs/log_2024-2-13_13-30-3.private.txt')
[13:31:0] WARN | Same version detected!
[13:31:0] LOG | Routine for 'main' sleeping for '2.5' second(s)...
[13:31:3] LOG | Continuing...
[13:31:4] HIDDEN | Surpressed due to logging rules. (see './logs/log_2024-2-13_13-30-3.private.txt')
[13:31:4] LOG | Fetching sources...
[13:31:4] HIDDEN | Surpressed due to logging rules. (see './logs/log_2024-2-13_13-30-3.private.txt')
[13:31:4] LOG | Retrieving playback url...
[13:31:4] HIDDEN | Surpressed due to logging rules. (see './logs/log_2024-2-13_13-30-3.private.txt')
[13:31:4] LOG | Sucessfully retrieved playback url!
[13:31:8] LOG | Request for embed.js intercepted
[13:31:8] HIDDEN | Surpressed due to logging rules. (see './logs/log_2024-2-13_13-30-3.private.txt')
[13:31:8] WARN | Same version detected!
[13:31:8] LOG | Routine for 'main' sleeping for '2.5' second(s)...
[13:31:11] LOG | Continuing...
[13:31:21] WARN | Requests limit for 'embed' reached! (10)
[13:31:21] LOG | Request for embed.js intercepted
[13:31:21] HIDDEN | Surpressed due to logging rules. (see './logs/log_2024-2-13_13-30-3.private.txt')
[13:31:21] WARN | Same version detected!
[13:31:21] LOG | Routine for 'main' sleeping for '2.5' second(s)...
[13:31:23] LOG | Continuing...
[13:31:25] HIDDEN | Surpressed due to logging rules. (see './logs/log_2024-2-13_13-30-3.private.txt')
[13:31:25] LOG | Fetching sources...
[13:31:25] HIDDEN | Surpressed due to logging rules. (see './logs/log_2024-2-13_13-30-3.private.txt')
[13:31:25] LOG | Retrieving playback url...
[13:31:25] HIDDEN | Surpressed due to logging rules. (see './logs/log_2024-2-13_13-30-3.private.txt')
[13:31:25] LOG | Sucessfully retrieved playback url!
[13:31:33] LOG | Request for embed.js intercepted
[13:31:33] HIDDEN | Surpressed due to logging rules. (see './logs/log_2024-2-13_13-30-3.private.txt')
[13:31:33] WARN | Same version detected!
[13:31:33] LOG | Routine for 'main' sleeping for '2.5' second(s)...
[13:31:36] LOG | Continuing...
[13:31:41] WARN | Requests limit for 'embed' reached! (10)
[13:31:42] LOG | Request for embed.js intercepted
[13:31:42] HIDDEN | Surpressed due to logging rules. (see './logs/log_2024-2-13_13-30-3.private.txt')
[13:31:42] WARN | Same version detected!
[13:31:42] LOG | Routine for 'main' sleeping for '2.5' second(s)...
[13:31:44] LOG | Continuing...
[13:31:46] HIDDEN | Surpressed due to logging rules. (see './logs/log_2024-2-13_13-30-3.private.txt')
[13:31:46] LOG | Fetching sources...
[13:31:46] HIDDEN | Surpressed due to logging rules. (see './logs/log_2024-2-13_13-30-3.private.txt')
[13:31:46] LOG | Retrieving playback url...
[13:31:46] HIDDEN | Surpressed due to logging rules. (see './logs/log_2024-2-13_13-30-3.private.txt')
[13:31:46] LOG | Sucessfully retrieved playback url!
[13:32:0] WARN | Requests limit for 'embed' reached! (10)
[13:32:1] HIDDEN | Surpressed due to logging rules. (see './logs/log_2024-2-13_13-30-3.private.txt')
[13:32:1] LOG | Fetching sources...
[13:32:2] HIDDEN | Surpressed due to logging rules. (see './logs/log_2024-2-13_13-30-3.private.txt')
[13:32:2] LOG | Retrieving playback url...
[13:32:2] HIDDEN | Surpressed due to logging rules. (see './logs/log_2024-2-13_13-30-3.private.txt')
[13:32:2] LOG | Sucessfully retrieved playback url!
[13:32:2] LOG | Request for embed.js intercepted
