--------------------------------------------
  Created log file: log_2024-2-1_0-30-2
--------------------------------------------

[0:30:2] LOG | Updated logfile.txt to './logs/log_2024-2-1_0-30-2.txt'
[0:30:3] HIDDEN | Surpressed due to logging rules. (see './logs/log_2024-2-1_0-30-2.private.txt')
[0:30:3] LOG | Fetching sources...
[0:30:3] HIDDEN | Surpressed due to logging rules. (see './logs/log_2024-2-1_0-30-2.private.txt')
[0:30:3] LOG | Retrieving playback url...
[0:30:3] HIDDEN | Surpressed due to logging rules. (see './logs/log_2024-2-1_0-30-2.private.txt')
[0:30:3] LOG | Sucessfully retrieved playback url!
[0:30:4] LOG | Request for embed.js intercepted
[0:30:4] HIDDEN | Surpressed due to logging rules. (see './logs/log_2024-2-1_0-30-2.private.txt')
[0:30:4] WARN | Same version detected!
[0:30:4] LOG | Routine for 'main' sleeping for '2.5' second(s)...
[0:30:7] LOG | Continuing...
[0:30:21] LOG | Request for embed.js intercepted
[0:30:21] HIDDEN | Surpressed due to logging rules. (see './logs/log_2024-2-1_0-30-2.private.txt')
[0:30:21] WARN | Same version detected!
[0:30:21] LOG | Routine for 'main' sleeping for '2.5' second(s)...
[0:30:23] LOG | Continuing...
[0:30:26] LOG | Request for embed.js intercepted
[0:30:26] HIDDEN | Surpressed due to logging rules. (see './logs/log_2024-2-1_0-30-2.private.txt')
[0:30:26] WARN | Same version detected!
[0:30:26] LOG | Routine for 'main' sleeping for '2.5' second(s)...
[0:30:28] LOG | Continuing...
[0:30:30] WARN | Requests limit for 'embed' reached! (10)
[0:30:31] HIDDEN | Surpressed due to logging rules. (see './logs/log_2024-2-1_0-30-2.private.txt')
[0:30:31] LOG | Fetching sources...
[0:30:32] HIDDEN | Surpressed due to logging rules. (see './logs/log_2024-2-1_0-30-2.private.txt')
[0:30:32] LOG | Retrieving playback url...
[0:30:32] HIDDEN | Surpressed due to logging rules. (see './logs/log_2024-2-1_0-30-2.private.txt')
[0:30:32] LOG | Sucessfully retrieved playback url!
[0:30:32] LOG | Request for embed.js intercepted
[0:30:32] HIDDEN | Surpressed due to logging rules. (see './logs/log_2024-2-1_0-30-2.private.txt')
[0:30:32] WARN | Same version detected!
[0:30:32] LOG | Routine for 'main' sleeping for '2.5' second(s)...
[0:30:35] LOG | Continuing...
[0:30:43] LOG | Request for embed.js intercepted
[0:30:43] HIDDEN | Surpressed due to logging rules. (see './logs/log_2024-2-1_0-30-2.private.txt')
[0:30:43] WARN | Same version detected!
[0:30:43] LOG | Routine for 'main' sleeping for '2.5' second(s)...
[0:30:45] LOG | Continuing...
[0:30:52] LOG | Request for embed.js intercepted
[0:30:52] HIDDEN | Surpressed due to logging rules. (see './logs/log_2024-2-1_0-30-2.private.txt')
[0:30:52] WARN | Same version detected!
[0:30:52] LOG | Routine for 'main' sleeping for '2.5' second(s)...
[0:30:54] LOG | Continuing...
[0:30:58] WARN | Requests limit for 'embed' reached! (10)
[0:31:0] HIDDEN | Surpressed due to logging rules. (see './logs/log_2024-2-1_0-30-2.private.txt')
[0:31:0] LOG | Fetching sources...
[0:31:0] HIDDEN | Surpressed due to logging rules. (see './logs/log_2024-2-1_0-30-2.private.txt')
[0:31:0] LOG | Retrieving playback url...
[0:31:0] HIDDEN | Surpressed due to logging rules. (see './logs/log_2024-2-1_0-30-2.private.txt')
[0:31:0] LOG | Sucessfully retrieved playback url!
[0:31:15] WARN | Requests limit for 'embed' reached! (10)
[0:31:18] HIDDEN | Surpressed due to logging rules. (see './logs/log_2024-2-1_0-30-2.private.txt')
[0:31:18] LOG | Fetching sources...
[0:31:19] HIDDEN | Surpressed due to logging rules. (see './logs/log_2024-2-1_0-30-2.private.txt')
[0:31:19] LOG | Retrieving playback url...
[0:31:19] HIDDEN | Surpressed due to logging rules. (see './logs/log_2024-2-1_0-30-2.private.txt')
[0:31:19] LOG | Sucessfully retrieved playback url!
[0:31:20] LOG | Request for embed.js intercepted
[0:31:20] HIDDEN | Surpressed due to logging rules. (see './logs/log_2024-2-1_0-30-2.private.txt')
[0:31:20] WARN | Same version detected!
[0:31:20] LOG | Routine for 'main' sleeping for '2.5' second(s)...
[0:31:22] LOG | Continuing...
[0:31:25] LOG | Request for embed.js intercepted
[0:31:25] HIDDEN | Surpressed due to logging rules. (see './logs/log_2024-2-1_0-30-2.private.txt')
[0:31:25] WARN | Same version detected!
[0:31:25] LOG | Routine for 'main' sleeping for '2.5' second(s)...
[0:31:27] LOG | Continuing...
[0:31:30] LOG | Request for embed.js intercepted
[0:31:30] HIDDEN | Surpressed due to logging rules. (see './logs/log_2024-2-1_0-30-2.private.txt')
[0:31:30] WARN | Same version detected!
[0:31:30] LOG | Routine for 'main' sleeping for '2.5' second(s)...
[0:31:33] LOG | Continuing...
[0:31:34] ERROR | Requests limit for 'main' reached! (2000)
[0:31:34] WARN | Killing process...
