--------------------------------------------
  Created log file: log_2024-2-21_5-30-4
--------------------------------------------

[5:30:4] LOG | Updated logfile.txt to './logs/log_2024-2-21_5-30-4.txt'
[5:30:5] HIDDEN | Surpressed due to logging rules. (see './logs/log_2024-2-21_5-30-4.private.txt')
[5:30:5] LOG | Fetching sources...
[5:30:5] HIDDEN | Surpressed due to logging rules. (see './logs/log_2024-2-21_5-30-4.private.txt')
[5:30:5] LOG | Retrieving playback url...
[5:30:5] HIDDEN | Surpressed due to logging rules. (see './logs/log_2024-2-21_5-30-4.private.txt')
[5:30:5] LOG | Sucessfully retrieved playback url!
[5:30:7] LOG | Request for embed.js intercepted
[5:30:7] HIDDEN | Surpressed due to logging rules. (see './logs/log_2024-2-21_5-30-4.private.txt')
[5:30:7] WARN | Same version detected!
[5:30:7] LOG | Routine for 'main' sleeping for '2.5' second(s)...
[5:30:9] LOG | Continuing...
[5:30:11] LOG | Request for embed.js intercepted
[5:30:11] HIDDEN | Surpressed due to logging rules. (see './logs/log_2024-2-21_5-30-4.private.txt')
[5:30:11] WARN | Same version detected!
[5:30:11] LOG | Routine for 'main' sleeping for '2.5' second(s)...
[5:30:14] LOG | Continuing...
[5:30:26] WARN | Requests limit for 'embed' reached! (10)
[5:30:28] HIDDEN | Surpressed due to logging rules. (see './logs/log_2024-2-21_5-30-4.private.txt')
[5:30:28] LOG | Fetching sources...
[5:30:28] HIDDEN | Surpressed due to logging rules. (see './logs/log_2024-2-21_5-30-4.private.txt')
[5:30:28] LOG | Retrieving playback url...
[5:30:28] HIDDEN | Surpressed due to logging rules. (see './logs/log_2024-2-21_5-30-4.private.txt')
[5:30:28] LOG | Sucessfully retrieved playback url!
[5:30:37] LOG | Request for embed.js intercepted
[5:30:37] HIDDEN | Surpressed due to logging rules. (see './logs/log_2024-2-21_5-30-4.private.txt')
[5:30:37] WARN | Same version detected!
[5:30:37] LOG | Routine for 'main' sleeping for '2.5' second(s)...
[5:30:40] LOG | Continuing...
[5:30:44] LOG | Request for embed.js intercepted
[5:30:44] HIDDEN | Surpressed due to logging rules. (see './logs/log_2024-2-21_5-30-4.private.txt')
[5:30:44] WARN | Same version detected!
[5:30:44] LOG | Routine for 'main' sleeping for '2.5' second(s)...
[5:30:47] LOG | Continuing...
[5:30:48] WARN | Requests limit for 'embed' reached! (10)
[5:30:50] HIDDEN | Surpressed due to logging rules. (see './logs/log_2024-2-21_5-30-4.private.txt')
[5:30:50] LOG | Fetching sources...
[5:30:50] HIDDEN | Surpressed due to logging rules. (see './logs/log_2024-2-21_5-30-4.private.txt')
[5:30:50] LOG | Retrieving playback url...
[5:30:50] HIDDEN | Surpressed due to logging rules. (see './logs/log_2024-2-21_5-30-4.private.txt')
[5:30:50] LOG | Sucessfully retrieved playback url!
[5:30:59] LOG | Request for embed.js intercepted
[5:30:59] HIDDEN | Surpressed due to logging rules. (see './logs/log_2024-2-21_5-30-4.private.txt')
[5:30:59] WARN | Same version detected!
[5:30:59] LOG | Routine for 'main' sleeping for '2.5' second(s)...
[5:31:1] LOG | Continuing...
[5:31:6] LOG | Request for embed.js intercepted
[5:31:6] HIDDEN | Surpressed due to logging rules. (see './logs/log_2024-2-21_5-30-4.private.txt')
[5:31:6] WARN | Same version detected!
[5:31:6] LOG | Routine for 'main' sleeping for '2.5' second(s)...
[5:31:8] LOG | Continuing...
[5:31:10] WARN | Requests limit for 'embed' reached! (10)
[5:31:11] HIDDEN | Surpressed due to logging rules. (see './logs/log_2024-2-21_5-30-4.private.txt')
[5:31:11] LOG | Fetching sources...
[5:31:11] HIDDEN | Surpressed due to logging rules. (see './logs/log_2024-2-21_5-30-4.private.txt')
[5:31:11] LOG | Retrieving playback url...
[5:31:11] HIDDEN | Surpressed due to logging rules. (see './logs/log_2024-2-21_5-30-4.private.txt')
[5:31:11] LOG | Sucessfully retrieved playback url!
[5:31:20] LOG | Request for embed.js intercepted
[5:31:20] HIDDEN | Surpressed due to logging rules. (see './logs/log_2024-2-21_5-30-4.private.txt')
[5:31:20] WARN | Same version detected!
[5:31:20] LOG | Routine for 'main' sleeping for '2.5' second(s)...
[5:31:23] LOG | Continuing...
[5:31:28] WARN | Requests limit for 'embed' reached! (10)
[5:31:30] HIDDEN | Surpressed due to logging rules. (see './logs/log_2024-2-21_5-30-4.private.txt')
[5:31:30] LOG | Fetching sources...
[5:31:30] HIDDEN | Surpressed due to logging rules. (see './logs/log_2024-2-21_5-30-4.private.txt')
[5:31:30] LOG | Retrieving playback url...
[5:31:30] HIDDEN | Surpressed due to logging rules. (see './logs/log_2024-2-21_5-30-4.private.txt')
[5:31:30] LOG | Sucessfully retrieved playback url!
[5:31:39] LOG | Request for embed.js intercepted
[5:31:39] HIDDEN | Surpressed due to logging rules. (see './logs/log_2024-2-21_5-30-4.private.txt')
[5:31:39] WARN | Same version detected!
[5:31:39] LOG | Routine for 'main' sleeping for '2.5' second(s)...
[5:31:41] LOG | Continuing...
[5:31:47] WARN | Requests limit for 'embed' reached! (10)
[5:31:49] HIDDEN | Surpressed due to logging rules. (see './logs/log_2024-2-21_5-30-4.private.txt')
[5:31:49] LOG | Fetching sources...
[5:31:49] HIDDEN | Surpressed due to logging rules. (see './logs/log_2024-2-21_5-30-4.private.txt')
[5:31:49] LOG | Retrieving playback url...
[5:31:49] HIDDEN | Surpressed due to logging rules. (see './logs/log_2024-2-21_5-30-4.private.txt')
[5:31:49] LOG | Sucessfully retrieved playback url!
[5:31:57] LOG | Request for embed.js intercepted
[5:31:57] HIDDEN | Surpressed due to logging rules. (see './logs/log_2024-2-21_5-30-4.private.txt')
[5:31:57] WARN | Same version detected!
[5:31:57] LOG | Routine for 'main' sleeping for '2.5' second(s)...
[5:32:0] LOG | Continuing...
[5:32:4] LOG | Request for embed.js intercepted
[5:32:4] HIDDEN | Surpressed due to logging rules. (see './logs/log_2024-2-21_5-30-4.private.txt')
[5:32:4] WARN | Same version detected!
[5:32:4] LOG | Routine for 'main' sleeping for '2.5' second(s)...
[5:32:7] LOG | Continuing...
