--------------------------------------------
  Created log file: log_2024-2-22_16-20-3
--------------------------------------------

[16:20:3] LOG | Updated logfile.txt to './logs/log_2024-2-22_16-20-3.txt'
[16:20:4] HIDDEN | Surpressed due to logging rules. (see './logs/log_2024-2-22_16-20-3.private.txt')
[16:20:4] LOG | Fetching sources...
[16:20:5] HIDDEN | Surpressed due to logging rules. (see './logs/log_2024-2-22_16-20-3.private.txt')
[16:20:5] LOG | Retrieving playback url...
[16:20:5] HIDDEN | Surpressed due to logging rules. (see './logs/log_2024-2-22_16-20-3.private.txt')
[16:20:5] LOG | Sucessfully retrieved playback url!
[16:20:5] LOG | Request for embed.js intercepted
[16:20:5] HIDDEN | Surpressed due to logging rules. (see './logs/log_2024-2-22_16-20-3.private.txt')
[16:20:5] WARN | Same version detected!
[16:20:5] LOG | Routine for 'main' sleeping for '2.5' second(s)...
[16:20:8] LOG | Continuing...
[16:20:21] WARN | Requests limit for 'embed' reached! (10)
[16:20:23] HIDDEN | Surpressed due to logging rules. (see './logs/log_2024-2-22_16-20-3.private.txt')
[16:20:23] LOG | Fetching sources...
[16:20:23] HIDDEN | Surpressed due to logging rules. (see './logs/log_2024-2-22_16-20-3.private.txt')
[16:20:23] LOG | Retrieving playback url...
[16:20:23] HIDDEN | Surpressed due to logging rules. (see './logs/log_2024-2-22_16-20-3.private.txt')
[16:20:23] LOG | Sucessfully retrieved playback url!
[16:20:38] WARN | Requests limit for 'embed' reached! (10)
[16:20:39] HIDDEN | Surpressed due to logging rules. (see './logs/log_2024-2-22_16-20-3.private.txt')
[16:20:39] LOG | Fetching sources...
[16:20:39] HIDDEN | Surpressed due to logging rules. (see './logs/log_2024-2-22_16-20-3.private.txt')
[16:20:39] LOG | Retrieving playback url...
[16:20:39] HIDDEN | Surpressed due to logging rules. (see './logs/log_2024-2-22_16-20-3.private.txt')
[16:20:39] LOG | Sucessfully retrieved playback url!
[16:20:54] WARN | Requests limit for 'embed' reached! (10)
[16:20:55] HIDDEN | Surpressed due to logging rules. (see './logs/log_2024-2-22_16-20-3.private.txt')
[16:20:55] LOG | Fetching sources...
[16:20:55] HIDDEN | Surpressed due to logging rules. (see './logs/log_2024-2-22_16-20-3.private.txt')
[16:20:55] LOG | Retrieving playback url...
[16:20:55] HIDDEN | Surpressed due to logging rules. (see './logs/log_2024-2-22_16-20-3.private.txt')
[16:20:55] LOG | Sucessfully retrieved playback url!
[16:21:10] WARN | Requests limit for 'embed' reached! (10)
[16:21:11] HIDDEN | Surpressed due to logging rules. (see './logs/log_2024-2-22_16-20-3.private.txt')
[16:21:11] LOG | Fetching sources...
[16:21:12] HIDDEN | Surpressed due to logging rules. (see './logs/log_2024-2-22_16-20-3.private.txt')
[16:21:12] LOG | Retrieving playback url...
[16:21:12] HIDDEN | Surpressed due to logging rules. (see './logs/log_2024-2-22_16-20-3.private.txt')
[16:21:12] LOG | Sucessfully retrieved playback url!
[16:21:26] WARN | Requests limit for 'embed' reached! (10)
[16:21:28] HIDDEN | Surpressed due to logging rules. (see './logs/log_2024-2-22_16-20-3.private.txt')
[16:21:28] LOG | Fetching sources...
[16:21:28] HIDDEN | Surpressed due to logging rules. (see './logs/log_2024-2-22_16-20-3.private.txt')
[16:21:28] LOG | Retrieving playback url...
[16:21:28] HIDDEN | Surpressed due to logging rules. (see './logs/log_2024-2-22_16-20-3.private.txt')
[16:21:28] LOG | Sucessfully retrieved playback url!
[16:21:42] WARN | Requests limit for 'embed' reached! (10)
[16:21:44] HIDDEN | Surpressed due to logging rules. (see './logs/log_2024-2-22_16-20-3.private.txt')
[16:21:44] LOG | Fetching sources...
[16:21:44] HIDDEN | Surpressed due to logging rules. (see './logs/log_2024-2-22_16-20-3.private.txt')
[16:21:44] LOG | Retrieving playback url...
[16:21:44] HIDDEN | Surpressed due to logging rules. (see './logs/log_2024-2-22_16-20-3.private.txt')
[16:21:44] LOG | Sucessfully retrieved playback url!
[16:21:58] WARN | Requests limit for 'embed' reached! (10)
[16:22:0] HIDDEN | Surpressed due to logging rules. (see './logs/log_2024-2-22_16-20-3.private.txt')
[16:22:0] LOG | Fetching sources...
[16:22:0] HIDDEN | Surpressed due to logging rules. (see './logs/log_2024-2-22_16-20-3.private.txt')
[16:22:0] LOG | Retrieving playback url...
[16:22:0] HIDDEN | Surpressed due to logging rules. (see './logs/log_2024-2-22_16-20-3.private.txt')
[16:22:0] LOG | Sucessfully retrieved playback url!
[16:22:14] WARN | Requests limit for 'embed' reached! (10)
[16:22:16] HIDDEN | Surpressed due to logging rules. (see './logs/log_2024-2-22_16-20-3.private.txt')
[16:22:16] LOG | Fetching sources...
[16:22:16] HIDDEN | Surpressed due to logging rules. (see './logs/log_2024-2-22_16-20-3.private.txt')
[16:22:16] LOG | Retrieving playback url...
[16:22:16] HIDDEN | Surpressed due to logging rules. (see './logs/log_2024-2-22_16-20-3.private.txt')
[16:22:16] LOG | Sucessfully retrieved playback url!
[16:22:30] WARN | Requests limit for 'embed' reached! (10)
[16:22:32] HIDDEN | Surpressed due to logging rules. (see './logs/log_2024-2-22_16-20-3.private.txt')
[16:22:32] LOG | Fetching sources...
[16:22:32] HIDDEN | Surpressed due to logging rules. (see './logs/log_2024-2-22_16-20-3.private.txt')
[16:22:32] LOG | Retrieving playback url...
[16:22:32] HIDDEN | Surpressed due to logging rules. (see './logs/log_2024-2-22_16-20-3.private.txt')
[16:22:32] LOG | Sucessfully retrieved playback url!
[16:22:46] WARN | Requests limit for 'embed' reached! (10)
[16:22:48] HIDDEN | Surpressed due to logging rules. (see './logs/log_2024-2-22_16-20-3.private.txt')
[16:22:48] LOG | Fetching sources...
[16:22:48] HIDDEN | Surpressed due to logging rules. (see './logs/log_2024-2-22_16-20-3.private.txt')
[16:22:48] LOG | Retrieving playback url...
[16:22:48] HIDDEN | Surpressed due to logging rules. (see './logs/log_2024-2-22_16-20-3.private.txt')
[16:22:48] LOG | Sucessfully retrieved playback url!
[16:23:2] WARN | Requests limit for 'embed' reached! (10)
[16:23:4] HIDDEN | Surpressed due to logging rules. (see './logs/log_2024-2-22_16-20-3.private.txt')
[16:23:4] LOG | Fetching sources...
[16:23:4] HIDDEN | Surpressed due to logging rules. (see './logs/log_2024-2-22_16-20-3.private.txt')
[16:23:4] LOG | Retrieving playback url...
[16:23:4] HIDDEN | Surpressed due to logging rules. (see './logs/log_2024-2-22_16-20-3.private.txt')
[16:23:4] LOG | Sucessfully retrieved playback url!
[16:23:6] ERROR | Requests limit for 'main' reached! (2000)
[16:23:6] WARN | Killing process...
