--------------------------------------------
  Created log file: log_2024-2-15_3-30-3
--------------------------------------------

[3:30:3] LOG | Updated logfile.txt to './logs/log_2024-2-15_3-30-3.txt'
[3:30:4] HIDDEN | Surpressed due to logging rules. (see './logs/log_2024-2-15_3-30-3.private.txt')
[3:30:4] LOG | Fetching sources...
[3:30:4] HIDDEN | Surpressed due to logging rules. (see './logs/log_2024-2-15_3-30-3.private.txt')
[3:30:4] LOG | Retrieving playback url...
[3:30:4] HIDDEN | Surpressed due to logging rules. (see './logs/log_2024-2-15_3-30-3.private.txt')
[3:30:4] LOG | Sucessfully retrieved playback url!
[3:30:5] LOG | Request for embed.js intercepted
[3:30:5] HIDDEN | Surpressed due to logging rules. (see './logs/log_2024-2-15_3-30-3.private.txt')
[3:30:5] WARN | Same version detected!
[3:30:5] LOG | Routine for 'main' sleeping for '2.5' second(s)...
[3:30:8] LOG | Continuing...
[3:30:9] LOG | Request for embed.js intercepted
[3:30:9] HIDDEN | Surpressed due to logging rules. (see './logs/log_2024-2-15_3-30-3.private.txt')
[3:30:9] WARN | Same version detected!
[3:30:9] LOG | Routine for 'main' sleeping for '2.5' second(s)...
[3:30:12] LOG | Continuing...
[3:30:18] LOG | Request for embed.js intercepted
[3:30:18] HIDDEN | Surpressed due to logging rules. (see './logs/log_2024-2-15_3-30-3.private.txt')
[3:30:18] WARN | Same version detected!
[3:30:18] LOG | Routine for 'main' sleeping for '2.5' second(s)...
[3:30:20] LOG | Continuing...
[3:30:24] LOG | Request for embed.js intercepted
[3:30:24] HIDDEN | Surpressed due to logging rules. (see './logs/log_2024-2-15_3-30-3.private.txt')
[3:30:24] WARN | Same version detected!
[3:30:24] LOG | Routine for 'main' sleeping for '2.5' second(s)...
[3:30:27] LOG | Continuing...
[3:30:28] WARN | Requests limit for 'embed' reached! (10)
[3:30:30] HIDDEN | Surpressed due to logging rules. (see './logs/log_2024-2-15_3-30-3.private.txt')
[3:30:30] LOG | Fetching sources...
[3:30:30] HIDDEN | Surpressed due to logging rules. (see './logs/log_2024-2-15_3-30-3.private.txt')
[3:30:30] LOG | Retrieving playback url...
