--------------------------------------------
  Created log file: log_2024-1-31_3-30-3
--------------------------------------------

[3:30:3] LOG | Updated logfile.txt to './logs/log_2024-1-31_3-30-3.txt'
[3:30:4] HIDDEN | Surpressed due to logging rules. (see './logs/log_2024-1-31_3-30-3.private.txt')
[3:30:4] LOG | Fetching sources...
[3:30:4] HIDDEN | Surpressed due to logging rules. (see './logs/log_2024-1-31_3-30-3.private.txt')
[3:30:4] LOG | Retrieving playback url...
[3:30:4] HIDDEN | Surpressed due to logging rules. (see './logs/log_2024-1-31_3-30-3.private.txt')
[3:30:4] LOG | Sucessfully retrieved playback url!
[3:30:5] LOG | Request for embed.js intercepted
[3:30:5] HIDDEN | Surpressed due to logging rules. (see './logs/log_2024-1-31_3-30-3.private.txt')
[3:30:5] WARN | Same version detected!
[3:30:5] LOG | Routine for 'main' sleeping for '2.5' second(s)...
[3:30:8] LOG | Continuing...
[3:30:9] LOG | Request for embed.js intercepted
[3:30:9] HIDDEN | Surpressed due to logging rules. (see './logs/log_2024-1-31_3-30-3.private.txt')
[3:30:9] WARN | Same version detected!
[3:30:9] LOG | Routine for 'main' sleeping for '2.5' second(s)...
[3:30:12] LOG | Continuing...
[3:30:22] LOG | Request for embed.js intercepted
[3:30:22] HIDDEN | Surpressed due to logging rules. (see './logs/log_2024-1-31_3-30-3.private.txt')
[3:30:22] WARN | Same version detected!
[3:30:22] LOG | Routine for 'main' sleeping for '2.5' second(s)...
[3:30:25] LOG | Continuing...
[3:30:30] WARN | Requests limit for 'embed' reached! (10)
[3:30:30] LOG | Request for embed.js intercepted
[3:30:30] HIDDEN | Surpressed due to logging rules. (see './logs/log_2024-1-31_3-30-3.private.txt')
[3:30:30] WARN | Same version detected!
[3:30:30] LOG | Routine for 'main' sleeping for '2.5' second(s)...
[3:30:32] LOG | Continuing...
[3:30:35] HIDDEN | Surpressed due to logging rules. (see './logs/log_2024-1-31_3-30-3.private.txt')
[3:30:35] LOG | Fetching sources...
[3:30:35] HIDDEN | Surpressed due to logging rules. (see './logs/log_2024-1-31_3-30-3.private.txt')
[3:30:35] LOG | Retrieving playback url...
[3:30:35] HIDDEN | Surpressed due to logging rules. (see './logs/log_2024-1-31_3-30-3.private.txt')
[3:30:35] LOG | Sucessfully retrieved playback url!
[3:30:42] LOG | Request for embed.js intercepted
[3:30:42] HIDDEN | Surpressed due to logging rules. (see './logs/log_2024-1-31_3-30-3.private.txt')
[3:30:42] WARN | Same version detected!
[3:30:42] LOG | Routine for 'main' sleeping for '2.5' second(s)...
[3:30:44] LOG | Continuing...
[3:30:49] LOG | Request for embed.js intercepted
[3:30:49] HIDDEN | Surpressed due to logging rules. (see './logs/log_2024-1-31_3-30-3.private.txt')
[3:30:49] WARN | Same version detected!
[3:30:49] LOG | Routine for 'main' sleeping for '2.5' second(s)...
[3:30:52] LOG | Continuing...
[3:30:57] WARN | Requests limit for 'embed' reached! (10)
[3:30:59] HIDDEN | Surpressed due to logging rules. (see './logs/log_2024-1-31_3-30-3.private.txt')
[3:30:59] LOG | Fetching sources...
[3:30:59] HIDDEN | Surpressed due to logging rules. (see './logs/log_2024-1-31_3-30-3.private.txt')
[3:30:59] LOG | Retrieving playback url...
[3:30:59] HIDDEN | Surpressed due to logging rules. (see './logs/log_2024-1-31_3-30-3.private.txt')
[3:30:59] LOG | Sucessfully retrieved playback url!
[3:31:0] LOG | Request for embed.js intercepted
[3:31:0] HIDDEN | Surpressed due to logging rules. (see './logs/log_2024-1-31_3-30-3.private.txt')
[3:31:0] WARN | Same version detected!
[3:31:0] LOG | Routine for 'main' sleeping for '2.5' second(s)...
[3:31:2] LOG | Continuing...
[3:31:5] LOG | Request for embed.js intercepted
[3:31:5] HIDDEN | Surpressed due to logging rules. (see './logs/log_2024-1-31_3-30-3.private.txt')
[3:31:5] WARN | Same version detected!
[3:31:5] LOG | Routine for 'main' sleeping for '2.5' second(s)...
[3:31:7] LOG | Continuing...
[3:31:17] LOG | Request for embed.js intercepted
[3:31:17] HIDDEN | Surpressed due to logging rules. (see './logs/log_2024-1-31_3-30-3.private.txt')
[3:31:17] WARN | Same version detected!
[3:31:17] LOG | Routine for 'main' sleeping for '2.5' second(s)...
[3:31:19] LOG | Continuing...
[3:31:23] WARN | Requests limit for 'embed' reached! (10)
[3:31:25] HIDDEN | Surpressed due to logging rules. (see './logs/log_2024-1-31_3-30-3.private.txt')
[3:31:25] LOG | Fetching sources...
[3:31:25] HIDDEN | Surpressed due to logging rules. (see './logs/log_2024-1-31_3-30-3.private.txt')
[3:31:25] LOG | Retrieving playback url...
[3:31:25] HIDDEN | Surpressed due to logging rules. (see './logs/log_2024-1-31_3-30-3.private.txt')
[3:31:25] LOG | Sucessfully retrieved playback url!
[3:31:26] LOG | Request for embed.js intercepted
[3:31:26] HIDDEN | Surpressed due to logging rules. (see './logs/log_2024-1-31_3-30-3.private.txt')
[3:31:26] WARN | Same version detected!
[3:31:26] LOG | Routine for 'main' sleeping for '2.5' second(s)...
[3:31:29] LOG | Continuing...
[3:31:32] ERROR | Requests limit for 'main' reached! (2000)
[3:31:32] WARN | Killing process...
