--------------------------------------------
  Created log file: log_2024-2-21_7-50-3
--------------------------------------------

[7:50:3] LOG | Updated logfile.txt to './logs/log_2024-2-21_7-50-3.txt'
[7:50:4] HIDDEN | Surpressed due to logging rules. (see './logs/log_2024-2-21_7-50-3.private.txt')
[7:50:4] LOG | Fetching sources...
[7:50:4] HIDDEN | Surpressed due to logging rules. (see './logs/log_2024-2-21_7-50-3.private.txt')
[7:50:4] LOG | Retrieving playback url...
[7:50:4] HIDDEN | Surpressed due to logging rules. (see './logs/log_2024-2-21_7-50-3.private.txt')
[7:50:4] LOG | Sucessfully retrieved playback url!
[7:50:5] LOG | Request for embed.js intercepted
[7:50:5] HIDDEN | Surpressed due to logging rules. (see './logs/log_2024-2-21_7-50-3.private.txt')
[7:50:5] WARN | Same version detected!
[7:50:5] LOG | Routine for 'main' sleeping for '2.5' second(s)...
[7:50:8] LOG | Continuing...
[7:50:14] LOG | Request for embed.js intercepted
[7:50:14] HIDDEN | Surpressed due to logging rules. (see './logs/log_2024-2-21_7-50-3.private.txt')
[7:50:14] WARN | Same version detected!
[7:50:14] LOG | Routine for 'main' sleeping for '2.5' second(s)...
[7:50:16] LOG | Continuing...
[7:50:20] LOG | Request for embed.js intercepted
[7:50:20] HIDDEN | Surpressed due to logging rules. (see './logs/log_2024-2-21_7-50-3.private.txt')
[7:50:20] WARN | Same version detected!
[7:50:20] LOG | Routine for 'main' sleeping for '2.5' second(s)...
[7:50:23] LOG | Continuing...
[7:50:26] WARN | Requests limit for 'embed' reached! (10)
[7:50:27] HIDDEN | Surpressed due to logging rules. (see './logs/log_2024-2-21_7-50-3.private.txt')
[7:50:27] LOG | Fetching sources...
[7:50:27] HIDDEN | Surpressed due to logging rules. (see './logs/log_2024-2-21_7-50-3.private.txt')
[7:50:27] LOG | Retrieving playback url...
[7:50:28] HIDDEN | Surpressed due to logging rules. (see './logs/log_2024-2-21_7-50-3.private.txt')
[7:50:28] LOG | Sucessfully retrieved playback url!
[7:50:28] LOG | Request for embed.js intercepted
